,subsystem
398525.3.peg.1,Metabolic:Nucleotide interconversion
g.32186.CDS.8,Metabolic:Benzoate degradation
398525.3.peg.13,Metabolic:Nucleotide interconversion
g.32186.CDS.18,"Metabolic:Transport, extracellular"
g.32186.CDS.25,tRNA-Charging
398525.3.peg.27,Metabolic:Nucleotide interconversion
g.32186.CDS.31,Metabolic:NAD metabolism
398525.3.peg.33,Metabolic:Nucleotide interconversion
g.32186.CDS.37,Metabolic:Propanoate metabolism
398525.3.peg.37,Metabolic:Nucleotide interconversion
g.32186.CDS.53,"Metabolic:Transport, extracellular"
g.32186.CDS.56,tRNA-Charging
g.32186.CDS.67,Metabolic:Others
g.32186.CDS.72,Metabolic:Purine catabolism
398525.3.peg.81,Metabolic:Purine synthesis
398525.3.peg.82,Metabolic:Purine synthesis
g.32186.CDS.85,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.32186.CDS.96,Metabolic:Glyoxylate and dicarboxylate metabolism
g.32186.CDS.106,Metabolic:Oxidative phosphorylation
g.32186.CDS.110,Transcription
g.32186.CDS.126,Metabolic:Butanoate metabolism
g.32186.CDS.127,Metabolic:Pyruvate metabolism
g.32186.CDS.129,"Metabolic:Transport, extracellular"
g.32186.CDS.130,Metabolic:Glyoxylate and dicarboxylate metabolism
398525.3.peg.131,Metabolic:Alanine and aspartate metabolism
g.32186.CDS.150,Metabolic:NAD metabolism
g.32186.CDS.151,Metabolic:Fatty acid synthesis
g.32186.CDS.158,Metabolic:Unassigned
398525.3.peg.158,Metabolic:Nucleotide interconversion
g.32186.CDS.160,"Metabolic:Transport, extracellular"
g.32186.CDS.163,"Metabolic:Transport, extracellular"
g.32186.CDS.168,"Metabolic:Transport, extracellular"
g.32186.CDS.170,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.32186.CDS.174,Metabolic:Vitamin B12 metabolism
398525.3.peg.183,Metabolic:Nucleotide interconversion
g.32186.CDS.189,"Metabolic:Valine, leucine, and isoleucine metabolism"
398525.3.peg.195,Metabolic:Nucleotide interconversion
398525.3.peg.196,Metabolic:Nucleotide interconversion
g.32186.CDS.200,Metabolic:Arginine and proline metabolism
398525.3.peg.201,Metabolic:Nucleotide interconversion
g.32186.CDS.205,Metabolic:Fatty acid synthesis
g.32186.CDS.233,Metabolic:Ascorbate and aldarate metabolism
g.32186.CDS.236,Metabolic:Pyruvate metabolism
g.32186.CDS.242,tRNA-Charging
g.32186.CDS.243,Metabolic:Glyoxylate and dicarboxylate metabolism
g.32186.CDS.256,Metabolic:Pyrimidine synthesis
g.32186.CDS.262,Metabolic:Pentose phosphate pathway
g.32186.CDS.267,Metabolic:Oxidative phosphorylation
g.32186.CDS.275,Metabolic:Glycolysis/gluconeogenesis
g.32186.CDS.282,Metabolic:Fatty acid synthesis
g.32186.CDS.289,Metabolic:Others
g.32186.CDS.302,"Metabolic:Transport, extracellular"
g.32186.CDS.306,tRNA-Charging
g.32186.CDS.313,"Metabolic:Transport, extracellular"
g.32186.CDS.320,Metabolic:Fatty acid synthesis
g.32186.CDS.324,"Metabolic:Transport, extracellular"
g.32186.CDS.326,Metabolic:Vitamin B12 metabolism
g.32186.CDS.359,Metabolic:Pyruvate metabolism
g.32186.CDS.362,Metabolic:Heme synthesis
g.32186.CDS.369,Metabolic:Nucleotide interconversion
g.32186.CDS.372,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.32186.CDS.376,Metabolic:Fatty acid synthesis
g.32186.CDS.381,Metabolic:Fatty acid synthesis
g.32186.CDS.382,Metabolic:Nucleotide interconversion
g.32186.CDS.389,tRNA-Charging
g.32186.CDS.390,tRNA-Charging
g.32186.CDS.398,"Metabolic:Transport, extracellular"
g.32186.CDS.400,tRNA-Charging
398525.3.peg.412,Metabolic:Methionine and cysteine metabolism
g.32186.CDS.414,Metabolic:Vitamin B6 metabolism
398525.3.peg.414,Metabolic:Phenylalanine metabolism
398525.3.peg.415,Metabolic:Histidine metabolism
398525.3.peg.416,Metabolic:Tyrosine metabolism
g.32186.CDS.437,"Metabolic:Transport, extracellular"
g.32186.CDS.444,Metabolic:Nucleotide interconversion
g.32186.CDS.445,Metabolic:Unassigned
398525.3.peg.447,Metabolic:Alanine and aspartate metabolism
398525.3.peg.451,Metabolic:Alanine and aspartate metabolism
398525.3.peg.456,Metabolic:Vitamin B12 metabolism
g.32186.CDS.468,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.32186.CDS.471,"Metabolic:Transport, extracellular"
g.32186.CDS.486,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.32186.CDS.493,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.32186.CDS.494,"Metabolic:Transport, extracellular"
g.32186.CDS.497,Metabolic:Propanoate metabolism
g.32186.CDS.509,Metabolic:Glyoxylate and dicarboxylate metabolism
398525.3.peg.512,Metabolic:Alanine and aspartate metabolism
g.32186.CDS.513,Metabolic:ROS detoxification
g.32186.CDS.519,Metabolic:Histidine metabolism
g.32186.CDS.521,tRNA-Charging
