,subsystem
g.165.peg.4,Metabolic:Biotin metabolism
g.165.peg.9,Metabolic:Nucleotide interconversion
g.165.peg.10,Metabolic:Galactose metabolism
g.165.peg.11,tRNA-Charging
176280.1.peg.11,Metabolic:Methionine and cysteine metabolism
g.165.peg.12,Metabolic:Glycerophospholipid metabolism
g.165.peg.14,Metabolic:Pentose phosphate pathway
g.165.peg.16,tRNA-Charging
176280.1.peg.16,Metabolic:Nucleotide interconversion
g.165.peg.18,tRNA-Charging
g.165.peg.22,"Metabolic:Transport, extracellular"
g.165.peg.24,Metabolic:Glyoxylate and dicarboxylate metabolism
g.165.peg.31,"Metabolic:Transport, extracellular"
g.165.peg.36,Metabolic:NAD metabolism
g.165.peg.37,Metabolic:Cell wall biosynthesis
g.165.peg.40,Metabolic:Exchange/demand reaction
g.165.peg.41,Metabolic:Arginine and proline metabolism
g.165.peg.42,Metabolic:CoA synthesis
g.165.peg.43,Metabolic:Exchange/demand reaction
g.165.peg.50,Metabolic:Nucleotide interconversion
g.165.peg.52,"Metabolic:Transport, extracellular"
g.165.peg.54,"Metabolic:Transport, extracellular"
g.165.peg.58,Metabolic:Nucleotide interconversion
g.165.peg.60,Translation
g.165.peg.61,Metabolic:Cell wall biosynthesis
g.165.peg.62,Metabolic:Cell wall biosynthesis
g.165.peg.63,"Metabolic:Transport, extracellular"
g.165.peg.68,tRNA-Charging
g.165.peg.75,tRNA-Charging
g.165.peg.77,Metabolic:Pyrimidine synthesis
g.165.peg.88,"Metabolic:Transport, extracellular"
g.165.peg.90,tRNA-Charging
g.165.peg.91,Metabolic:Aminosugar metabolism
g.165.peg.93,Metabolic:Sulfur metabolism
g.165.peg.99,Metabolic:Nucleotide interconversion
176280.1.peg.103,Metabolic:Arginine and proline metabolism
g.165.peg.110,Metabolic:Citric acid cycle
g.165.peg.112,Metabolic:Arginine and proline metabolism
g.165.peg.116,Metabolic:Lysine metabolism
g.165.peg.117,tRNA-Charging
g.165.peg.120,Metabolic:Benzoate degradation
g.165.peg.123,Metabolic:Pentose and glucuronate interconversions
g.165.peg.128,tRNA-Charging
g.165.peg.132,Translation
g.165.peg.135,Metabolic:Others
g.165.peg.139,Metabolic:Nucleotide salvage pathway
g.165.peg.141,Metabolic:Cell wall biosynthesis
g.165.peg.142,Metabolic:Cell wall biosynthesis
g.165.peg.144,Metabolic:Arginine and proline metabolism
g.165.peg.148,Metabolic:Exchange/demand reaction
g.165.peg.149,"Metabolic:Transport, extracellular"
g.165.peg.150,Metabolic:Glycolysis/gluconeogenesis
g.165.peg.157,Metabolic:Heme synthesis
g.165.peg.159,Metabolic:Exchange/demand reaction
g.165.peg.162,Metabolic:Arginine and proline metabolism
g.165.peg.165,Metabolic:Cell wall biosynthesis
g.165.peg.170,Translation
g.165.peg.172,Metabolic:Heme synthesis
g.165.peg.177,tRNA-Charging
176280.1.peg.179,Metabolic:Biotin metabolism
176280.1.peg.180,Metabolic:Biotin metabolism
176280.1.peg.181,Metabolic:Biotin metabolism
176280.1.peg.182,"Metabolic:Transport, extracellular"
g.165.peg.188,Metabolic:Galactose metabolism
g.165.peg.190,Metabolic:Starch and sucrose metabolism
g.165.peg.193,Metabolic:Vitamin B2 metabolism
g.165.peg.194,Metabolic:Folate metabolism
g.165.peg.198,Metabolic:Arginine and proline metabolism
g.165.peg.203,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.165.peg.204,Metabolic:Arginine and proline metabolism
g.165.peg.205,Metabolic:Arginine and proline metabolism
g.165.peg.208,Metabolic:Glycolysis/gluconeogenesis
176280.1.peg.216,Metabolic:Arginine and proline metabolism
g.165.peg.218,"Metabolic:Transport, extracellular"
g.165.peg.224,Metabolic:Glycerophospholipid metabolism
g.165.peg.225,Metabolic:Exchange/demand reaction
g.165.peg.227,Metabolic:Pentose and glucuronate interconversions
g.165.peg.228,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
176280.1.peg.229,Metabolic:Arginine and proline metabolism
g.165.peg.231,Metabolic:Fructose and mannose metabolism
g.165.peg.232,Metabolic:Nucleotide interconversion
g.165.peg.239,Metabolic:Methionine and cysteine metabolism
g.165.peg.245,tRNA-Charging
g.165.peg.246,Metabolic:Phenylalanine metabolism
g.165.peg.252,Metabolic:Methionine and cysteine metabolism
g.165.peg.254,tRNA-Charging
g.165.peg.255,Translation
g.165.peg.256,"Metabolic:Transport, extracellular"
g.165.peg.266,"Metabolic:Transport, extracellular"
176280.1.peg.270,Metabolic:Histidine metabolism
176280.1.peg.271,Metabolic:Histidine metabolism
176280.1.peg.272,Metabolic:Histidine metabolism
176280.1.peg.273,Metabolic:Histidine metabolism
176280.1.peg.274,Metabolic:Histidine metabolism
176280.1.peg.275,Metabolic:Histidine metabolism
g.165.peg.276,Metabolic:Propanoate metabolism
176280.1.peg.277,Metabolic:Histidine metabolism
g.165.peg.280,Metabolic:Glyoxylate and dicarboxylate metabolism
g.165.peg.283,Translation
g.165.peg.284,Transcription
g.165.peg.285,tRNA-Charging
g.165.peg.287,Translation
g.165.peg.288,Metabolic:Exchange/demand reaction
g.165.peg.290,"Metabolic:Transport, extracellular"
176280.1.peg.291,Metabolic:Methionine and cysteine metabolism
g.165.peg.293,Metabolic:Glyoxylate and dicarboxylate metabolism
g.165.peg.295,Metabolic:Heme synthesis
g.165.peg.298,tRNA-Charging
g.165.peg.299,Metabolic:Urea cycle
g.165.peg.302,tRNA-Charging
g.165.peg.305,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.165.peg.313,Metabolic:Folate metabolism
g.165.peg.315,tRNA-Charging
176280.1.peg.315,Metabolic:Arginine and proline metabolism
g.165.peg.316,Metabolic:Exchange/demand reaction
g.165.peg.317,Metabolic:Cholesterol metabolism
176280.1.peg.317,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.165.peg.318,Metabolic:Alanine and aspartate metabolism
176280.1.peg.318,"Metabolic:Valine, leucine, and isoleucine metabolism"
