,subsystem
g.29568.CDS.17,Metabolic:Pentose and glucuronate interconversions
g.29568.CDS.19,Metabolic:Biotin metabolism
1121129.3.peg.21,Metabolic:Glycolysis/gluconeogenesis
g.29568.CDS.26,Metabolic:Respiration
g.29568.CDS.34,Transcription
g.29568.CDS.36,Metabolic:Cell wall biosynthesis
1121129.3.peg.41,Metabolic:Histidine metabolism
g.29568.CDS.44,Metabolic:Starch and sucrose metabolism
g.29568.CDS.50,Metabolic:Propanoate metabolism
1121129.3.peg.62,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.29568.CDS.66,Metabolic:Aminosugar metabolism
g.29568.CDS.72,Metabolic:Aminosugar metabolism
g.29568.CDS.73,"Metabolic:Transport, extracellular"
g.29568.CDS.81,Metabolic:Aminosugar metabolism
g.29568.CDS.91,tRNA-Charging
1121129.3.peg.91,Metabolic:Pentose phosphate pathway
g.29568.CDS.109,Metabolic:Lipopolysaccharide biosynthesis
g.29568.CDS.116,Metabolic:Cell wall biosynthesis
g.29568.CDS.123,Metabolic:Pentose phosphate pathway
1121129.3.peg.125,Metabolic:CoA synthesis
g.29568.CDS.126,Metabolic:Lipopolysaccharide biosynthesis
g.29568.CDS.127,Metabolic:Ascorbate and aldarate metabolism
g.29568.CDS.128,tRNA-Charging
g.29568.CDS.132,Metabolic:Respiration
g.29568.CDS.133,Metabolic:Starch and sucrose metabolism
g.29568.CDS.144,"Metabolic:Transport, extracellular"
g.29568.CDS.148,Metabolic:Aminosugar metabolism
g.29568.CDS.154,Metabolic:Propanoate metabolism
1121129.3.peg.171,Metabolic:Purine synthesis
g.29568.CDS.175,Metabolic:Respiration
g.29568.CDS.178,Metabolic:Pyruvate metabolism
g.29568.CDS.180,Metabolic:Aminosugar metabolism
g.29568.CDS.185,Metabolic:Exchange/demand reaction
g.29568.CDS.186,Metabolic:Exchange/demand reaction
g.29568.CDS.207,Metabolic:Aminosugar metabolism
g.29568.CDS.208,Metabolic:Lysine metabolism
g.29568.CDS.214,tRNA-Charging
g.29568.CDS.225,Metabolic:Glutathione metabolism
1121129.3.peg.230,Metabolic:Glycolysis/gluconeogenesis
g.29568.CDS.245,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.29568.CDS.248,Metabolic:Carbon fixation in photosynthetic organisms
1121129.3.peg.249,Metabolic:Glycolysis/gluconeogenesis
g.29568.CDS.251,Metabolic:Exchange/demand reaction
g.29568.CDS.252,Metabolic:Exchange/demand reaction
g.29568.CDS.253,Metabolic:Vitamin B6 metabolism
g.29568.CDS.261,"Metabolic:Transport, extracellular"
g.29568.CDS.262,Metabolic:Butanoate metabolism
1121129.3.peg.262,Metabolic:Glutamate metabolism
g.29568.CDS.267,Metabolic:ROS detoxification
g.29568.CDS.269,tRNA-Charging
1121129.3.peg.271,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.29568.CDS.274,tRNA-Charging
g.29568.CDS.275,Metabolic:Respiration
g.29568.CDS.283,"Metabolic:Transport, extracellular"
g.29568.CDS.290,Metabolic:Methionine and cysteine metabolism
g.29568.CDS.295,tRNA-Charging
g.29568.CDS.300,Metabolic:Folate metabolism
g.29568.CDS.301,Metabolic:Plant polysaccharide degradation
g.29568.CDS.313,Metabolic:Vitamin B2 metabolism
g.29568.CDS.315,Metabolic:Pentose and glucuronate interconversions
g.29568.CDS.331,Metabolic:Butanoate metabolism
1121129.3.peg.332,Metabolic:Folate metabolism
g.29568.CDS.338,Metabolic:Folate metabolism
1121129.3.peg.355,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.29568.CDS.359,Metabolic:Plant polysaccharide degradation
g.29568.CDS.364,Metabolic:CoA synthesis
g.29568.CDS.367,Metabolic:Lipopolysaccharide biosynthesis
1121129.3.peg.370,Metabolic:Folate metabolism
g.29568.CDS.376,Metabolic:Fatty acid synthesis
g.29568.CDS.383,Metabolic:Pentose phosphate pathway
g.29568.CDS.386,Metabolic:Pyrimidine synthesis
g.29568.CDS.387,Metabolic:Glutathione metabolism
g.29568.CDS.399,Metabolic:Pyrimidine catabolism
g.29568.CDS.406,tRNA-Charging
g.29568.CDS.419,Metabolic:Pyruvate metabolism
g.29568.CDS.421,"Metabolic:Transport, extracellular"
g.29568.CDS.430,Metabolic:Cell wall biosynthesis
g.29568.CDS.431,Metabolic:Aminosugar metabolism
g.29568.CDS.443,Metabolic:Unassigned
g.29568.CDS.452,Metabolic:Nucleotide interconversion
g.29568.CDS.455,Metabolic:Respiration
1121129.3.peg.455,Metabolic:Glycolysis/gluconeogenesis
1121129.3.peg.459,Metabolic:Thiamine metabolism
1121129.3.peg.460,Metabolic:Thiamine metabolism
1121129.3.peg.461,Metabolic:Thiamine metabolism
1121129.3.peg.469,Metabolic:Purine synthesis
g.29568.CDS.478,Metabolic:Cell wall biosynthesis
g.29568.CDS.487,Metabolic:Thiamine metabolism
1121129.3.peg.488,Metabolic:Nucleotide interconversion
1121129.3.peg.512,Metabolic:Thiamine metabolism
1121129.3.peg.515,Metabolic:Nucleotide interconversion
g.29568.CDS.516,Metabolic:Folate metabolism
g.29568.CDS.538,Metabolic:Unassigned
1121129.3.peg.552,Metabolic:Purine synthesis
1121129.3.peg.559,Metabolic:Pyrimidine synthesis
1121129.3.peg.560,Metabolic:Pyrimidine synthesis
g.29568.CDS.562,Metabolic:Fatty acid synthesis
g.29568.CDS.566,Metabolic:Terpenoid backbone biosynthesis
g.29568.CDS.570,Metabolic:Ascorbate and aldarate metabolism
1121129.3.peg.573,Metabolic:Thiamine metabolism
g.29568.CDS.575,Metabolic:Respiration
1121129.3.peg.587,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.29568.CDS.588,Metabolic:Histidine metabolism
1121129.3.peg.595,Metabolic:Purine synthesis
g.29568.CDS.624,tRNA-Charging
g.29568.CDS.628,Metabolic:Nucleotide interconversion
g.29568.CDS.632,Metabolic:Respiration
g.29568.CDS.639,Translation
1121129.3.peg.639,Metabolic:Pentose phosphate pathway
g.29568.CDS.644,tRNA-Charging
1121129.3.peg.648,Metabolic:Folate metabolism
g.29568.CDS.649,Metabolic:NAD metabolism
g.29568.CDS.650,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.29568.CDS.651,Post-translation
g.29568.CDS.652,Metabolic:Pentose phosphate pathway
g.29568.CDS.657,Metabolic:Fatty acid synthesis
g.29568.CDS.671,Metabolic:Inositol phosphate metabolism
