,subsystem
411471.5.peg.2,Metabolic:Alanine and aspartate metabolism
411471.5.peg.4,Metabolic:Cell wall biosynthesis
411471.5.peg.10,Metabolic:Unassigned
411471.5.peg.11,Metabolic:Pentose and glucuronate interconversions
411471.5.peg.12,Metabolic:Pentose and glucuronate interconversions
411471.5.peg.16,Metabolic:Exchange/demand reaction
411471.5.peg.18,Metabolic:Citric acid cycle
411471.5.peg.28,Metabolic:Urea cycle
411471.5.peg.29,Metabolic:Arginine and proline metabolism
411471.5.peg.30,Metabolic:Arginine and proline metabolism
411471.5.peg.31,Metabolic:Urea cycle
411471.5.peg.32,Metabolic:Urea cycle
411471.5.peg.33,Metabolic:Alanine and aspartate metabolism
411471.5.peg.34,Metabolic:Alanine and aspartate metabolism
411471.5.peg.82,Metabolic:Galactose metabolism
411471.5.peg.95,Metabolic:Nucleotide interconversion
411471.5.peg.98,"Metabolic:Transport, extracellular"
411471.5.peg.99,"Metabolic:Transport, extracellular"
411471.5.peg.100,"Metabolic:Transport, extracellular"
411471.5.peg.101,"Metabolic:Transport, extracellular"
411471.5.peg.102,"Metabolic:Transport, extracellular"
411471.5.peg.106,"Metabolic:Transport, extracellular"
411471.5.peg.110,Metabolic:Arginine and proline metabolism
411471.5.peg.111,Metabolic:Urea cycle
411471.5.peg.112,Metabolic:Lysine metabolism
411471.5.peg.115,"Metabolic:Transport, extracellular"
411471.5.peg.142,Metabolic:Glycolysis/gluconeogenesis
411471.5.peg.143,Metabolic:Galactose metabolism
411471.5.peg.149,Metabolic:Methionine and cysteine metabolism
411471.5.peg.155,Metabolic:Starch and sucrose metabolism
411471.5.peg.156,Metabolic:Starch and sucrose metabolism
411471.5.peg.159,Metabolic:Selenoamino acid metabolism
411471.5.peg.160,Metabolic:Thiamine metabolism
411471.5.peg.176,Metabolic:Sulfur metabolism
411471.5.peg.178,Metabolic:Fructose and mannose metabolism
411471.5.peg.179,Metabolic:Starch and sucrose metabolism
411471.5.peg.196,Metabolic:Phenylalanine metabolism
411471.5.peg.198,Metabolic:Phenylalanine metabolism
411471.5.peg.227,Metabolic:Starch and sucrose metabolism
411471.5.peg.230,Metabolic:Vitamin B6 metabolism
411471.5.peg.232,Metabolic:Arginine and proline metabolism
411471.5.peg.238,"Metabolic:Transport, extracellular"
411471.5.peg.239,Metabolic:Glycolysis/gluconeogenesis
411471.5.peg.259,tRNA-Charging
411471.5.peg.263,Metabolic:Exchange/demand reaction
411471.5.peg.264,Translation
411471.5.peg.265,Metabolic:Exchange/demand reaction
411471.5.peg.267,Metabolic:Exchange/demand reaction
411471.5.peg.271,Metabolic:Exchange/demand reaction
411471.5.peg.272,Metabolic:Exchange/demand reaction
411471.5.peg.322,Metabolic:Alanine and aspartate metabolism
411471.5.peg.323,Metabolic:Glyoxylate and dicarboxylate metabolism
411471.5.peg.324,Metabolic:Cell wall biosynthesis
411471.5.peg.325,Metabolic:Pyruvate metabolism
411471.5.peg.333,Metabolic:Benzoate degradation
411471.5.peg.343,Metabolic:Glycolysis/gluconeogenesis
411471.5.peg.344,Metabolic:Glycolysis/gluconeogenesis
411471.5.peg.345,Metabolic:Starch and sucrose metabolism
411471.5.peg.348,Metabolic:Nucleotide interconversion
411471.5.peg.349,Metabolic:Pyrimidine catabolism
411471.5.peg.351,Metabolic:Methionine and cysteine metabolism
411471.5.peg.354,Translation
411471.5.peg.357,Metabolic:Exchange/demand reaction
411471.5.peg.358,"Metabolic:Transport, extracellular"
411471.5.peg.367,"Metabolic:Transport, extracellular"
411471.5.peg.370,Metabolic:Heme synthesis
411471.5.peg.372,tRNA-Charging
411471.5.peg.373,tRNA-Charging
411471.5.peg.376,Metabolic:Aminosugar metabolism
411471.5.peg.387,Translation
411471.5.peg.392,tRNA-Charging
411471.5.peg.394,tRNA-Charging
411471.5.peg.401,Metabolic:Aminosugar metabolism
411471.5.peg.404,Transcription
411471.5.peg.410,Metabolic:Nucleotide sugar metabolism
