,subsystem
390333.10.peg.1,Metabolic:Exchange/demand reaction
390333.10.peg.2,Metabolic:Exchange/demand reaction
390333.10.peg.5,Metabolic:Exchange/demand reaction
390333.10.peg.6,Metabolic:Exchange/demand reaction
390333.10.peg.7,tRNA-Charging
390333.10.peg.8,Metabolic:Exchange/demand reaction
390333.10.peg.9,tRNA-Charging
390333.10.peg.11,tRNA-Charging
390333.10.peg.32,Metabolic:Aminobenzoate degradation
390333.10.peg.36,Metabolic:Vitamin B6 metabolism
390333.10.peg.46,Metabolic:Benzoate degradation
390333.10.peg.50,Metabolic:Starch and sucrose metabolism
390333.10.peg.51,Metabolic:Fructose and mannose metabolism
390333.10.peg.52,Metabolic:Fructose and mannose metabolism
390333.10.peg.60,"Metabolic:Transport, extracellular"
390333.10.peg.61,Metabolic:Lipopolysaccharide biosynthesis
390333.10.peg.74,"Metabolic:Transport, extracellular"
390333.10.peg.82,Metabolic:Pyruvate metabolism
390333.10.peg.83,Metabolic:Pentose and glucuronate interconversions
390333.10.peg.87,Metabolic:Vitamin B12 metabolism
390333.10.peg.89,Metabolic:Pyruvate metabolism
390333.10.peg.90,Metabolic:Glyoxylate and dicarboxylate metabolism
390333.10.peg.91,Translation
390333.10.peg.92,"Metabolic:Transport, extracellular"
390333.10.peg.93,Metabolic:Methionine and cysteine metabolism
390333.10.peg.94,Metabolic:Methionine and cysteine metabolism
390333.10.peg.105,Metabolic:Glycolysis/gluconeogenesis
390333.10.peg.106,Metabolic:Pyruvate metabolism
390333.10.peg.111,Metabolic:Citric acid cycle
390333.10.peg.112,Metabolic:Citric acid cycle
390333.10.peg.119,Metabolic:Exchange/demand reaction
390333.10.peg.120,Metabolic:Exchange/demand reaction
390333.10.peg.134,"Metabolic:Transport, extracellular"
390333.10.peg.135,"Metabolic:Transport, extracellular"
390333.10.peg.142,Translation
390333.10.peg.158,Metabolic:Glycerophospholipid metabolism
390333.10.peg.164,Metabolic:Pentose phosphate pathway
390333.10.peg.169,Metabolic:Alanine and aspartate metabolism
390333.10.peg.176,Metabolic:Starch and sucrose metabolism
390333.10.peg.177,"Metabolic:Transport, extracellular"
390333.10.peg.178,"Metabolic:Transport, extracellular"
390333.10.peg.179,Metabolic:Starch and sucrose metabolism
390333.10.peg.180,Metabolic:Aminosugar metabolism
390333.10.peg.189,"Metabolic:Transport, extracellular"
390333.10.peg.192,Metabolic:Alanine and aspartate metabolism
390333.10.peg.194,Metabolic:Nucleotide interconversion
390333.10.peg.211,Metabolic:Glycolysis/gluconeogenesis
390333.10.peg.223,Metabolic:Folate metabolism
390333.10.peg.224,Metabolic:Tetrahydrobiopterin metabolism
390333.10.peg.225,Metabolic:Folate metabolism
390333.10.peg.226,Metabolic:Folate metabolism
390333.10.peg.227,Metabolic:Methionine and cysteine metabolism
390333.10.peg.233,"Metabolic:Transport, extracellular"
390333.10.peg.237,tRNA-Charging
390333.10.peg.247,"Metabolic:Transport, extracellular"
390333.10.peg.248,"Metabolic:Transport, extracellular"
390333.10.peg.249,"Metabolic:Transport, extracellular"
390333.10.peg.251,"Metabolic:Transport, extracellular"
390333.10.peg.252,"Metabolic:Transport, extracellular"
390333.10.peg.253,"Metabolic:Transport, extracellular"
390333.10.peg.254,"Metabolic:Transport, extracellular"
390333.10.peg.256,"Metabolic:Transport, extracellular"
390333.10.peg.257,"Metabolic:Transport, extracellular"
390333.10.peg.258,"Metabolic:Transport, extracellular"
390333.10.peg.263,Transcription
390333.10.peg.264,Metabolic:Nucleotide interconversion
390333.10.peg.265,Metabolic:Nucleotide interconversion
390333.10.peg.268,"Metabolic:Transport, extracellular"
390333.10.peg.269,Metabolic:Purine catabolism
390333.10.peg.270,Metabolic:Nucleotide interconversion
390333.10.peg.271,Metabolic:Nucleotide interconversion
390333.10.peg.276,Metabolic:Glycolysis/gluconeogenesis
390333.10.peg.277,Metabolic:Pyrimidine catabolism
390333.10.peg.282,Metabolic:Methionine and cysteine metabolism
390333.10.peg.290,Metabolic:NAD metabolism
390333.10.peg.293,Metabolic:NAD metabolism
390333.10.peg.301,"Metabolic:Transport, extracellular"
390333.10.peg.305,tRNA-Charging
390333.10.peg.306,Metabolic:Pyrimidine catabolism
390333.10.peg.309,tRNA-Charging
390333.10.peg.312,Translation
390333.10.peg.314,Metabolic:Nucleotide salvage pathway
390333.10.peg.315,Metabolic:Cell wall biosynthesis
390333.10.peg.317,Metabolic:Pentose phosphate pathway
390333.10.peg.320,Transcription
390333.10.peg.321,Metabolic:Nucleotide interconversion
390333.10.peg.322,Metabolic:Aminosugar metabolism
390333.10.peg.323,tRNA-Charging
390333.10.peg.324,Metabolic:Cell wall biosynthesis
390333.10.peg.326,Metabolic:CoA synthesis
390333.10.peg.327,Metabolic:Alanine and aspartate metabolism
390333.10.peg.330,Transcription
390333.10.peg.334,tRNA-Charging
390333.10.peg.337,"Metabolic:Transport, extracellular"
390333.10.peg.340,tRNA-Charging
390333.10.peg.345,Metabolic:Methionine and cysteine metabolism
390333.10.peg.351,Metabolic:Exchange/demand reaction
390333.10.peg.352,Metabolic:Exchange/demand reaction
390333.10.peg.355,tRNA-Charging
390333.10.peg.356,tRNA-Charging
390333.10.peg.357,Translation
390333.10.peg.358,tRNA-Charging
390333.10.peg.359,tRNA-Charging
390333.10.peg.360,tRNA-Charging
390333.10.peg.361,tRNA-Charging
