,subsystem
479436.15.peg.376,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
479436.15.peg.377,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
479436.15.peg.387,Metabolic:Aminobenzoate degradation
479436.15.peg.391,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.393,Metabolic:Citric acid cycle
479436.15.peg.402,Metabolic:Pyrimidine synthesis
479436.15.peg.403,Metabolic:Pyrimidine synthesis
479436.15.peg.405,Metabolic:Pentose phosphate pathway
479436.15.peg.406,Metabolic:Pyrimidine catabolism
479436.15.peg.407,Metabolic:Pyrimidine catabolism
479436.15.peg.408,"Metabolic:Transport, extracellular"
479436.15.peg.409,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
479436.15.peg.419,Metabolic:Glutamate metabolism
479436.15.peg.421,"Metabolic:Transport, extracellular"
479436.15.peg.428,Metabolic:Glutamate metabolism
479436.15.peg.433,Transcription
479436.15.peg.436,Metabolic:Arginine and proline metabolism
479436.15.peg.437,Metabolic:Pyruvate metabolism
479436.15.peg.443,Metabolic:Thiamine metabolism
479436.15.peg.453,Metabolic:Thiamine metabolism
479436.15.peg.454,Metabolic:Thiamine metabolism
479436.15.peg.455,Metabolic:Thiamine metabolism
479436.15.peg.456,Metabolic:Thiamine metabolism
479436.15.peg.457,Metabolic:Thiamine metabolism
479436.15.peg.460,Metabolic:Arginine and proline metabolism
479436.15.peg.461,Metabolic:Arginine and proline metabolism
479436.15.peg.468,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
479436.15.peg.470,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
479436.15.peg.475,Metabolic:Respiration
479436.15.peg.476,Metabolic:Respiration
479436.15.peg.477,Metabolic:Respiration
479436.15.peg.480,Metabolic:Vitamin B6 metabolism
479436.15.peg.482,"Metabolic:Transport, extracellular"
479436.15.peg.483,"Metabolic:Transport, extracellular"
479436.15.peg.484,"Metabolic:Transport, extracellular"
