,subsystem
411903.6.peg.425,Metabolic:Folate metabolism
411903.6.peg.426,Metabolic:Tetrahydrobiopterin metabolism
411903.6.peg.428,Metabolic:Nucleotide interconversion
411903.6.peg.429,Metabolic:Starch and sucrose metabolism
411903.6.peg.433,tRNA-Charging
411903.6.peg.434,tRNA-Charging
411903.6.peg.435,Translation
411903.6.peg.438,Metabolic:Fructose and mannose metabolism
411903.6.peg.439,Metabolic:Pyruvate metabolism
411903.6.peg.440,Metabolic:Vitamin B2 metabolism
411903.6.peg.441,Metabolic:Vitamin B2 metabolism
411903.6.peg.444,Metabolic:Galactose metabolism
411903.6.peg.446,"Metabolic:Transport, extracellular"
411903.6.peg.447,"Metabolic:Transport, extracellular"
411903.6.peg.448,"Metabolic:Transport, extracellular"
411903.6.peg.449,"Metabolic:Transport, extracellular"
411903.6.peg.453,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411903.6.peg.454,Metabolic:Bile acid metabolism
411903.6.peg.456,Metabolic:Purine synthesis
411903.6.peg.459,"Metabolic:Transport, extracellular"
411903.6.peg.488,Metabolic:Glyoxylate and dicarboxylate metabolism
411903.6.peg.489,Metabolic:Pyruvate metabolism
411903.6.peg.493,Metabolic:Vitamin B6 metabolism
411903.6.peg.494,Metabolic:Vitamin B6 metabolism
411903.6.peg.500,Metabolic:Alanine and aspartate metabolism
411903.6.peg.504,Metabolic:Bile acid metabolism
411903.6.peg.506,"Metabolic:Transport, extracellular"
411903.6.peg.511,Metabolic:Thiamine metabolism
411903.6.peg.513,Metabolic:Thiamine metabolism
411903.6.peg.521,Metabolic:Exchange/demand reaction
411903.6.peg.528,Translation
411903.6.peg.534,Translation
411903.6.peg.541,Translation
411903.6.peg.546,"Metabolic:Transport, extracellular"
411903.6.peg.560,Metabolic:Arginine and proline metabolism
411903.6.peg.561,Metabolic:Arginine and proline metabolism
411903.6.peg.580,Metabolic:Exchange/demand reaction
411903.6.peg.581,Metabolic:Exchange/demand reaction
411903.6.peg.592,Metabolic:Benzoate degradation
411903.6.peg.606,Metabolic:Exchange/demand reaction
411903.6.peg.635,Metabolic:Nucleotide interconversion
411903.6.peg.636,Metabolic:Alanine and aspartate metabolism
411903.6.peg.640,Metabolic:Glycerophospholipid metabolism
411903.6.peg.642,Metabolic:Glycerophospholipid metabolism
411903.6.peg.643,Metabolic:Pyruvate metabolism
411903.6.peg.649,Metabolic:Glutamate metabolism
411903.6.peg.650,Metabolic:Glutamate metabolism
411903.6.peg.651,Metabolic:Folate metabolism
411903.6.peg.653,Metabolic:Methionine and cysteine metabolism
411903.6.peg.658,Metabolic:Aminosugar metabolism
411903.6.peg.659,"Metabolic:Transport, extracellular"
411903.6.peg.660,Metabolic:Cell wall biosynthesis
411903.6.peg.661,tRNA-Charging
411903.6.peg.662,tRNA-Charging
411903.6.peg.667,"Metabolic:Transport, extracellular"
411903.6.peg.672,tRNA-Charging
411903.6.peg.673,tRNA-Charging
411903.6.peg.674,tRNA-Charging
411903.6.peg.694,Metabolic:Exchange/demand reaction
411903.6.peg.698,Metabolic:Cell wall biosynthesis
411903.6.peg.701,Metabolic:Pentose and glucuronate interconversions
411903.6.peg.702,Metabolic:Pentose phosphate pathway
411903.6.peg.711,"Metabolic:Valine, leucine, and isoleucine metabolism"
411903.6.peg.718,Metabolic:Glutamate metabolism
411903.6.peg.727,Metabolic:Pentose and glucuronate interconversions
411903.6.peg.728,Metabolic:Pentose and glucuronate interconversions
411903.6.peg.729,Metabolic:Pentose and glucuronate interconversions
411903.6.peg.732,"Metabolic:Transport, extracellular"
411903.6.peg.736,tRNA-Charging
411903.6.peg.737,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411903.6.peg.741,"Metabolic:Transport, extracellular"
411903.6.peg.743,Metabolic:Pyruvate metabolism
411903.6.peg.744,Metabolic:Pyruvate metabolism
411903.6.peg.745,tRNA-Charging
411903.6.peg.747,Metabolic:Lysine metabolism
411903.6.peg.760,"Metabolic:Transport, extracellular"
411903.6.peg.768,Metabolic:Glycolysis/gluconeogenesis
411903.6.peg.772,"Metabolic:Transport, extracellular"
411903.6.peg.777,Metabolic:Galactose metabolism
411903.6.peg.778,"Metabolic:Transport, extracellular"
411903.6.peg.780,"Metabolic:Transport, extracellular"
411903.6.peg.781,Metabolic:Galactose metabolism
411903.6.peg.783,Metabolic:Galactose metabolism
411903.6.peg.784,"Metabolic:Transport, extracellular"
411903.6.peg.786,"Metabolic:Transport, extracellular"
411903.6.peg.788,Metabolic:Galactose metabolism
411903.6.peg.789,Metabolic:Galactose metabolism
411903.6.peg.791,Metabolic:Glycolysis/gluconeogenesis
411903.6.peg.793,Metabolic:Galactose metabolism
411903.6.peg.794,Metabolic:Galactose metabolism
411903.6.peg.799,Metabolic:Galactose metabolism
411903.6.peg.805,Metabolic:Arginine and proline metabolism
411903.6.peg.806,Metabolic:Phenylalanine metabolism
411903.6.peg.811,Metabolic:Fatty acid synthesis
411903.6.peg.812,"Metabolic:Transport, extracellular"
411903.6.peg.813,Metabolic:Pyruvate metabolism
411903.6.peg.814,Metabolic:Pyruvate metabolism
411903.6.peg.816,Metabolic:Starch and sucrose metabolism
411903.6.peg.817,"Metabolic:Transport, extracellular"
411903.6.peg.818,Metabolic:Starch and sucrose metabolism
411903.6.peg.820,Metabolic:Pyruvate metabolism
411903.6.peg.822,Metabolic:Methionine and cysteine metabolism
411903.6.peg.824,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411903.6.peg.825,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411903.6.peg.826,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411903.6.peg.827,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411903.6.peg.832,Metabolic:Pentose phosphate pathway
411903.6.peg.836,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411903.6.peg.837,Metabolic:Glutathione metabolism
411903.6.peg.847,"Metabolic:Transport, extracellular"
411903.6.peg.848,Metabolic:Terpenoid backbone biosynthesis
411903.6.peg.851,"Metabolic:Transport, extracellular"
411903.6.peg.867,Metabolic:CoA synthesis
411903.6.peg.881,Translation
411903.6.peg.882,Translation
411903.6.peg.883,"Metabolic:Transport, extracellular"
411903.6.peg.888,Metabolic:Urea cycle
411903.6.peg.889,Metabolic:Arginine and proline metabolism
411903.6.peg.890,Metabolic:Arginine and proline metabolism
411903.6.peg.891,Metabolic:Arginine and proline metabolism
411903.6.peg.894,Metabolic:Alanine and aspartate metabolism
411903.6.peg.896,Metabolic:Cell wall biosynthesis
411903.6.peg.898,Metabolic:Glutamate metabolism
411903.6.peg.899,Transcription
411903.6.peg.903,Metabolic:Terpenoid backbone biosynthesis
411903.6.peg.905,Transcription
411903.6.peg.906,tRNA-Charging
411903.6.peg.913,Metabolic:Glutathione metabolism
411903.6.peg.917,Metabolic:Terpenoid backbone biosynthesis
411903.6.peg.918,Metabolic:Terpenoid backbone biosynthesis
411903.6.peg.919,tRNA-Charging
411903.6.peg.920,Translation
411903.6.peg.923,Translation
411903.6.peg.924,tRNA-Charging
411903.6.peg.926,Transcription
411903.6.peg.927,Translation
411903.6.peg.928,tRNA-Charging
411903.6.peg.932,Metabolic:NAD metabolism
411903.6.peg.937,tRNA-Charging
411903.6.peg.938,"Metabolic:Transport, extracellular"
411903.6.peg.940,"Metabolic:Transport, extracellular"
411903.6.peg.945,Metabolic:Alanine and aspartate metabolism
411903.6.peg.946,tRNA-Charging
411903.6.peg.947,tRNA-Charging
411903.6.peg.948,Metabolic:Galactose metabolism
411903.6.peg.950,Metabolic:Exchange/demand reaction
411903.6.peg.951,Metabolic:Exchange/demand reaction
411903.6.peg.955,tRNA-Charging
411903.6.peg.956,tRNA-Charging
411903.6.peg.957,Translation
411903.6.peg.958,tRNA-Charging
411903.6.peg.959,Metabolic:Biotin metabolism
411903.6.peg.960,Metabolic:Fatty acid synthesis
411903.6.peg.963,Metabolic:Glycerophospholipid metabolism
411903.6.peg.964,Metabolic:Fatty acid synthesis
411903.6.peg.965,Metabolic:Fatty acid synthesis
411903.6.peg.966,Metabolic:Biotin metabolism
411903.6.peg.967,Metabolic:Fatty acid synthesis
411903.6.peg.968,Metabolic:Biotin metabolism
411903.6.peg.969,Metabolic:Pyruvate metabolism
411903.6.peg.972,tRNA-Charging
411903.6.peg.973,tRNA-Charging
411903.6.peg.974,tRNA-Charging
411903.6.peg.975,tRNA-Charging
411903.6.peg.976,tRNA-Charging
411903.6.peg.977,tRNA-Charging
411903.6.peg.978,tRNA-Charging
411903.6.peg.979,tRNA-Charging
411903.6.peg.980,tRNA-Charging
411903.6.peg.981,tRNA-Charging
411903.6.peg.982,tRNA-Charging
411903.6.peg.983,tRNA-Charging
411903.6.peg.992,"Metabolic:Transport, extracellular"
411903.6.peg.994,Metabolic:Glutamate metabolism
411903.6.peg.996,Metabolic:Nucleotide interconversion
411903.6.peg.1002,tRNA-Charging
411903.6.peg.1004,Metabolic:Arginine and proline metabolism
411903.6.peg.1008,Translation
411903.6.peg.1009,tRNA-Charging
411903.6.peg.1010,Translation
411903.6.peg.1026,Metabolic:Glycolysis/gluconeogenesis
411903.6.peg.1032,tRNA-Charging
411903.6.peg.1033,tRNA-Charging
411903.6.peg.1035,Metabolic:Cell wall biosynthesis
411903.6.peg.1044,Metabolic:Folate metabolism
411903.6.peg.1046,Metabolic:Methionine and cysteine metabolism
411903.6.peg.1047,Metabolic:Pyruvate metabolism
411903.6.peg.1055,"Metabolic:Transport, extracellular"
411903.6.peg.1056,"Metabolic:Transport, extracellular"
411903.6.peg.1062,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411903.6.peg.1064,Transcription
411903.6.peg.1085,Metabolic:Arginine and proline metabolism
411903.6.peg.1086,Metabolic:Pyruvate metabolism
411903.6.peg.1093,Metabolic:Exchange/demand reaction
411903.6.peg.1111,"Metabolic:Transport, extracellular"
411903.6.peg.1112,"Metabolic:Transport, extracellular"
411903.6.peg.1113,"Metabolic:Transport, extracellular"
411903.6.peg.1127,Translation
411903.6.peg.1128,Translation
411903.6.peg.1131,Metabolic:NAD metabolism
411903.6.peg.1132,Metabolic:NAD metabolism
411903.6.peg.1133,Metabolic:NAD metabolism
411903.6.peg.1137,Metabolic:Nucleotide interconversion
411903.6.peg.1144,Metabolic:Glyoxylate and dicarboxylate metabolism
