,subsystem
g.23426.CDS.0,Metabolic:Nucleotide interconversion
g.23426.CDS.4,Metabolic:Lipopolysaccharide biosynthesis
1046625.3.peg.4,Metabolic:Pyrimidine synthesis
g.23426.CDS.6,Metabolic:Benzoate degradation
1046625.3.peg.7,Metabolic:Alanine and aspartate metabolism
g.23426.CDS.13,Translation
1046625.3.peg.16,Metabolic:Vitamin B6 metabolism
g.23426.CDS.18,Metabolic:Lipopolysaccharide biosynthesis
g.23426.CDS.24,Metabolic:Fatty acid synthesis
g.23426.CDS.38,Translation
g.23426.CDS.45,Metabolic:Pyruvate metabolism
1046625.3.peg.45,Metabolic:Purine synthesis
1046625.3.peg.46,Metabolic:Purine synthesis
g.23426.CDS.49,Metabolic:Pyruvate metabolism
g.23426.CDS.55,Metabolic:Glycerophospholipid metabolism
1046625.3.peg.55,Metabolic:Glycolysis/gluconeogenesis
g.23426.CDS.59,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.23426.CDS.60,Metabolic:Lipopolysaccharide biosynthesis
g.23426.CDS.69,"Metabolic:Transport, extracellular"
1046625.3.peg.71,Metabolic:Purine synthesis
g.23426.CDS.72,Metabolic:Citric acid cycle
g.23426.CDS.76,"Metabolic:Transport, extracellular"
g.23426.CDS.83,Metabolic:Citric acid cycle
g.23426.CDS.97,tRNA-Charging
g.23426.CDS.99,Metabolic:NAD metabolism
1046625.3.peg.99,Metabolic:NAD metabolism
g.23426.CDS.101,Metabolic:Galactose metabolism
g.23426.CDS.105,"Metabolic:Transport, extracellular"
g.23426.CDS.107,Translation
g.23426.CDS.108,"Metabolic:Valine, leucine, and isoleucine metabolism"
1046625.3.peg.109,Metabolic:Vitamin B6 metabolism
1046625.3.peg.115,Metabolic:Alanine and aspartate metabolism
g.23426.CDS.119,Metabolic:Benzoate degradation
1046625.3.peg.124,Metabolic:Glycolysis/gluconeogenesis
g.23426.CDS.130,"Metabolic:Valine, leucine, and isoleucine metabolism"
1046625.3.peg.131,Metabolic:Arginine and proline metabolism
g.23426.CDS.134,Metabolic:Butanoate metabolism
g.23426.CDS.136,Metabolic:Urea cycle
g.23426.CDS.137,Transcription
g.23426.CDS.143,Metabolic:Pyrimidine synthesis
1046625.3.peg.143,Metabolic:Arginine and proline metabolism
g.23426.CDS.148,"Metabolic:Transport, extracellular"
g.23426.CDS.154,Translation
1046625.3.peg.157,Metabolic:CoA synthesis
1046625.3.peg.158,Metabolic:CoA synthesis
g.23426.CDS.174,Metabolic:Glutathione metabolism
g.23426.CDS.177,"Metabolic:Transport, extracellular"
g.23426.CDS.179,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
g.23426.CDS.191,Metabolic:Propanoate metabolism
g.23426.CDS.195,Translation
g.23426.CDS.196,Metabolic:Starch and sucrose metabolism
