,subsystem
220668.9.peg.1,Metabolic:Exchange/demand reaction
220668.9.peg.2,Metabolic:Exchange/demand reaction
220668.9.peg.5,Metabolic:Exchange/demand reaction
220668.9.peg.6,Metabolic:Exchange/demand reaction
220668.9.peg.7,tRNA-Charging
220668.9.peg.8,Metabolic:Exchange/demand reaction
220668.9.peg.9,tRNA-Charging
220668.9.peg.11,tRNA-Charging
220668.9.peg.14,Metabolic:Arginine and proline metabolism
220668.9.peg.15,Metabolic:Arginine and proline metabolism
220668.9.peg.16,"Metabolic:Transport, extracellular"
220668.9.peg.19,Metabolic:Glycolysis/gluconeogenesis
220668.9.peg.20,Metabolic:Glycolysis/gluconeogenesis
220668.9.peg.21,Metabolic:Starch and sucrose metabolism
220668.9.peg.22,Metabolic:Starch and sucrose metabolism
220668.9.peg.25,Metabolic:Glycolysis/gluconeogenesis
220668.9.peg.26,Metabolic:Starch and sucrose metabolism
220668.9.peg.30,Metabolic:Exchange/demand reaction
220668.9.peg.31,Metabolic:Exchange/demand reaction
220668.9.peg.38,Metabolic:Glyoxylate and dicarboxylate metabolism
220668.9.peg.51,Metabolic:Respiration
220668.9.peg.53,Metabolic:Glycolysis/gluconeogenesis
220668.9.peg.57,Metabolic:Tyrosine metabolism
220668.9.peg.63,Translation
220668.9.peg.75,"Metabolic:Transport, extracellular"
220668.9.peg.91,Metabolic:Thiamine metabolism
220668.9.peg.92,Metabolic:Thiamine metabolism
220668.9.peg.93,Metabolic:Thiamine metabolism
220668.9.peg.102,Metabolic:Pyrimidine catabolism
220668.9.peg.112,Metabolic:Pentose and glucuronate interconversions
220668.9.peg.136,Metabolic:Pyruvate metabolism
220668.9.peg.137,Metabolic:Pyruvate metabolism
220668.9.peg.138,Metabolic:Pyruvate metabolism
220668.9.peg.139,"Metabolic:Transport, extracellular"
220668.9.peg.142,Metabolic:Starch and sucrose metabolism
220668.9.peg.143,"Metabolic:Transport, extracellular"
220668.9.peg.144,"Metabolic:Transport, extracellular"
220668.9.peg.145,"Metabolic:Transport, extracellular"
220668.9.peg.148,"Metabolic:Transport, extracellular"
220668.9.peg.149,Metabolic:Starch and sucrose metabolism
220668.9.peg.152,Metabolic:Fructose and mannose metabolism
220668.9.peg.153,"Metabolic:Transport, extracellular"
220668.9.peg.154,Metabolic:Starch and sucrose metabolism
220668.9.peg.156,Metabolic:Starch and sucrose metabolism
220668.9.peg.159,Metabolic:Starch and sucrose metabolism
220668.9.peg.164,"Metabolic:Transport, extracellular"
220668.9.peg.165,"Metabolic:Transport, extracellular"
220668.9.peg.167,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
220668.9.peg.168,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
220668.9.peg.174,Metabolic:Pyruvate metabolism
