,subsystem
g.31657.CDS.2,Metabolic:Urea cycle
g.31657.CDS.5,Metabolic:Folate metabolism
g.31657.CDS.7,"Metabolic:Transport, extracellular"
g.31657.CDS.26,"Metabolic:Transport, extracellular"
g.31657.CDS.32,tRNA-Charging
1274524.3.peg.43,Metabolic:Citric acid cycle
1274524.3.peg.45,Metabolic:Alanine and aspartate metabolism
g.31657.CDS.47,Translation
g.31657.CDS.51,Metabolic:Purine catabolism
g.31657.CDS.54,Metabolic:Vitamin B12 metabolism
g.31657.CDS.58,Metabolic:Heme synthesis
g.31657.CDS.60,"Metabolic:Transport, extracellular"
g.31657.CDS.63,Metabolic:Folate metabolism
g.31657.CDS.76,Metabolic:Naphthalene degradation
g.31657.CDS.85,Translation
1274524.3.peg.86,Metabolic:Citric acid cycle
g.31657.CDS.87,Metabolic:Pyrimidine catabolism
1274524.3.peg.87,Metabolic:Citric acid cycle
1274524.3.peg.93,Metabolic:Vitamin B6 metabolism
g.31657.CDS.97,tRNA-Charging
g.31657.CDS.103,Metabolic:Arginine and proline metabolism
g.31657.CDS.104,Metabolic:Miscellaneous
1274524.3.peg.104,Metabolic:Arginine and proline metabolism
1274524.3.peg.105,Metabolic:Methionine and cysteine metabolism
g.31657.CDS.120,Metabolic:Cell wall biosynthesis
g.31657.CDS.121,Metabolic:Purine catabolism
g.31657.CDS.132,Metabolic:Glycerophospholipid metabolism
g.31657.CDS.134,tRNA-Charging
g.31657.CDS.136,Translation
g.31657.CDS.144,Metabolic:Citric acid cycle
g.31657.CDS.149,"Metabolic:Transport, extracellular"
g.31657.CDS.154,Metabolic:Glycerophospholipid metabolism
g.31657.CDS.155,Metabolic:Glycolysis/gluconeogenesis
g.31657.CDS.158,"Metabolic:Transport, extracellular"
g.31657.CDS.178,tRNA-Charging
g.31657.CDS.180,Metabolic:Fatty acid synthesis
g.31657.CDS.184,Metabolic:Methionine and cysteine metabolism
g.31657.CDS.189,Metabolic:Lysine metabolism
g.31657.CDS.190,Metabolic:Citric acid cycle
g.31657.CDS.196,Metabolic:NAD metabolism
g.31657.CDS.216,Metabolic:Phenylalanine metabolism
g.31657.CDS.220,Metabolic:Heme synthesis
g.31657.CDS.222,Metabolic:Fatty acid synthesis
g.31657.CDS.229,"Metabolic:Transport, extracellular"
g.31657.CDS.234,Metabolic:Glycerophospholipid metabolism
g.31657.CDS.236,tRNA-Charging
g.31657.CDS.237,Metabolic:Nucleotide interconversion
g.31657.CDS.241,Metabolic:NAD metabolism
g.31657.CDS.246,Metabolic:Methionine and cysteine metabolism
g.31657.CDS.249,Metabolic:NAD metabolism
g.31657.CDS.252,Translation
g.31657.CDS.254,Metabolic:Squalene and cholesterol synthesis
g.31657.CDS.261,tRNA-Charging
g.31657.CDS.270,Metabolic:Phenylalanine metabolism
g.31657.CDS.272,Metabolic:Exchange/demand reaction
g.31657.CDS.276,"Metabolic:Transport, extracellular"
1274524.3.peg.280,Metabolic:Arginine and proline metabolism
g.31657.CDS.286,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
g.31657.CDS.292,"Metabolic:Transport, extracellular"
1274524.3.peg.301,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.31657.CDS.304,Metabolic:Fatty acid synthesis
1274524.3.peg.306,Metabolic:Folate metabolism
g.31657.CDS.308,Metabolic:Methionine and cysteine metabolism
1274524.3.peg.311,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31657.CDS.312,Metabolic:ROS detoxification
g.31657.CDS.316,Metabolic:Respiration
1274524.3.peg.317,Metabolic:Methionine and cysteine metabolism
g.31657.CDS.323,"Metabolic:Transport, extracellular"
g.31657.CDS.326,Metabolic:Vitamin B12 metabolism
