,subsystem
6x7.58845.peg.273,Metabolic:Purine synthesis
6x7.58845.peg.274,Metabolic:Purine synthesis
6x7.58845.peg.275,Metabolic:Purine synthesis
6x7.58845.peg.280,Metabolic:Exchange/demand reaction
6x7.58845.peg.281,Metabolic:Exchange/demand reaction
6x7.58845.peg.284,Metabolic:Glutamate metabolism
6x7.58845.peg.285,Metabolic:Biosynthesis of siderophore group nonribosomal peptides
6x7.58845.peg.287,"Metabolic:Transport, extracellular"
6x7.58845.peg.288,"Metabolic:Transport, extracellular"
6x7.58845.peg.294,tRNA-Charging
6x7.58845.peg.295,tRNA-Charging
6x7.58845.peg.296,tRNA-Charging
6x7.58845.peg.299,Metabolic:Glutamate metabolism
6x7.58845.peg.301,Metabolic:Butanoate metabolism
6x7.58845.peg.308,"Metabolic:Transport, extracellular"
6x7.58845.peg.309,Translation
6x7.58845.peg.317,"Metabolic:Transport, extracellular"
6x7.58845.peg.322,Metabolic:Arginine and proline metabolism
6x7.58845.peg.323,Metabolic:Arginine and proline metabolism
6x7.58845.peg.328,Metabolic:Sulfur metabolism
6x7.58845.peg.337,Metabolic:Tryptophan metabolism
6x7.58845.peg.348,Metabolic:Arginine and proline metabolism
6x7.58845.peg.349,Metabolic:Arginine and proline metabolism
6x7.58845.peg.350,"Metabolic:Transport, extracellular"
6x7.58845.peg.351,Metabolic:Arginine and proline metabolism
6x7.58845.peg.355,Metabolic:Starch and sucrose metabolism
6x7.58845.peg.356,"Metabolic:Transport, extracellular"
6x7.58845.peg.360,Metabolic:Thiamine metabolism
6x7.58845.peg.361,Metabolic:Thiamine metabolism
6x7.58845.peg.364,Metabolic:Propanoate metabolism
6x7.58845.peg.372,Metabolic:ROS detoxification
6x7.58845.peg.381,tRNA-Charging
6x7.58845.peg.383,Metabolic:Aminosugar metabolism
6x7.58845.peg.396,"Metabolic:Transport, extracellular"
6x7.58845.peg.405,"Metabolic:Transport, extracellular"
6x7.58845.peg.409,Metabolic:Citric acid cycle
6x7.58845.peg.413,Metabolic:Cell wall biosynthesis
6x7.58845.peg.414,Metabolic:Pyrimidine synthesis
6x7.58845.peg.417,Metabolic:Fatty acid oxidation
6x7.58845.peg.418,"Metabolic:Transport, extracellular"
6x7.58845.peg.424,Metabolic:Glutamate metabolism
6x7.58845.peg.426,"Metabolic:Transport, extracellular"
6x7.58845.peg.432,Metabolic:Nucleotide sugar metabolism
6x7.58845.peg.434,Metabolic:Pyruvate metabolism
6x7.58845.peg.435,Metabolic:Pyruvate metabolism
6x7.58845.peg.436,Metabolic:Cell wall biosynthesis
6x7.58845.peg.454,Metabolic:Glutamate metabolism
6x7.58845.peg.455,Metabolic:Heme synthesis
6x7.58845.peg.477,"Metabolic:Transport, extracellular"
6x7.58845.peg.485,Metabolic:Fatty acid oxidation
6x7.58845.peg.490,"Metabolic:Transport, extracellular"
6x7.58845.peg.491,"Metabolic:Transport, extracellular"
6x7.58845.peg.492,"Metabolic:Transport, extracellular"
6x7.58845.peg.493,"Metabolic:Transport, extracellular"
6x7.58845.peg.503,"Metabolic:Transport, extracellular"
6x7.58845.peg.504,Metabolic:Citric acid cycle
6x7.58845.peg.515,Metabolic:Glyoxylate and dicarboxylate metabolism
6x7.58845.peg.516,Metabolic:Glyoxylate and dicarboxylate metabolism
6x7.58845.peg.518,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.519,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.523,Metabolic:NAD metabolism
6x7.58845.peg.532,"Metabolic:Transport, extracellular"
6x7.58845.peg.535,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.541,"Metabolic:Transport, extracellular"
6x7.58845.peg.543,"Metabolic:Transport, extracellular"
6x7.58845.peg.545,Metabolic:Cell wall biosynthesis
6x7.58845.peg.546,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
6x7.58845.peg.547,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
6x7.58845.peg.551,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.554,"Metabolic:Transport, extracellular"
6x7.58845.peg.556,"Metabolic:Transport, extracellular"
6x7.58845.peg.557,Metabolic:Starch and sucrose metabolism
6x7.58845.peg.562,"Metabolic:Transport, extracellular"
6x7.58845.peg.564,"Metabolic:Transport, extracellular"
6x7.58845.peg.567,"Metabolic:Transport, extracellular"
6x7.58845.peg.570,Transcription
6x7.58845.peg.573,Metabolic:Folate metabolism
6x7.58845.peg.577,"Metabolic:Transport, extracellular"
6x7.58845.peg.580,"Metabolic:Transport, extracellular"
6x7.58845.peg.585,Metabolic:Pentose phosphate pathway
6x7.58845.peg.586,"Metabolic:Transport, extracellular"
6x7.58845.peg.587,"Metabolic:Transport, extracellular"
6x7.58845.peg.588,"Metabolic:Transport, extracellular"
6x7.58845.peg.589,"Metabolic:Transport, extracellular"
6x7.58845.peg.590,Metabolic:Pentose phosphate pathway
6x7.58845.peg.595,Metabolic:Butanoate metabolism
6x7.58845.peg.599,Metabolic:Ascorbate and aldarate metabolism
6x7.58845.peg.604,Metabolic:Cell wall biosynthesis
6x7.58845.peg.613,"Metabolic:Transport, extracellular"
6x7.58845.peg.616,"Metabolic:Transport, extracellular"
6x7.58845.peg.622,"Metabolic:Transport, extracellular"
6x7.58845.peg.623,Metabolic:Respiration
6x7.58845.peg.624,Metabolic:Respiration
6x7.58845.peg.625,Metabolic:Respiration
6x7.58845.peg.626,Metabolic:Respiration
6x7.58845.peg.627,"Metabolic:Transport, extracellular"
6x7.58845.peg.636,"Metabolic:Transport, extracellular"
6x7.58845.peg.637,"Metabolic:Transport, extracellular"
6x7.58845.peg.639,"Metabolic:Transport, extracellular"
6x7.58845.peg.640,"Metabolic:Transport, extracellular"
6x7.58845.peg.641,"Metabolic:Transport, extracellular"
6x7.58845.peg.656,Metabolic:Thiamine metabolism
6x7.58845.peg.657,Metabolic:Thiamine metabolism
6x7.58845.peg.658,Metabolic:Thiamine metabolism
6x7.58845.peg.659,Metabolic:Thiamine metabolism
6x7.58845.peg.660,Metabolic:Thiamine metabolism
6x7.58845.peg.661,Metabolic:Thiamine metabolism
6x7.58845.peg.665,"Metabolic:Transport, extracellular"
6x7.58845.peg.666,"Metabolic:Transport, extracellular"
6x7.58845.peg.667,"Metabolic:Transport, extracellular"
6x7.58845.peg.673,"Metabolic:Transport, extracellular"
6x7.58845.peg.678,Metabolic:ROS detoxification
6x7.58845.peg.703,Metabolic:Pyruvate metabolism
6x7.58845.peg.704,"Metabolic:Transport, extracellular"
6x7.58845.peg.708,"Metabolic:Transport, extracellular"
6x7.58845.peg.709,"Metabolic:Transport, extracellular"
6x7.58845.peg.710,"Metabolic:Transport, extracellular"
6x7.58845.peg.719,"Metabolic:Transport, extracellular"
6x7.58845.peg.720,"Metabolic:Transport, extracellular"
6x7.58845.peg.724,Metabolic:Pyruvate metabolism
6x7.58845.peg.761,Metabolic:ROS detoxification
6x7.58845.peg.763,"Metabolic:Transport, extracellular"
6x7.58845.peg.764,Metabolic:Glycolysis/gluconeogenesis
6x7.58845.peg.789,Metabolic:Butanoate metabolism
6x7.58845.peg.793,Metabolic:Cell wall biosynthesis
6x7.58845.peg.794,Metabolic:Vitamin B12 metabolism
6x7.58845.peg.795,Metabolic:Fatty acid synthesis
6x7.58845.peg.797,"Metabolic:Transport, extracellular"
6x7.58845.peg.802,Metabolic:Fatty acid synthesis
6x7.58845.peg.811,Metabolic:Arginine and proline metabolism
6x7.58845.peg.812,"Metabolic:Transport, extracellular"
6x7.58845.peg.814,"Metabolic:Transport, extracellular"
6x7.58845.peg.815,"Metabolic:Transport, extracellular"
6x7.58845.peg.816,"Metabolic:Transport, extracellular"
6x7.58845.peg.817,Metabolic:ROS detoxification
6x7.58845.peg.822,Metabolic:Propanoate metabolism
6x7.58845.peg.824,Metabolic:Purine synthesis
6x7.58845.peg.877,Translation
6x7.58845.peg.894,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.895,Metabolic:Respiration
6x7.58845.peg.902,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.961,"Metabolic:Transport, extracellular"
6x7.58845.peg.962,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.963,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.987,Metabolic:Fatty acid synthesis
6x7.58845.peg.992,Metabolic:Cell wall biosynthesis
6x7.58845.peg.993,Metabolic:Heme synthesis
6x7.58845.peg.994,Metabolic:Heme synthesis
6x7.58845.peg.995,Metabolic:Heme synthesis
6x7.58845.peg.1010,Metabolic:Lipoate metabolism
6x7.58845.peg.1012,Metabolic:Propanoate metabolism
6x7.58845.peg.1021,Metabolic:Nucleotide interconversion
6x7.58845.peg.1037,Metabolic:Glyoxylate and dicarboxylate metabolism
6x7.58845.peg.1038,Metabolic:Citric acid cycle
6x7.58845.peg.1058,Metabolic:Arginine and proline metabolism
6x7.58845.peg.1061,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.1062,Metabolic:Heme synthesis
6x7.58845.peg.1063,Metabolic:ROS detoxification
6x7.58845.peg.1064,"Metabolic:Transport, extracellular"
6x7.58845.peg.1081,Metabolic:Fatty acid synthesis
6x7.58845.peg.1082,Metabolic:Fatty acid synthesis
6x7.58845.peg.1086,tRNA-Charging
6x7.58845.peg.1088,"Metabolic:Transport, extracellular"
6x7.58845.peg.1090,"Metabolic:Transport, extracellular"
6x7.58845.peg.1091,"Metabolic:Transport, extracellular"
6x7.58845.peg.1092,"Metabolic:Transport, extracellular"
6x7.58845.peg.1094,"Metabolic:Transport, extracellular"
6x7.58845.peg.1099,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.1105,Metabolic:Nucleotide interconversion
6x7.58845.peg.1107,Metabolic:Vitamin B2 metabolism
6x7.58845.peg.1108,Metabolic:NAD metabolism
6x7.58845.peg.1121,Metabolic:Nucleotide sugar metabolism
6x7.58845.peg.1122,Metabolic:Cell wall biosynthesis
6x7.58845.peg.1123,Metabolic:Nucleotide sugar metabolism
6x7.58845.peg.1124,Metabolic:Lipopolysaccharide biosynthesis
6x7.58845.peg.1125,Metabolic:Fatty acid synthesis
6x7.58845.peg.1140,"Metabolic:Transport, extracellular"
6x7.58845.peg.1142,Metabolic:Tryptophan metabolism
6x7.58845.peg.1143,Metabolic:Folate metabolism
6x7.58845.peg.1144,Metabolic:Tryptophan metabolism
405531.7.peg.1144,Metabolic:Tryptophan metabolism
6x7.58845.peg.1145,Metabolic:Tryptophan metabolism
6x7.58845.peg.1147,Metabolic:Tryptophan metabolism
6x7.58845.peg.1148,Metabolic:Tryptophan metabolism
6x7.58845.peg.1158,Metabolic:Respiration
6x7.58845.peg.1162,Translation
6x7.58845.peg.1164,Metabolic:Pyruvate metabolism
6x7.58845.peg.1165,Metabolic:Pyruvate metabolism
6x7.58845.peg.1187,Metabolic:Glyoxylate and dicarboxylate metabolism
6x7.58845.peg.1188,"Metabolic:Transport, extracellular"
6x7.58845.peg.1189,"Metabolic:Transport, extracellular"
6x7.58845.peg.1190,"Metabolic:Transport, extracellular"
6x7.58845.peg.1191,"Metabolic:Transport, extracellular"
6x7.58845.peg.1192,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.1198,Metabolic:Glyoxylate and dicarboxylate metabolism
6x7.58845.peg.1210,"Metabolic:Transport, extracellular"
6x7.58845.peg.1212,"Metabolic:Transport, extracellular"
6x7.58845.peg.1214,Metabolic:Fatty acid synthesis
6x7.58845.peg.1218,Metabolic:Glyoxylate and dicarboxylate metabolism
6x7.58845.peg.1221,"Metabolic:Transport, extracellular"
6x7.58845.peg.1227,Metabolic:Aminophosphonate metabolism
6x7.58845.peg.1228,Metabolic:Phosphonate and phosphinate metabolism
6x7.58845.peg.1254,Metabolic:Nucleotide interconversion
6x7.58845.peg.1255,Metabolic:Nucleotide interconversion
6x7.58845.peg.1256,Metabolic:Nucleotide interconversion
6x7.58845.peg.1266,Metabolic:Biosynthesis of siderophore group nonribosomal peptides
6x7.58845.peg.1270,Metabolic:Cell wall biosynthesis
6x7.58845.peg.1271,Metabolic:Cell wall biosynthesis
6x7.58845.peg.1272,Metabolic:Cell wall biosynthesis
6x7.58845.peg.1273,Metabolic:Cell wall biosynthesis
6x7.58845.peg.1285,Metabolic:Cell wall biosynthesis
6x7.58845.peg.1286,Metabolic:ROS detoxification
6x7.58845.peg.1291,"Metabolic:Transport, extracellular"
6x7.58845.peg.1298,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1299,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1300,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1301,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1302,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1303,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1304,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1305,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1306,Metabolic:Histidine metabolism
6x7.58845.peg.1307,Metabolic:Histidine metabolism
6x7.58845.peg.1308,Metabolic:Histidine metabolism
6x7.58845.peg.1309,Metabolic:Histidine metabolism
6x7.58845.peg.1310,Metabolic:Histidine metabolism
6x7.58845.peg.1311,Metabolic:Histidine metabolism
6x7.58845.peg.1313,Metabolic:Histidine metabolism
6x7.58845.peg.1314,Metabolic:Histidine metabolism
6x7.58845.peg.1315,Metabolic:Histidine metabolism
6x7.58845.peg.1317,Metabolic:Glyoxylate and dicarboxylate metabolism
6x7.58845.peg.1318,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.1321,Metabolic:Lysine metabolism
6x7.58845.peg.1323,Metabolic:Methionine and cysteine metabolism
6x7.58845.peg.1324,Metabolic:Nucleotide interconversion
6x7.58845.peg.1325,Metabolic:Nucleotide interconversion
6x7.58845.peg.1328,Metabolic:Vitamin B12 metabolism
6x7.58845.peg.1329,Metabolic:Vitamin B12 metabolism
6x7.58845.peg.1330,Metabolic:Vitamin B12 metabolism
6x7.58845.peg.1334,"Metabolic:Transport, extracellular"
6x7.58845.peg.1343,"Metabolic:Transport, extracellular"
6x7.58845.peg.1350,Metabolic:Nitrogen metabolism
6x7.58845.peg.1354,"Metabolic:Transport, extracellular"
6x7.58845.peg.1356,Metabolic:Cell wall biosynthesis
6x7.58845.peg.1364,Metabolic:NAD metabolism
6x7.58845.peg.1369,Metabolic:ROS detoxification
6x7.58845.peg.1373,Translation
6x7.58845.peg.1379,Metabolic:Vitamin B12 metabolism
6x7.58845.peg.1383,"Metabolic:Transport, extracellular"
6x7.58845.peg.1392,Metabolic:Glutamate metabolism
6x7.58845.peg.1396,Metabolic:Sulfur metabolism
6x7.58845.peg.1397,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.1399,Metabolic:Nucleotide interconversion
6x7.58845.peg.1400,Translation
6x7.58845.peg.1401,Metabolic:Squalene and cholesterol synthesis
6x7.58845.peg.1407,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.1412,Metabolic:Exchange/demand reaction
6x7.58845.peg.1413,Metabolic:Tetrahydrobiopterin metabolism
6x7.58845.peg.1414,Metabolic:Terpenoid backbone biosynthesis
6x7.58845.peg.1415,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
6x7.58845.peg.1416,Metabolic:Terpenoid backbone biosynthesis
6x7.58845.peg.1417,Metabolic:Nucleotide interconversion
6x7.58845.peg.1418,Metabolic:Phenylalanine metabolism
6x7.58845.peg.1419,Metabolic:Phenylalanine metabolism
6x7.58845.peg.1420,Metabolic:Histidine metabolism
6x7.58845.peg.1424,Metabolic:Oxidative phosphorylation
6x7.58845.peg.1425,Metabolic:Oxidative phosphorylation
6x7.58845.peg.1426,Metabolic:Oxidative phosphorylation
6x7.58845.peg.1434,Metabolic:Lysine metabolism
6x7.58845.peg.1435,Metabolic:Pyruvate metabolism
6x7.58845.peg.1438,Metabolic:Exchange/demand reaction
6x7.58845.peg.1439,Metabolic:Biotin metabolism
6x7.58845.peg.1441,Metabolic:CoA synthesis
6x7.58845.peg.1442,Metabolic:CoA synthesis
6x7.58845.peg.1443,Metabolic:beta-Alanine metabolism
6x7.58845.peg.1447,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.1452,Metabolic:Cell wall biosynthesis
6x7.58845.peg.1463,Translation
6x7.58845.peg.1469,Metabolic:Glutathione metabolism
6x7.58845.peg.1470,Metabolic:Purine catabolism
6x7.58845.peg.1471,"Metabolic:Transport, extracellular"
6x7.58845.peg.1492,Metabolic:Cell wall biosynthesis
6x7.58845.peg.1497,Metabolic:Biosynthesis of siderophore group nonribosomal peptides
6x7.58845.peg.1509,"Metabolic:Transport, extracellular"
6x7.58845.peg.1514,Metabolic:Biotin metabolism
6x7.58845.peg.1541,Metabolic:Cell wall biosynthesis
6x7.58845.peg.1610,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.1614,"Metabolic:Transport, extracellular"
6x7.58845.peg.1621,"Metabolic:Transport, extracellular"
6x7.58845.peg.1624,Metabolic:Citric acid cycle
6x7.58845.peg.1640,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
6x7.58845.peg.1652,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.1653,Metabolic:Nucleotide interconversion
6x7.58845.peg.1654,"Metabolic:Transport, extracellular"
6x7.58845.peg.1655,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
6x7.58845.peg.1656,Metabolic:Citric acid cycle
6x7.58845.peg.1663,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.1665,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
6x7.58845.peg.1676,Metabolic:Fatty acid synthesis
6x7.58845.peg.1679,Metabolic:Methionine and cysteine metabolism
6x7.58845.peg.1691,"Metabolic:Transport, extracellular"
6x7.58845.peg.1692,Metabolic:Fatty acid synthesis
6x7.58845.peg.1693,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1694,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1695,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1696,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1697,"Metabolic:Valine, leucine, and isoleucine metabolism"
6x7.58845.peg.1698,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
6x7.58845.peg.1704,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.1710,"Metabolic:Transport, extracellular"
6x7.58845.peg.1711,Translation
6x7.58845.peg.1715,"Metabolic:Transport, extracellular"
6x7.58845.peg.1718,Metabolic:CoA synthesis
6x7.58845.peg.1733,Metabolic:Pentose phosphate pathway
6x7.58845.peg.1734,"Metabolic:Transport, extracellular"
6x7.58845.peg.1735,Metabolic:Nucleotide interconversion
6x7.58845.peg.1736,Metabolic:Pyrimidine catabolism
6x7.58845.peg.1755,"Metabolic:Transport, extracellular"
6x7.58845.peg.1769,Metabolic:Pyruvate metabolism
6x7.58845.peg.1770,Metabolic:Tryptophan metabolism
6x7.58845.peg.1773,"Metabolic:Transport, extracellular"
6x7.58845.peg.1774,"Metabolic:Transport, extracellular"
6x7.58845.peg.1775,"Metabolic:Transport, extracellular"
6x7.58845.peg.1776,"Metabolic:Transport, extracellular"
6x7.58845.peg.1777,"Metabolic:Transport, extracellular"
6x7.58845.peg.1782,Metabolic:Starch and sucrose metabolism
6x7.58845.peg.1783,Metabolic:Aminosugar metabolism
6x7.58845.peg.1785,Metabolic:NAD metabolism
6x7.58845.peg.1787,Metabolic:Fatty acid synthesis
6x7.58845.peg.1799,Metabolic:Respiration
6x7.58845.peg.1800,Metabolic:Respiration
6x7.58845.peg.1801,Metabolic:Respiration
6x7.58845.peg.1802,Metabolic:Respiration
6x7.58845.peg.1820,Metabolic:Fatty acid synthesis
6x7.58845.peg.1827,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
6x7.58845.peg.1828,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
6x7.58845.peg.1829,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
6x7.58845.peg.1845,"Metabolic:Transport, extracellular"
6x7.58845.peg.1846,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.1854,Metabolic:NAD metabolism
6x7.58845.peg.1888,Metabolic:Vitamin B2 metabolism
6x7.58845.peg.1893,Metabolic:Tryptophan metabolism
6x7.58845.peg.1894,Translation
6x7.58845.peg.1898,"Metabolic:Transport, extracellular"
6x7.58845.peg.1904,"Metabolic:Transport, extracellular"
6x7.58845.peg.1913,"Metabolic:Transport, extracellular"
6x7.58845.peg.1917,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.1927,"Metabolic:Transport, extracellular"
6x7.58845.peg.1945,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.1983,Metabolic:Cell wall biosynthesis
6x7.58845.peg.1984,Metabolic:Folate metabolism
6x7.58845.peg.2002,Metabolic:Nitrogen metabolism
6x7.58845.peg.2003,Metabolic:Nitrogen metabolism
6x7.58845.peg.2004,Metabolic:Nitrogen metabolism
6x7.58845.peg.2005,Metabolic:Nitrogen metabolism
6x7.58845.peg.2012,"Metabolic:Transport, extracellular"
6x7.58845.peg.2015,Metabolic:Vitamin B12 metabolism
6x7.58845.peg.2016,Metabolic:Vitamin B12 metabolism
6x7.58845.peg.2017,Metabolic:Vitamin B12 metabolism
