,subsystem
347253.5.peg.352,Metabolic:Nucleotide interconversion
g.26457.CDS.353,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.355,Metabolic:Squalene and cholesterol synthesis
g.26457.CDS.356,Translation
g.26457.CDS.364,Metabolic:Aminosugar metabolism
g.26457.CDS.367,"Metabolic:Transport, extracellular"
g.26457.CDS.368,Metabolic:Arginine and proline metabolism
g.26457.CDS.372,Metabolic:Biotin metabolism
g.26457.CDS.380,Metabolic:Nucleotide interconversion
347253.5.peg.380,Metabolic:Urea cycle
347253.5.peg.381,Metabolic:Urea cycle
347253.5.peg.382,Metabolic:Arginine and proline metabolism
347253.5.peg.383,Metabolic:Arginine and proline metabolism
g.26457.CDS.385,Metabolic:Exchange/demand reaction
347253.5.peg.385,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
347253.5.peg.386,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.26457.CDS.387,Metabolic:Unassigned
g.26457.CDS.391,Translation
g.26457.CDS.395,Metabolic:Pyruvate metabolism
g.26457.CDS.397,"Metabolic:Transport, extracellular"
g.26457.CDS.398,Translation
347253.5.peg.406,Metabolic:Glycolysis/gluconeogenesis
347253.5.peg.407,Metabolic:Pentose phosphate pathway
g.26457.CDS.408,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.26457.CDS.410,Metabolic:Thiamine metabolism
g.26457.CDS.411,Transcription
g.26457.CDS.414,tRNA-Charging
g.26457.CDS.416,Translation
g.26457.CDS.422,"Metabolic:Transport, extracellular"
g.26457.CDS.423,Metabolic:Vitamin B2 metabolism
g.26457.CDS.432,Metabolic:Arginine and proline metabolism
g.26457.CDS.435,"Metabolic:Transport, extracellular"
347253.5.peg.438,Metabolic:Pyrimidine synthesis
347253.5.peg.439,Metabolic:Pyrimidine synthesis
347253.5.peg.440,Metabolic:Pyrimidine synthesis
g.26457.CDS.442,tRNA-Charging
g.26457.CDS.443,Metabolic:Cell wall biosynthesis
g.26457.CDS.455,Metabolic:Starch and sucrose metabolism
g.26457.CDS.457,tRNA-Charging
g.26457.CDS.459,Metabolic:Exchange/demand reaction
g.26457.CDS.466,Transcription
g.26457.CDS.469,"Metabolic:Transport, extracellular"
g.26457.CDS.473,Metabolic:Nucleotide interconversion
g.26457.CDS.476,Translation
g.26457.CDS.481,Translation
g.26457.CDS.482,Metabolic:Aminosugar metabolism
g.26457.CDS.483,Metabolic:Exchange/demand reaction
g.26457.CDS.484,Metabolic:Lipopolysaccharide biosynthesis
g.26457.CDS.486,"Metabolic:Transport, extracellular"
g.26457.CDS.497,Metabolic:Pentose phosphate pathway
347253.5.peg.500,Metabolic:Cell wall biosynthesis
g.26457.CDS.502,Metabolic:Phenylalanine metabolism
g.26457.CDS.505,Metabolic:Cell wall biosynthesis
g.26457.CDS.506,"Metabolic:Transport, extracellular"
g.26457.CDS.511,Translation
g.26457.CDS.513,Metabolic:Squalene and cholesterol synthesis
g.26457.CDS.515,tRNA-Charging
g.26457.CDS.517,tRNA-Charging
347253.5.peg.517,Metabolic:Folate metabolism
g.26457.CDS.518,Metabolic:Folate metabolism
g.26457.CDS.519,Metabolic:Methionine and cysteine metabolism
347253.5.peg.522,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.525,"Metabolic:Transport, extracellular"
g.26457.CDS.526,Metabolic:Lysine metabolism
347253.5.peg.529,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.26457.CDS.530,Metabolic:Arginine and proline metabolism
g.26457.CDS.531,Translation
g.26457.CDS.534,Metabolic:Methionine and cysteine metabolism
347253.5.peg.539,Metabolic:Arginine and proline metabolism
g.26457.CDS.544,Metabolic:Purine catabolism
g.26457.CDS.551,Metabolic:Histidine metabolism
g.26457.CDS.553,Metabolic:Carbon fixation in photosynthetic organisms
g.26457.CDS.555,Translation
347253.5.peg.556,Metabolic:CoA synthesis
g.26457.CDS.567,Metabolic:Urea cycle
347253.5.peg.568,Metabolic:Glycolysis/gluconeogenesis
g.26457.CDS.569,"Metabolic:Transport, extracellular"
347253.5.peg.575,Metabolic:Phenylalanine metabolism
g.26457.CDS.576,tRNA-Charging
347253.5.peg.576,Metabolic:Tyrosine metabolism
g.26457.CDS.579,Metabolic:Nucleotide interconversion
347253.5.peg.579,Metabolic:Phenylalanine metabolism
347253.5.peg.580,Metabolic:Phenylalanine metabolism
g.26457.CDS.581,tRNA-Charging
347253.5.peg.581,Metabolic:Phenylalanine metabolism
g.26457.CDS.583,Metabolic:Nucleotide interconversion
g.26457.CDS.588,"Metabolic:Transport, extracellular"
g.26457.CDS.591,Translation
g.26457.CDS.592,Metabolic:Butanoate metabolism
g.26457.CDS.595,Metabolic:Exchange/demand reaction
g.26457.CDS.597,tRNA-Charging
g.26457.CDS.602,tRNA-Charging
g.26457.CDS.603,Translation
g.26457.CDS.623,Metabolic:Cholesterol metabolism
g.26457.CDS.632,"Metabolic:Transport, extracellular"
g.26457.CDS.633,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.26457.CDS.639,"Metabolic:Transport, extracellular"
g.26457.CDS.650,Metabolic:Pyrimidine catabolism
g.26457.CDS.652,"Metabolic:Transport, extracellular"
g.26457.CDS.653,Metabolic:Pyrimidine catabolism
g.26457.CDS.656,Metabolic:Exchange/demand reaction
g.26457.CDS.660,Metabolic:Fructose and mannose metabolism
g.26457.CDS.665,Metabolic:Biotin metabolism
g.26457.CDS.671,"Metabolic:Transport, extracellular"
g.26457.CDS.673,Metabolic:Glycerophospholipid metabolism
g.26457.CDS.674,Metabolic:Glycolysis/gluconeogenesis
g.26457.CDS.686,"Metabolic:Transport, extracellular"
g.26457.CDS.693,Metabolic:Exchange/demand reaction
g.26457.CDS.695,Metabolic:Nucleotide interconversion
347253.5.peg.697,Metabolic:Glycolysis/gluconeogenesis
g.26457.CDS.699,Metabolic:Vitamin B6 metabolism
g.26457.CDS.701,"Metabolic:Transport, extracellular"
g.26457.CDS.704,tRNA-Charging
g.26457.CDS.711,Metabolic:Cell wall biosynthesis
g.26457.CDS.712,"Metabolic:Valine, leucine, and isoleucine metabolism"
347253.5.peg.713,Metabolic:Citric acid cycle
g.26457.CDS.714,Metabolic:Arginine and proline metabolism
347253.5.peg.714,Metabolic:Citric acid cycle
347253.5.peg.715,Metabolic:Citric acid cycle
g.26457.CDS.716,Metabolic:Starch and sucrose metabolism
g.26457.CDS.718,tRNA-Charging
347253.5.peg.718,Metabolic:Glycolysis/gluconeogenesis
g.26457.CDS.724,Metabolic:Cell wall biosynthesis
g.26457.CDS.729,Metabolic:Benzoate degradation
g.26457.CDS.730,Metabolic:Histidine metabolism
347253.5.peg.732,Metabolic:Cell wall biosynthesis
g.26457.CDS.734,"Metabolic:Transport, extracellular"
g.26457.CDS.736,Metabolic:Aminosugar metabolism
g.26457.CDS.737,Metabolic:Propanoate metabolism
g.26457.CDS.738,Metabolic:Nucleotide interconversion
g.26457.CDS.741,Metabolic:Histidine metabolism
g.26457.CDS.742,Metabolic:Ascorbate and aldarate metabolism
g.26457.CDS.744,Translation
g.26457.CDS.745,"Metabolic:Transport, extracellular"
347253.5.peg.748,Metabolic:Histidine metabolism
347253.5.peg.751,Metabolic:Histidine metabolism
347253.5.peg.752,Metabolic:Histidine metabolism
347253.5.peg.753,Metabolic:Histidine metabolism
g.26457.CDS.754,Metabolic:Vitamin B2 metabolism
347253.5.peg.754,Metabolic:Histidine metabolism
347253.5.peg.755,Metabolic:Histidine metabolism
347253.5.peg.756,Metabolic:Histidine metabolism
347253.5.peg.757,Metabolic:Histidine metabolism
347253.5.peg.760,Metabolic:Histidine metabolism
g.26457.CDS.762,Metabolic:Galactose metabolism
g.26457.CDS.764,Metabolic:Oxidative phosphorylation
g.26457.CDS.770,Metabolic:Citric acid cycle
g.26457.CDS.771,"Metabolic:Transport, extracellular"
347253.5.peg.771,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.773,Metabolic:Heme synthesis
g.26457.CDS.774,Metabolic:Glycolysis/gluconeogenesis
g.26457.CDS.776,Metabolic:Fatty acid synthesis
g.26457.CDS.777,Metabolic:Exchange/demand reaction
347253.5.peg.778,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.783,Translation
g.26457.CDS.785,Translation
g.26457.CDS.786,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.789,"Metabolic:Transport, extracellular"
g.26457.CDS.791,"Metabolic:Transport, extracellular"
g.26457.CDS.792,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.793,tRNA-Charging
347253.5.peg.793,Metabolic:Pyrimidine synthesis
347253.5.peg.794,Metabolic:Glycolysis/gluconeogenesis
347253.5.peg.795,"Metabolic:Valine, leucine, and isoleucine metabolism"
347253.5.peg.796,"Metabolic:Valine, leucine, and isoleucine metabolism"
347253.5.peg.797,"Metabolic:Valine, leucine, and isoleucine metabolism"
347253.5.peg.798,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.26457.CDS.800,"Metabolic:Transport, extracellular"
347253.5.peg.800,Metabolic:Glycolysis/gluconeogenesis
g.26457.CDS.804,Metabolic:Phenylalanine metabolism
g.26457.CDS.806,Metabolic:Exchange/demand reaction
g.26457.CDS.809,Metabolic:NAD metabolism
g.26457.CDS.810,Metabolic:Butanoate metabolism
347253.5.peg.813,Metabolic:Phenylalanine metabolism
g.26457.CDS.814,Metabolic:Glycolysis/gluconeogenesis
g.26457.CDS.816,"Metabolic:Transport, extracellular"
g.26457.CDS.818,Metabolic:NAD metabolism
g.26457.CDS.821,Metabolic:Lipoate metabolism
g.26457.CDS.822,Metabolic:Exchange/demand reaction
g.26457.CDS.823,"Metabolic:Transport, extracellular"
g.26457.CDS.827,Metabolic:Glycerophospholipid metabolism
g.26457.CDS.828,Translation
g.26457.CDS.832,Metabolic:Purine catabolism
g.26457.CDS.833,"Metabolic:Transport, extracellular"
g.26457.CDS.843,"Metabolic:Transport, extracellular"
g.26457.CDS.848,"Metabolic:Transport, extracellular"
g.26457.CDS.856,Metabolic:Exchange/demand reaction
g.26457.CDS.859,Metabolic:Pyruvate metabolism
g.26457.CDS.864,Metabolic:Exchange/demand reaction
g.26457.CDS.872,Metabolic:Nucleotide salvage pathway
g.26457.CDS.874,Metabolic:Pyrimidine synthesis
g.26457.CDS.881,Metabolic:Nucleotide sugar metabolism
g.26457.CDS.882,Metabolic:Aminosugar metabolism
g.26457.CDS.891,Metabolic:Nucleotide interconversion
g.26457.CDS.892,Metabolic:Nucleotide interconversion
g.26457.CDS.893,tRNA-Charging
g.26457.CDS.902,Metabolic:Pyruvate metabolism
g.26457.CDS.903,Metabolic:Cell wall biosynthesis
g.26457.CDS.904,Translation
g.26457.CDS.909,Metabolic:Vitamin B2 metabolism
g.26457.CDS.910,Translation
g.26457.CDS.911,Metabolic:Glutathione metabolism
g.26457.CDS.913,Metabolic:Cell wall biosynthesis
g.26457.CDS.923,"Metabolic:Transport, extracellular"
g.26457.CDS.926,Metabolic:Squalene and cholesterol synthesis
g.26457.CDS.927,"Metabolic:Transport, extracellular"
g.26457.CDS.933,Metabolic:Unassigned
g.26457.CDS.934,Metabolic:ROS detoxification
g.26457.CDS.936,"Metabolic:Transport, extracellular"
g.26457.CDS.937,Translation
g.26457.CDS.939,Metabolic:Phenylalanine metabolism
g.26457.CDS.949,"Metabolic:Transport, extracellular"
