,subsystem
g.25724.CDS.3,Translation
g.25724.CDS.4,Metabolic:Biotin metabolism
g.25724.CDS.17,"Metabolic:Transport, extracellular"
g.25724.CDS.18,Metabolic:Starch and sucrose metabolism
g.25724.CDS.19,Transcription
g.25724.CDS.20,tRNA-Charging
g.25724.CDS.22,"Metabolic:Transport, extracellular"
g.25724.CDS.23,"Metabolic:Transport, extracellular"
g.25724.CDS.24,tRNA-Charging
g.25724.CDS.26,Metabolic:Aminosugar metabolism
g.25724.CDS.27,Metabolic:Glycerophospholipid metabolism
g.25724.CDS.28,Metabolic:Glycerophospholipid metabolism
g.25724.CDS.32,Translation
g.25724.CDS.34,Metabolic:Inositol phosphate metabolism
g.25724.CDS.36,Metabolic:Butanoate metabolism
g.25724.CDS.39,Metabolic:Glycerophospholipid metabolism
g.25724.CDS.42,Metabolic:Glycerophospholipid metabolism
g.25724.CDS.48,Metabolic:Methionine and cysteine metabolism
g.25724.CDS.49,"Metabolic:Transport, extracellular"
g.25724.CDS.53,"Metabolic:Transport, extracellular"
g.25724.CDS.56,Metabolic:Pyruvate metabolism
g.25724.CDS.58,Metabolic:Pyruvate metabolism
1229756.3.peg.60,Metabolic:Pentose phosphate pathway
1229756.3.peg.64,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.25724.CDS.74,Metabolic:Cell wall biosynthesis
g.25724.CDS.78,Metabolic:Vitamin B12 metabolism
g.25724.CDS.79,"Metabolic:Transport, extracellular"
g.25724.CDS.82,"Metabolic:Transport, extracellular"
g.25724.CDS.83,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.25724.CDS.87,Metabolic:Fatty acid synthesis
g.25724.CDS.88,"Metabolic:Transport, extracellular"
g.25724.CDS.89,tRNA-Charging
g.25724.CDS.91,Metabolic:Fatty acid synthesis
g.25724.CDS.102,"Metabolic:Transport, extracellular"
g.25724.CDS.104,Metabolic:NAD metabolism
g.25724.CDS.111,Translation
g.25724.CDS.117,Metabolic:Glycerophospholipid metabolism
g.25724.CDS.122,Metabolic:Cell wall biosynthesis
g.25724.CDS.124,Metabolic:Cell wall biosynthesis
g.25724.CDS.129,"Metabolic:Transport, extracellular"
g.25724.CDS.132,Metabolic:Arginine and proline metabolism
g.25724.CDS.133,"Metabolic:Valine, leucine, and isoleucine metabolism"
1229756.3.peg.138,Metabolic:Methionine and cysteine metabolism
