,subsystem
640513.3.peg.396,Metabolic:Purine synthesis
640513.3.peg.397,Metabolic:Purine synthesis
640513.3.peg.399,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.400,"Metabolic:Transport, extracellular"
640513.3.peg.400,Metabolic:Citric acid cycle
640513.3.peg.401,Metabolic:Citric acid cycle
640513.3.peg.404,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.406,Metabolic:Exchange/demand reaction
g.27062.CDS.409,Metabolic:Pentose phosphate pathway
640513.3.peg.411,Metabolic:Alanine and aspartate metabolism
640513.3.peg.412,Metabolic:Glycolysis/gluconeogenesis
g.27062.CDS.414,Metabolic:Lysine metabolism
g.27062.CDS.415,Post-translation
g.27062.CDS.417,Metabolic:Lipopolysaccharide biosynthesis
g.27062.CDS.418,Metabolic:Cell wall biosynthesis
g.27062.CDS.420,"Metabolic:Transport, extracellular"
g.27062.CDS.421,"Metabolic:Transport, extracellular"
g.27062.CDS.425,"Metabolic:Transport, extracellular"
g.27062.CDS.436,Metabolic:Lipopolysaccharide biosynthesis
g.27062.CDS.444,Metabolic:Lipoate metabolism
640513.3.peg.444,Metabolic:Alanine and aspartate metabolism
g.27062.CDS.448,Metabolic:Respiration
g.27062.CDS.449,Metabolic:Aminosugar metabolism
g.27062.CDS.453,Metabolic:Tyrosine metabolism
640513.3.peg.453,Metabolic:Phenylalanine metabolism
g.27062.CDS.457,Metabolic:NAD metabolism
g.27062.CDS.460,Metabolic:Ascorbate and aldarate metabolism
g.27062.CDS.464,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.27062.CDS.471,Metabolic:Pyrimidine catabolism
g.27062.CDS.472,"Metabolic:Transport, extracellular"
g.27062.CDS.476,Metabolic:Pentose and glucuronate interconversions
g.27062.CDS.485,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.27062.CDS.491,"Metabolic:Transport, extracellular"
g.27062.CDS.493,Metabolic:Vitamin B12 metabolism
g.27062.CDS.494,"Metabolic:Transport, extracellular"
g.27062.CDS.496,tRNA-Charging
g.27062.CDS.497,"Metabolic:Transport, extracellular"
g.27062.CDS.501,Metabolic:Nucleotide interconversion
g.27062.CDS.502,Metabolic:Nucleotide interconversion
g.27062.CDS.503,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.27062.CDS.506,Metabolic:Heme synthesis
g.27062.CDS.511,Metabolic:Exchange/demand reaction
g.27062.CDS.513,tRNA-Charging
g.27062.CDS.516,Metabolic:Thiamine metabolism
g.27062.CDS.517,Translation
g.27062.CDS.526,Metabolic:Lipopolysaccharide biosynthesis
g.27062.CDS.536,Metabolic:Arginine and proline metabolism
g.27062.CDS.537,Metabolic:Lipopolysaccharide biosynthesis
640513.3.peg.537,Metabolic:Citric acid cycle
640513.3.peg.538,Metabolic:Citric acid cycle
g.27062.CDS.539,Metabolic:Vitamin B6 metabolism
640513.3.peg.539,Metabolic:Citric acid cycle
g.27062.CDS.540,Metabolic:Urea cycle
640513.3.peg.540,Metabolic:Citric acid cycle
g.27062.CDS.542,"Metabolic:Transport, extracellular"
g.27062.CDS.552,Metabolic:Nucleotide interconversion
640513.3.peg.558,Metabolic:Nucleotide interconversion
g.27062.CDS.571,"Metabolic:Transport, extracellular"
g.27062.CDS.574,Metabolic:Histidine metabolism
g.27062.CDS.579,Metabolic:Glutathione metabolism
g.27062.CDS.586,"Metabolic:Transport, extracellular"
g.27062.CDS.588,Translation
g.27062.CDS.589,Metabolic:Cell wall biosynthesis
g.27062.CDS.594,Metabolic:Nucleotide interconversion
g.27062.CDS.597,"Metabolic:Transport, extracellular"
g.27062.CDS.600,Metabolic:Exchange/demand reaction
g.27062.CDS.601,"Metabolic:Transport, extracellular"
g.27062.CDS.609,Metabolic:Pyruvate metabolism
640513.3.peg.609,Metabolic:Glycolysis/gluconeogenesis
g.27062.CDS.613,Translation
g.27062.CDS.614,Metabolic:Lipopolysaccharide biosynthesis
g.27062.CDS.615,Metabolic:Arginine and proline metabolism
g.27062.CDS.618,"Metabolic:Transport, extracellular"
g.27062.CDS.625,Metabolic:Cell wall biosynthesis
g.27062.CDS.628,tRNA-Charging
g.27062.CDS.631,Metabolic:Glutathione metabolism
640513.3.peg.633,Metabolic:Pyrimidine synthesis
640513.3.peg.636,Metabolic:Arginine and proline metabolism
640513.3.peg.640,Metabolic:Arginine and proline metabolism
g.27062.CDS.649,Metabolic:Aminosugar metabolism
g.27062.CDS.661,tRNA-Charging
g.27062.CDS.662,"Metabolic:Transport, extracellular"
640513.3.peg.663,Metabolic:Alanine and aspartate metabolism
640513.3.peg.664,Metabolic:Alanine and aspartate metabolism
g.27062.CDS.666,Metabolic:Pyruvate metabolism
640513.3.peg.666,Metabolic:Alanine and aspartate metabolism
g.27062.CDS.667,"Metabolic:Transport, extracellular"
g.27062.CDS.670,Metabolic:Folate metabolism
g.27062.CDS.671,Metabolic:Histidine metabolism
g.27062.CDS.676,"Metabolic:Transport, extracellular"
g.27062.CDS.677,Metabolic:Cell wall biosynthesis
g.27062.CDS.678,Metabolic:Fructose and mannose metabolism
g.27062.CDS.683,Metabolic:Tyrosine metabolism
g.27062.CDS.687,Translation
g.27062.CDS.691,Metabolic:Nucleotide interconversion
g.27062.CDS.697,"Metabolic:Transport, extracellular"
g.27062.CDS.699,"Metabolic:Transport, extracellular"
g.27062.CDS.706,Metabolic:Terpenoid backbone biosynthesis
g.27062.CDS.708,Metabolic:Pentose and glucuronate interconversions
g.27062.CDS.713,Post-translation
g.27062.CDS.715,Metabolic:Pentose phosphate pathway
g.27062.CDS.718,Metabolic:Pentose and glucuronate interconversions
g.27062.CDS.722,Metabolic:Pentose and glucuronate interconversions
g.27062.CDS.725,Metabolic:NAD metabolism
g.27062.CDS.730,"Metabolic:Transport, extracellular"
g.27062.CDS.733,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.27062.CDS.736,Metabolic:Cell wall biosynthesis
g.27062.CDS.744,"Metabolic:Transport, extracellular"
g.27062.CDS.747,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.754,Metabolic:Sulfur metabolism
640513.3.peg.755,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.27062.CDS.757,Metabolic:Pentose phosphate pathway
640513.3.peg.764,Metabolic:Glycolysis/gluconeogenesis
g.27062.CDS.771,Metabolic:Pyruvate metabolism
g.27062.CDS.772,"Metabolic:Valine, leucine, and isoleucine metabolism"
640513.3.peg.773,Metabolic:Alanine and aspartate metabolism
640513.3.peg.774,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
640513.3.peg.775,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.27062.CDS.777,Metabolic:Purine catabolism
640513.3.peg.779,Metabolic:Pentose phosphate pathway
g.27062.CDS.780,Metabolic:Urea cycle
g.27062.CDS.784,Metabolic:Arginine and proline metabolism
g.27062.CDS.793,"Metabolic:Transport, extracellular"
640513.3.peg.795,Metabolic:Vitamin B2 metabolism
g.27062.CDS.796,Metabolic:Miscellaneous
640513.3.peg.801,Metabolic:Pyrimidine synthesis
640513.3.peg.802,Metabolic:Pyrimidine synthesis
g.27062.CDS.806,tRNA-Charging
640513.3.peg.808,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
640513.3.peg.812,Metabolic:Folate metabolism
640513.3.peg.816,Metabolic:Vitamin B6 metabolism
g.27062.CDS.819,Metabolic:Nucleotide interconversion
g.27062.CDS.822,Metabolic:Citric acid cycle
g.27062.CDS.824,Metabolic:Terpenoid backbone biosynthesis
g.27062.CDS.827,"Metabolic:Transport, extracellular"
g.27062.CDS.833,Metabolic:Nucleotide interconversion
640513.3.peg.835,"Metabolic:Valine, leucine, and isoleucine metabolism"
640513.3.peg.836,"Metabolic:Valine, leucine, and isoleucine metabolism"
640513.3.peg.837,"Metabolic:Valine, leucine, and isoleucine metabolism"
640513.3.peg.838,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.27062.CDS.840,Metabolic:Vitamin B6 metabolism
640513.3.peg.840,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.27062.CDS.841,Metabolic:Arginine and proline metabolism
640513.3.peg.841,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.27062.CDS.844,Metabolic:Citric acid cycle
g.27062.CDS.849,Metabolic:Glycerophospholipid metabolism
g.27062.CDS.850,"Metabolic:Transport, extracellular"
g.27062.CDS.853,"Metabolic:Transport, extracellular"
g.27062.CDS.861,Metabolic:Pyrimidine catabolism
g.27062.CDS.865,Metabolic:Exchange/demand reaction
640513.3.peg.865,Metabolic:CoA synthesis
g.27062.CDS.866,Translation
g.27062.CDS.867,Translation
g.27062.CDS.870,"Metabolic:Transport, extracellular"
640513.3.peg.870,Metabolic:NAD metabolism
g.27062.CDS.872,Metabolic:Galactose metabolism
g.27062.CDS.874,"Metabolic:Transport, extracellular"
g.27062.CDS.878,Metabolic:Lipoate metabolism
g.27062.CDS.880,Translation
g.27062.CDS.882,Metabolic:Citric acid cycle
640513.3.peg.883,Metabolic:Citric acid cycle
g.27062.CDS.886,Metabolic:Lipopolysaccharide biosynthesis
640513.3.peg.889,Metabolic:Pentose phosphate pathway
g.27062.CDS.891,Metabolic:Unassigned
640513.3.peg.896,Metabolic:beta-Alanine metabolism
640513.3.peg.897,Metabolic:CoA synthesis
640513.3.peg.898,Metabolic:CoA synthesis
g.27062.CDS.899,Metabolic:Vitamin B2 metabolism
640513.3.peg.899,Metabolic:Folate metabolism
g.27062.CDS.907,Metabolic:Starch and sucrose metabolism
g.27062.CDS.908,Metabolic:Lysine metabolism
g.27062.CDS.909,Translation
g.27062.CDS.916,Metabolic:Citric acid cycle
g.27062.CDS.920,Metabolic:Exchange/demand reaction
g.27062.CDS.925,tRNA-Charging
640513.3.peg.930,Metabolic:Nucleotide interconversion
g.27062.CDS.936,Metabolic:Glyoxylate and dicarboxylate metabolism
g.27062.CDS.937,"Metabolic:Transport, extracellular"
g.27062.CDS.939,"Metabolic:Transport, extracellular"
g.27062.CDS.943,Metabolic:Glutathione metabolism
g.27062.CDS.953,Metabolic:Pyrimidine catabolism
g.27062.CDS.961,Metabolic:Starch and sucrose metabolism
g.27062.CDS.966,"Metabolic:Transport, extracellular"
g.27062.CDS.976,"Metabolic:Transport, extracellular"
g.27062.CDS.988,"Metabolic:Transport, extracellular"
