,subsystem
665951.3.peg.460,Metabolic:Vitamin B12 metabolism
665951.3.peg.461,Metabolic:Heme synthesis
665951.3.peg.462,Metabolic:Vitamin B12 metabolism
665951.3.peg.466,"Metabolic:Transport, extracellular"
665951.3.peg.467,"Metabolic:Transport, extracellular"
665951.3.peg.468,"Metabolic:Transport, extracellular"
665951.3.peg.469,Metabolic:Methionine and cysteine metabolism
665951.3.peg.470,Metabolic:Methionine and cysteine metabolism
665951.3.peg.471,Metabolic:Vitamin B12 metabolism
665951.3.peg.472,Metabolic:Vitamin B12 metabolism
665951.3.peg.484,Metabolic:Folate metabolism
665951.3.peg.485,Metabolic:Tetrahydrobiopterin metabolism
665951.3.peg.486,Metabolic:Folate metabolism
665951.3.peg.487,Metabolic:Folate metabolism
665951.3.peg.488,Metabolic:Folate metabolism
665951.3.peg.492,Metabolic:Nucleotide interconversion
665951.3.peg.496,Metabolic:Arginine and proline metabolism
665951.3.peg.500,Translation
665951.3.peg.507,Metabolic:Nucleotide interconversion
665951.3.peg.508,Metabolic:Nucleotide interconversion
665951.3.peg.517,Metabolic:Alanine and aspartate metabolism
665951.3.peg.519,"Metabolic:Transport, extracellular"
665951.3.peg.520,"Metabolic:Transport, extracellular"
665951.3.peg.527,Metabolic:Aminosugar metabolism
665951.3.peg.529,Metabolic:Galactose metabolism
665951.3.peg.533,Metabolic:Pyruvate metabolism
665951.3.peg.534,Metabolic:Arginine and proline metabolism
665951.3.peg.541,Metabolic:Pentose phosphate pathway
665951.3.peg.544,Metabolic:Urea cycle
665951.3.peg.545,Metabolic:Urea cycle
665951.3.peg.551,Metabolic:Arginine and proline metabolism
665951.3.peg.552,Metabolic:Arginine and proline metabolism
665951.3.peg.553,Metabolic:Arginine and proline metabolism
665951.3.peg.560,Metabolic:Exchange/demand reaction
665951.3.peg.562,Metabolic:Heme synthesis
665951.3.peg.564,Translation
665951.3.peg.565,Translation
665951.3.peg.566,Translation
665951.3.peg.567,Metabolic:Purine synthesis
665951.3.peg.580,Metabolic:Cell wall biosynthesis
665951.3.peg.581,Metabolic:Glyoxylate and dicarboxylate metabolism
665951.3.peg.584,Metabolic:Pyruvate metabolism
665951.3.peg.585,"Metabolic:Transport, extracellular"
665951.3.peg.586,Metabolic:Pyruvate metabolism
665951.3.peg.590,"Metabolic:Transport, extracellular"
665951.3.peg.603,Translation
665951.3.peg.604,Metabolic:Oxidative phosphorylation
665951.3.peg.607,Metabolic:Galactose metabolism
665951.3.peg.609,"Metabolic:Transport, extracellular"
665951.3.peg.622,"Metabolic:Transport, extracellular"
665951.3.peg.623,Metabolic:Starch and sucrose metabolism
665951.3.peg.624,Metabolic:Methionine and cysteine metabolism
665951.3.peg.625,Metabolic:Methionine and cysteine metabolism
665951.3.peg.629,Metabolic:Galactose metabolism
665951.3.peg.636,Metabolic:Citric acid cycle
665951.3.peg.638,tRNA-Charging
665951.3.peg.641,Translation
665951.3.peg.643,Metabolic:Alanine and aspartate metabolism
665951.3.peg.644,Metabolic:Tyrosine metabolism
665951.3.peg.648,Metabolic:Terpenoid backbone biosynthesis
665951.3.peg.649,Metabolic:Exchange/demand reaction
665951.3.peg.656,Metabolic:Glycolysis/gluconeogenesis
665951.3.peg.659,"Metabolic:Transport, extracellular"
665951.3.peg.660,"Metabolic:Transport, extracellular"
665951.3.peg.665,"Metabolic:Transport, extracellular"
665951.3.peg.666,Metabolic:Galactose metabolism
665951.3.peg.683,Metabolic:Folate metabolism
665951.3.peg.688,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
665951.3.peg.696,"Metabolic:Transport, extracellular"
665951.3.peg.697,"Metabolic:Transport, extracellular"
665951.3.peg.703,Metabolic:Purine synthesis
