,subsystem
411463.4.peg.581,Metabolic:Purine synthesis
411463.4.peg.584,Metabolic:CoA synthesis
411463.4.peg.585,Metabolic:CoA synthesis
411463.4.peg.586,Metabolic:beta-Alanine metabolism
411463.4.peg.587,Metabolic:CoA synthesis
411463.4.peg.589,Metabolic:Glycolysis/gluconeogenesis
411463.4.peg.590,Metabolic:Galactose metabolism
411463.4.peg.591,Metabolic:Galactose metabolism
411463.4.peg.598,Metabolic:Purine synthesis
411463.4.peg.603,Metabolic:Pyrimidine synthesis
411463.4.peg.604,Metabolic:Pyrimidine synthesis
411463.4.peg.605,Metabolic:Pyrimidine synthesis
411463.4.peg.606,Metabolic:Pyrimidine synthesis
411463.4.peg.607,Metabolic:Pyrimidine synthesis
411463.4.peg.612,Metabolic:Purine synthesis
411463.4.peg.613,Metabolic:Purine synthesis
411463.4.peg.614,Metabolic:Purine synthesis
411463.4.peg.615,Metabolic:Purine synthesis
411463.4.peg.620,tRNA-Charging
411463.4.peg.621,Metabolic:Starch and sucrose metabolism
411463.4.peg.624,Metabolic:Glycerophospholipid metabolism
411463.4.peg.633,Metabolic:Thiamine metabolism
411463.4.peg.636,Metabolic:Methionine and cysteine metabolism
411463.4.peg.638,tRNA-Charging
411463.4.peg.642,Metabolic:Vitamin B12 metabolism
411463.4.peg.643,Metabolic:Exchange/demand reaction
411463.4.peg.644,Metabolic:Exchange/demand reaction
411463.4.peg.651,Metabolic:Alanine and aspartate metabolism
411463.4.peg.652,Metabolic:Urea cycle
411463.4.peg.653,Metabolic:Arginine and proline metabolism
411463.4.peg.655,Metabolic:Arginine and proline metabolism
411463.4.peg.656,Metabolic:Arginine and proline metabolism
411463.4.peg.658,"Metabolic:Transport, extracellular"
411463.4.peg.667,tRNA-Charging
411463.4.peg.668,Metabolic:Exchange/demand reaction
411463.4.peg.675,Metabolic:Pyrimidine catabolism
411463.4.peg.678,Metabolic:Heme synthesis
411463.4.peg.682,Translation
411463.4.peg.683,Translation
411463.4.peg.684,Translation
411463.4.peg.686,Translation
411463.4.peg.687,Translation
411463.4.peg.688,Metabolic:Thiamine metabolism
411463.4.peg.703,Metabolic:Exchange/demand reaction
411463.4.peg.704,tRNA-Charging
411463.4.peg.705,Translation
411463.4.peg.713,Metabolic:Galactose metabolism
411463.4.peg.714,"Metabolic:Transport, extracellular"
411463.4.peg.727,Metabolic:Vitamin B2 metabolism
411463.4.peg.728,Metabolic:Glycerophospholipid metabolism
411463.4.peg.729,Metabolic:Citric acid cycle
411463.4.peg.735,Metabolic:Glycerophospholipid metabolism
411463.4.peg.743,Metabolic:Bile acid metabolism
411463.4.peg.752,Metabolic:Pentose and glucuronate interconversions
411463.4.peg.753,Metabolic:Pentose phosphate pathway
411463.4.peg.754,Metabolic:Pentose phosphate pathway
411463.4.peg.755,Metabolic:Galactose metabolism
411463.4.peg.757,"Metabolic:Transport, extracellular"
411463.4.peg.759,"Metabolic:Transport, extracellular"
411463.4.peg.762,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411463.4.peg.773,"Metabolic:Transport, extracellular"
411463.4.peg.776,"Metabolic:Transport, extracellular"
411463.4.peg.782,"Metabolic:Transport, extracellular"
411463.4.peg.788,Metabolic:Benzoate degradation
411463.4.peg.794,Metabolic:Terpenoid backbone biosynthesis
411463.4.peg.815,Metabolic:Urea cycle
411463.4.peg.816,Metabolic:Pyruvate metabolism
411463.4.peg.842,"Metabolic:Transport, extracellular"
411463.4.peg.843,"Metabolic:Transport, extracellular"
411463.4.peg.844,Metabolic:Starch and sucrose metabolism
411463.4.peg.845,"Metabolic:Transport, extracellular"
411463.4.peg.846,"Metabolic:Transport, extracellular"
411463.4.peg.848,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411463.4.peg.854,Metabolic:Bile acid metabolism
411463.4.peg.861,"Metabolic:Transport, extracellular"
411463.4.peg.862,"Metabolic:Transport, extracellular"
411463.4.peg.864,Metabolic:Aminosugar metabolism
411463.4.peg.865,Metabolic:Aminosugar metabolism
411463.4.peg.869,Metabolic:Respiration
411463.4.peg.870,Metabolic:Respiration
411463.4.peg.871,Metabolic:Respiration
411463.4.peg.872,Metabolic:Respiration
411463.4.peg.873,Metabolic:Respiration
411463.4.peg.874,Metabolic:Respiration
411463.4.peg.875,Metabolic:Respiration
411463.4.peg.876,Metabolic:Respiration
411463.4.peg.877,Metabolic:Fatty acid synthesis
411463.4.peg.878,Metabolic:Fatty acid synthesis
411463.4.peg.880,Metabolic:Glycerophospholipid metabolism
411463.4.peg.881,Metabolic:Fatty acid synthesis
411463.4.peg.882,Metabolic:Fatty acid synthesis
411463.4.peg.883,Metabolic:Biotin metabolism
411463.4.peg.884,Metabolic:Fatty acid synthesis
411463.4.peg.885,Metabolic:Biotin metabolism
411463.4.peg.886,Metabolic:Pyruvate metabolism
411463.4.peg.909,Metabolic:Exchange/demand reaction
411463.4.peg.912,Translation
411463.4.peg.913,Translation
411463.4.peg.915,Metabolic:Pyrimidine synthesis
411463.4.peg.916,Metabolic:Vitamin B2 metabolism
411463.4.peg.917,Metabolic:Tyrosine metabolism
411463.4.peg.918,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411463.4.peg.922,tRNA-Charging
411463.4.peg.923,Translation
411463.4.peg.934,Metabolic:Terpenoid backbone biosynthesis
411463.4.peg.937,Metabolic:Methionine and cysteine metabolism
411463.4.peg.938,tRNA-Charging
411463.4.peg.940,Translation
411463.4.peg.941,"Metabolic:Valine, leucine, and isoleucine metabolism"
411463.4.peg.942,"Metabolic:Valine, leucine, and isoleucine metabolism"
411463.4.peg.947,"Metabolic:Valine, leucine, and isoleucine metabolism"
411463.4.peg.948,"Metabolic:Valine, leucine, and isoleucine metabolism"
411463.4.peg.949,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411463.4.peg.950,Metabolic:Cell wall biosynthesis
411463.4.peg.952,Metabolic:Folate metabolism
411463.4.peg.953,Metabolic:Folate metabolism
411463.4.peg.954,Metabolic:Exchange/demand reaction
411463.4.peg.955,Metabolic:Exchange/demand reaction
411463.4.peg.956,Translation
411463.4.peg.957,tRNA-Charging
411463.4.peg.959,Translation
411463.4.peg.960,Translation
411463.4.peg.964,Metabolic:Pentose and glucuronate interconversions
411463.4.peg.969,Translation
411463.4.peg.973,Metabolic:Cell wall biosynthesis
411463.4.peg.974,Metabolic:Cell wall biosynthesis
411463.4.peg.984,Metabolic:Phenylalanine metabolism
411463.4.peg.985,Metabolic:Phenylalanine metabolism
411463.4.peg.987,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411463.4.peg.989,Metabolic:Exchange/demand reaction
411463.4.peg.996,Metabolic:Lysine metabolism
411463.4.peg.997,Metabolic:Lysine metabolism
411463.4.peg.1000,Metabolic:NAD metabolism
411463.4.peg.1014,Metabolic:Nucleotide interconversion
411463.4.peg.1015,Metabolic:Sulfur metabolism
411463.4.peg.1102,Metabolic:Pyrimidine catabolism
411463.4.peg.1112,Metabolic:Thiamine metabolism
411463.4.peg.1113,Metabolic:Thiamine metabolism
411463.4.peg.1114,Metabolic:Thiamine metabolism
411463.4.peg.1144,Metabolic:Nucleotide interconversion
411463.4.peg.1154,"Metabolic:Transport, extracellular"
411463.4.peg.1161,Metabolic:Nucleotide sugar metabolism
411463.4.peg.1190,Metabolic:Exchange/demand reaction
411463.4.peg.1191,tRNA-Charging
411463.4.peg.1195,Metabolic:Pentose phosphate pathway
411463.4.peg.1197,Metabolic:Pentose phosphate pathway
411463.4.peg.1198,"Metabolic:Transport, extracellular"
411463.4.peg.1199,"Metabolic:Transport, extracellular"
411463.4.peg.1203,"Metabolic:Transport, extracellular"
411463.4.peg.1207,"Metabolic:Transport, extracellular"
411463.4.peg.1208,"Metabolic:Transport, extracellular"
411463.4.peg.1213,Metabolic:Glycolysis/gluconeogenesis
411463.4.peg.1216,Metabolic:Methionine and cysteine metabolism
411463.4.peg.1218,Metabolic:Cell wall biosynthesis
411463.4.peg.1220,Metabolic:Cell wall biosynthesis
411463.4.peg.1221,Metabolic:Cell wall biosynthesis
411463.4.peg.1222,Metabolic:Glycerophospholipid metabolism
411463.4.peg.1228,Metabolic:Cell wall biosynthesis
411463.4.peg.1229,Metabolic:Pyrimidine catabolism
411463.4.peg.1244,Metabolic:Terpenoid backbone biosynthesis
411463.4.peg.1247,Metabolic:Cell wall biosynthesis
411463.4.peg.1248,Metabolic:Cell wall biosynthesis
411463.4.peg.1249,Metabolic:Cell wall biosynthesis
411463.4.peg.1251,Metabolic:Fructose and mannose metabolism
411463.4.peg.1285,tRNA-Charging
411463.4.peg.1291,Translation
411463.4.peg.1295,Post-translation
411463.4.peg.1297,Metabolic:Exchange/demand reaction
411463.4.peg.1298,tRNA-Charging
411463.4.peg.1299,Metabolic:Exchange/demand reaction
411463.4.peg.1300,Metabolic:Exchange/demand reaction
411463.4.peg.1303,Metabolic:Exchange/demand reaction
411463.4.peg.1304,Metabolic:Exchange/demand reaction
411463.4.peg.1305,Metabolic:Glyoxylate and dicarboxylate metabolism
411463.4.peg.1306,Metabolic:Glyoxylate and dicarboxylate metabolism
411463.4.peg.1317,Metabolic:Glutamate metabolism
411463.4.peg.1319,Metabolic:Nucleotide interconversion
411463.4.peg.1350,Metabolic:Glycerophospholipid metabolism
411463.4.peg.1351,Metabolic:Phenylalanine metabolism
411463.4.peg.1352,Metabolic:Folate metabolism
411463.4.peg.1353,Metabolic:Folate metabolism
411463.4.peg.1354,Metabolic:Tetrahydrobiopterin metabolism
411463.4.peg.1355,Metabolic:Folate metabolism
411463.4.peg.1359,tRNA-Charging
411463.4.peg.1367,Metabolic:Histidine metabolism
411463.4.peg.1369,Metabolic:Cell wall biosynthesis
411463.4.peg.1374,Translation
411463.4.peg.1377,tRNA-Charging
411463.4.peg.1379,Metabolic:Pyruvate metabolism
411463.4.peg.1392,Metabolic:Histidine metabolism
411463.4.peg.1399,Metabolic:Lysine metabolism
411463.4.peg.1404,Metabolic:Folate metabolism
411463.4.peg.1406,Metabolic:Methionine and cysteine metabolism
411463.4.peg.1412,tRNA-Charging
411463.4.peg.1427,Metabolic:Pyrimidine catabolism
411463.4.peg.1432,Translation
411463.4.peg.1434,tRNA-Charging
411463.4.peg.1436,"Metabolic:Transport, extracellular"
411463.4.peg.1438,"Metabolic:Transport, extracellular"
411463.4.peg.1440,Metabolic:Fructose and mannose metabolism
411463.4.peg.1451,Translation
411463.4.peg.1454,Metabolic:Exchange/demand reaction
411463.4.peg.1455,Metabolic:Nucleotide interconversion
411463.4.peg.1456,Metabolic:Urea cycle
411463.4.peg.1466,tRNA-Charging
411463.4.peg.1467,Metabolic:Exchange/demand reaction
411463.4.peg.1468,tRNA-Charging
411463.4.peg.1471,Metabolic:Starch and sucrose metabolism
411463.4.peg.1483,Translation
411463.4.peg.1507,Metabolic:Terpenoid backbone biosynthesis
411463.4.peg.1509,Transcription
411463.4.peg.1511,Translation
411463.4.peg.1514,"Metabolic:Transport, extracellular"
411463.4.peg.1515,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411463.4.peg.1516,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411463.4.peg.1517,Translation
411463.4.peg.1520,Post-translation
411463.4.peg.1523,Metabolic:Fatty acid synthesis
411463.4.peg.1525,Metabolic:Pentose phosphate pathway
411463.4.peg.1528,Metabolic:Nucleotide interconversion
411463.4.peg.1529,Metabolic:Nucleotide interconversion
411463.4.peg.1533,"Metabolic:Transport, extracellular"
411463.4.peg.1536,Metabolic:Glycolysis/gluconeogenesis
411463.4.peg.1539,Metabolic:Cell wall biosynthesis
411463.4.peg.1544,"Metabolic:Transport, extracellular"
411463.4.peg.1545,Metabolic:Pentose phosphate pathway
411463.4.peg.1546,Metabolic:Pentose phosphate pathway
411463.4.peg.1547,Metabolic:Pentose phosphate pathway
411463.4.peg.1555,Metabolic:Glycolysis/gluconeogenesis
411463.4.peg.1559,"Metabolic:Transport, extracellular"
411463.4.peg.1563,tRNA-Charging
411463.4.peg.1564,tRNA-Charging
411463.4.peg.1565,Metabolic:Pyrimidine synthesis
411463.4.peg.1571,tRNA-Charging
411463.4.peg.1572,Metabolic:Exchange/demand reaction
411463.4.peg.1573,Metabolic:Exchange/demand reaction
411463.4.peg.1574,tRNA-Charging
411463.4.peg.1575,tRNA-Charging
411463.4.peg.1576,tRNA-Charging
411463.4.peg.1577,tRNA-Charging
411463.4.peg.1578,Translation
411463.4.peg.1579,Metabolic:Glutathione metabolism
411463.4.peg.1580,Metabolic:Nucleotide interconversion
411463.4.peg.1582,tRNA-Charging
411463.4.peg.1583,tRNA-Charging
411463.4.peg.1584,tRNA-Charging
411463.4.peg.1585,tRNA-Charging
411463.4.peg.1586,tRNA-Charging
411463.4.peg.1587,tRNA-Charging
411463.4.peg.1588,tRNA-Charging
411463.4.peg.1589,tRNA-Charging
411463.4.peg.1590,tRNA-Charging
411463.4.peg.1591,tRNA-Charging
411463.4.peg.1592,tRNA-Charging
411463.4.peg.1593,tRNA-Charging
411463.4.peg.1594,tRNA-Charging
411463.4.peg.1595,tRNA-Charging
411463.4.peg.1596,tRNA-Charging
411463.4.peg.1597,tRNA-Charging
411463.4.peg.1598,tRNA-Charging
411463.4.peg.1599,tRNA-Charging
411463.4.peg.1600,tRNA-Charging
411463.4.peg.1601,tRNA-Charging
411463.4.peg.1602,tRNA-Charging
411463.4.peg.1605,"Metabolic:Transport, extracellular"
411463.4.peg.1607,"Metabolic:Transport, extracellular"
411463.4.peg.1611,Metabolic:Purine synthesis
411463.4.peg.1619,"Metabolic:Transport, extracellular"
411463.4.peg.1620,"Metabolic:Transport, extracellular"
411463.4.peg.1621,Metabolic:Benzoate degradation
411463.4.peg.1643,Metabolic:Exchange/demand reaction
411463.4.peg.1655,Metabolic:Exchange/demand reaction
411463.4.peg.1676,Metabolic:Exchange/demand reaction
411463.4.peg.1680,"Metabolic:Transport, extracellular"
411463.4.peg.1685,Transcription
411463.4.peg.1689,Metabolic:Pentose phosphate pathway
411463.4.peg.1690,Metabolic:Exchange/demand reaction
411463.4.peg.1692,Metabolic:Cell wall biosynthesis
411463.4.peg.1693,Metabolic:Glycolysis/gluconeogenesis
411463.4.peg.1694,Metabolic:Glycolysis/gluconeogenesis
411463.4.peg.1698,Metabolic:Aminosugar metabolism
411463.4.peg.1702,Metabolic:Urea cycle
411463.4.peg.1714,tRNA-Charging
411463.4.peg.1715,Metabolic:Nucleotide salvage pathway
411463.4.peg.1719,Metabolic:Pentose phosphate pathway
411463.4.peg.1720,"Metabolic:Transport, extracellular"
411463.4.peg.1730,Metabolic:Fatty acid synthesis
411463.4.peg.1744,"Metabolic:Transport, extracellular"
411463.4.peg.1746,Metabolic:Starch and sucrose metabolism
411463.4.peg.1748,Metabolic:Aminosugar metabolism
411463.4.peg.1764,"Metabolic:Transport, extracellular"
411463.4.peg.1767,"Metabolic:Transport, extracellular"
411463.4.peg.1770,"Metabolic:Transport, extracellular"
411463.4.peg.1775,Metabolic:Galactose metabolism
411463.4.peg.1782,tRNA-Charging
411463.4.peg.1787,Translation
411463.4.peg.1789,Metabolic:Phenylalanine metabolism
411463.4.peg.1795,Metabolic:Pyruvate metabolism
411463.4.peg.1809,Metabolic:Folate metabolism
411463.4.peg.1816,Metabolic:Pyrimidine catabolism
411463.4.peg.1822,tRNA-Charging
411463.4.peg.1823,tRNA-Charging
411463.4.peg.1824,tRNA-Charging
411463.4.peg.1826,Metabolic:Glycerophospholipid metabolism
411463.4.peg.1827,Metabolic:Vitamin B2 metabolism
411463.4.peg.1828,Metabolic:Glycerophospholipid metabolism
411463.4.peg.1829,Metabolic:Cell wall biosynthesis
411463.4.peg.1842,tRNA-Charging
