,subsystem
g.25866.CDS.7,Metabolic:Pyruvate metabolism
g.25866.CDS.11,Metabolic:Propanoate metabolism
g.25866.CDS.13,tRNA-Charging
1248438.3.peg.14,Metabolic:Glycolysis/gluconeogenesis
g.25866.CDS.15,Metabolic:Glyoxylate and dicarboxylate metabolism
1248438.3.peg.16,Metabolic:Pyrimidine synthesis
g.25866.CDS.22,Metabolic:Nucleotide interconversion
g.25866.CDS.23,"Metabolic:Transport, extracellular"
g.25866.CDS.24,Metabolic:Pentose phosphate pathway
g.25866.CDS.30,Metabolic:Lipopolysaccharide biosynthesis
1248438.3.peg.32,Metabolic:Nucleotide interconversion
g.25866.CDS.33,"Metabolic:Transport, extracellular"
g.25866.CDS.35,tRNA-Charging
g.25866.CDS.36,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.25866.CDS.42,Metabolic:Terpenoid backbone biosynthesis
g.25866.CDS.45,Translation
g.25866.CDS.54,Metabolic:Benzoate degradation
g.25866.CDS.58,Metabolic:Exchange/demand reaction
g.25866.CDS.64,"Metabolic:Transport, extracellular"
1248438.3.peg.69,Metabolic:Alanine and aspartate metabolism
g.25866.CDS.75,tRNA-Charging
g.25866.CDS.76,Metabolic:Benzoate degradation
1248438.3.peg.77,Metabolic:Glycolysis/gluconeogenesis
g.25866.CDS.81,Metabolic:Cholesterol metabolism
g.25866.CDS.89,"Metabolic:Transport, extracellular"
g.25866.CDS.91,Metabolic:Arginine and proline metabolism
g.25866.CDS.96,tRNA-Charging
g.25866.CDS.100,Metabolic:Methane metabolism
g.25866.CDS.101,"Metabolic:Transport, extracellular"
g.25866.CDS.104,tRNA-Charging
g.25866.CDS.114,tRNA-Charging
1248438.3.peg.118,Metabolic:Alanine and aspartate metabolism
1248438.3.peg.126,Metabolic:Pentose phosphate pathway
1248438.3.peg.127,Metabolic:Pentose phosphate pathway
g.25866.CDS.128,tRNA-Charging
1248438.3.peg.128,Metabolic:Pentose phosphate pathway
g.25866.CDS.129,Metabolic:Benzoate degradation
g.25866.CDS.135,Translation
g.25866.CDS.136,tRNA-Charging
g.25866.CDS.146,Translation
g.25866.CDS.148,Metabolic:Glyoxylate and dicarboxylate metabolism
g.25866.CDS.158,"Metabolic:Transport, extracellular"
g.25866.CDS.160,Metabolic:Benzoate degradation
g.25866.CDS.161,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.25866.CDS.162,Metabolic:Lysine metabolism
g.25866.CDS.164,"Metabolic:Transport, extracellular"
g.25866.CDS.168,"Metabolic:Transport, extracellular"
g.25866.CDS.175,Metabolic:Oxidative phosphorylation
g.25866.CDS.178,Metabolic:Thiamine metabolism
g.25866.CDS.180,Metabolic:Benzoate degradation
