,subsystem
g.28045.CDS.4,Metabolic:Folate metabolism
g.28045.CDS.5,Metabolic:Vitamin B12 metabolism
g.28045.CDS.7,tRNA-Charging
g.28045.CDS.10,Translation
g.28045.CDS.12,Metabolic:Cell wall biosynthesis
883156.3.peg.13,Metabolic:Glycolysis/gluconeogenesis
g.28045.CDS.14,Translation
883156.3.peg.14,Metabolic:Glycolysis/gluconeogenesis
883156.3.peg.15,Metabolic:Glycolysis/gluconeogenesis
883156.3.peg.16,Metabolic:Glycolysis/gluconeogenesis
883156.3.peg.17,Metabolic:Glycolysis/gluconeogenesis
g.28045.CDS.21,Metabolic:Exchange/demand reaction
g.28045.CDS.22,tRNA-Charging
883156.3.peg.22,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.28045.CDS.23,Metabolic:Citric acid cycle
g.28045.CDS.24,Metabolic:Glyoxylate and dicarboxylate metabolism
g.28045.CDS.26,"Metabolic:Transport, extracellular"
g.28045.CDS.27,Metabolic:Fatty acid synthesis
g.28045.CDS.31,"Metabolic:Transport, extracellular"
883156.3.peg.34,Metabolic:Alanine and aspartate metabolism
g.28045.CDS.48,tRNA-Charging
g.28045.CDS.53,"Metabolic:Transport, extracellular"
g.28045.CDS.56,Metabolic:Propanoate metabolism
883156.3.peg.58,Metabolic:Glycolysis/gluconeogenesis
g.28045.CDS.64,"Metabolic:Transport, extracellular"
g.28045.CDS.68,Metabolic:Pyruvate metabolism
g.28045.CDS.69,Transcription
g.28045.CDS.74,Metabolic:Ascorbate and aldarate metabolism
g.28045.CDS.79,Metabolic:Propanoate metabolism
g.28045.CDS.83,Metabolic:Carbon fixation in photosynthetic organisms
g.28045.CDS.85,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
g.28045.CDS.87,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.28045.CDS.88,"Metabolic:Transport, extracellular"
g.28045.CDS.89,Metabolic:Exchange/demand reaction
g.28045.CDS.91,Metabolic:ROS detoxification
g.28045.CDS.93,Metabolic:Nucleotide interconversion
g.28045.CDS.95,Metabolic:Glyoxylate and dicarboxylate metabolism
g.28045.CDS.98,tRNA-Charging
g.28045.CDS.100,Metabolic:Propanoate metabolism
g.28045.CDS.102,Metabolic:Nucleotide interconversion
883156.3.peg.106,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.28045.CDS.109,tRNA-Charging
g.28045.CDS.110,Metabolic:Cell wall biosynthesis
883156.3.peg.110,Metabolic:Vitamin B12 metabolism
g.28045.CDS.111,Metabolic:Glyoxylate and dicarboxylate metabolism
883156.3.peg.111,Metabolic:Vitamin B12 metabolism
883156.3.peg.112,Metabolic:Vitamin B12 metabolism
883156.3.peg.113,Metabolic:Vitamin B12 metabolism
883156.3.peg.114,Metabolic:Vitamin B12 metabolism
883156.3.peg.116,Metabolic:Vitamin B12 metabolism
g.28045.CDS.119,"Metabolic:Transport, extracellular"
883156.3.peg.120,Metabolic:Vitamin B12 metabolism
883156.3.peg.121,Metabolic:Vitamin B12 metabolism
g.28045.CDS.122,tRNA-Charging
883156.3.peg.122,Metabolic:Vitamin B12 metabolism
883156.3.peg.123,Metabolic:Vitamin B12 metabolism
883156.3.peg.124,Metabolic:Vitamin B12 metabolism
g.28045.CDS.125,"Metabolic:Transport, extracellular"
883156.3.peg.125,Metabolic:Vitamin B12 metabolism
g.28045.CDS.126,Metabolic:Vitamin B12 metabolism
g.28045.CDS.128,Metabolic:Nucleotide salvage pathway
g.28045.CDS.129,tRNA-Charging
883156.3.peg.130,Metabolic:Glycolysis/gluconeogenesis
g.28045.CDS.138,tRNA-Charging
g.28045.CDS.140,"Metabolic:Transport, extracellular"
g.28045.CDS.147,Metabolic:Cell wall biosynthesis
g.28045.CDS.150,Metabolic:Arginine and proline metabolism
g.28045.CDS.151,Metabolic:Exchange/demand reaction
g.28045.CDS.152,tRNA-Charging
g.28045.CDS.162,Post-translation
g.28045.CDS.164,Metabolic:Exchange/demand reaction
883156.3.peg.166,Metabolic:Pyrimidine synthesis
883156.3.peg.167,Metabolic:Pyrimidine synthesis
