,subsystem
1035195.3.peg.10,Metabolic:Citric acid cycle
g.29106.CDS.11,tRNA-Charging
1035195.3.peg.11,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.29106.CDS.12,Metabolic:Cell wall biosynthesis
g.29106.CDS.13,Metabolic:Fructose and mannose metabolism
g.29106.CDS.16,Metabolic:Pyruvate metabolism
g.29106.CDS.25,Metabolic:Ascorbate and aldarate metabolism
g.29106.CDS.28,Metabolic:Folate metabolism
g.29106.CDS.34,tRNA-Charging
g.29106.CDS.35,tRNA-Charging
1035195.3.peg.35,Metabolic:Cell wall biosynthesis
g.29106.CDS.36,"Metabolic:Transport, extracellular"
g.29106.CDS.43,Metabolic:Urea cycle
g.29106.CDS.48,Metabolic:Lysine metabolism
1035195.3.peg.48,Metabolic:Glycolysis/gluconeogenesis
g.29106.CDS.50,tRNA-Charging
g.29106.CDS.54,Translation
g.29106.CDS.55,Metabolic:Cell wall biosynthesis
g.29106.CDS.56,Metabolic:Exchange/demand reaction
g.29106.CDS.57,tRNA-Charging
1035195.3.peg.61,Metabolic:CoA synthesis
1035195.3.peg.62,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.29106.CDS.69,"Metabolic:Transport, extracellular"
g.29106.CDS.75,Metabolic:Exchange/demand reaction
1035195.3.peg.77,Metabolic:Citric acid cycle
1035195.3.peg.78,Metabolic:Glycolysis/gluconeogenesis
g.29106.CDS.82,Metabolic:Nucleotide interconversion
g.29106.CDS.86,Metabolic:Pentose and glucuronate interconversions
g.29106.CDS.87,Metabolic:Lysine metabolism
g.29106.CDS.93,Metabolic:Pentose and glucuronate interconversions
g.29106.CDS.99,Metabolic:Nucleotide interconversion
g.29106.CDS.104,tRNA-Charging
g.29106.CDS.105,Metabolic:CoA synthesis
g.29106.CDS.108,"Metabolic:Transport, extracellular"
g.29106.CDS.113,Metabolic:Nucleotide interconversion
g.29106.CDS.115,Metabolic:Propanoate metabolism
g.29106.CDS.124,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
g.29106.CDS.129,Metabolic:Vitamin B12 metabolism
g.29106.CDS.133,Metabolic:Citric acid cycle
g.29106.CDS.135,Metabolic:Pyruvate metabolism
g.29106.CDS.139,tRNA-Charging
g.29106.CDS.149,Translation
g.29106.CDS.156,"Metabolic:Transport, extracellular"
g.29106.CDS.166,Translation
g.29106.CDS.169,tRNA-Charging
g.29106.CDS.170,tRNA-Charging
g.29106.CDS.175,Metabolic:Heme synthesis
g.29106.CDS.182,tRNA-Charging
g.29106.CDS.185,Metabolic:Glycolysis/gluconeogenesis
1035195.3.peg.188,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
1035195.3.peg.189,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.29106.CDS.193,"Metabolic:Transport, extracellular"
