,subsystem
565047.3.peg.449,Metabolic:Starch and sucrose metabolism
565047.3.peg.482,"Metabolic:Transport, extracellular"
565047.3.peg.494,Translation
565047.3.peg.503,tRNA-Charging
565047.3.peg.504,Metabolic:Nucleotide interconversion
565047.3.peg.507,Metabolic:Phenylalanine metabolism
565047.3.peg.508,Metabolic:Phenylalanine metabolism
565047.3.peg.512,Metabolic:Pentose phosphate pathway
565047.3.peg.513,Metabolic:Pentose phosphate pathway
565047.3.peg.514,Metabolic:Pentose phosphate pathway
565047.3.peg.517,"Metabolic:Transport, extracellular"
565047.3.peg.519,Metabolic:Pentose phosphate pathway
565047.3.peg.520,Metabolic:Galactose metabolism
565047.3.peg.521,"Metabolic:Transport, extracellular"
565047.3.peg.522,"Metabolic:Transport, extracellular"
565047.3.peg.523,Metabolic:Pentose phosphate pathway
565047.3.peg.543,Metabolic:Glycolysis/gluconeogenesis
565047.3.peg.546,"Metabolic:Transport, extracellular"
565047.3.peg.558,Metabolic:Glycolysis/gluconeogenesis
565047.3.peg.564,"Metabolic:Transport, extracellular"
565047.3.peg.565,"Metabolic:Transport, extracellular"
565047.3.peg.566,"Metabolic:Transport, extracellular"
565047.3.peg.568,Metabolic:Fructose and mannose metabolism
565047.3.peg.576,Metabolic:Pyruvate metabolism
565047.3.peg.580,Metabolic:Pentose phosphate pathway
565047.3.peg.581,"Metabolic:Transport, extracellular"
565047.3.peg.582,Metabolic:Glutamate metabolism
565047.3.peg.583,Metabolic:Histidine metabolism
565047.3.peg.584,Metabolic:Histidine metabolism
565047.3.peg.585,Metabolic:Histidine metabolism
565047.3.peg.586,Metabolic:Histidine metabolism
565047.3.peg.587,Metabolic:Histidine metabolism
565047.3.peg.588,Metabolic:Histidine metabolism
565047.3.peg.589,Metabolic:Histidine metabolism
565047.3.peg.590,Metabolic:Histidine metabolism
565047.3.peg.591,Metabolic:Histidine metabolism
565047.3.peg.592,Metabolic:Histidine metabolism
565047.3.peg.596,Metabolic:Starch and sucrose metabolism
565047.3.peg.603,Translation
565047.3.peg.616,"Metabolic:Transport, extracellular"
565047.3.peg.617,Metabolic:Methionine and cysteine metabolism
565047.3.peg.618,Metabolic:Methionine and cysteine metabolism
565047.3.peg.622,"Metabolic:Transport, extracellular"
565047.3.peg.639,Metabolic:Glycerophospholipid metabolism
565047.3.peg.652,Metabolic:Biosynthesis of siderophore group nonribosomal peptides
565047.3.peg.655,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
565047.3.peg.661,"Metabolic:Transport, extracellular"
565047.3.peg.663,Metabolic:Pentose phosphate pathway
565047.3.peg.668,"Metabolic:Transport, extracellular"
565047.3.peg.686,Metabolic:Starch and sucrose metabolism
565047.3.peg.729,Metabolic:Cell wall biosynthesis
565047.3.peg.749,Metabolic:Pyruvate metabolism
565047.3.peg.753,Metabolic:Aminosugar metabolism
565047.3.peg.754,Metabolic:Vitamin B2 metabolism
565047.3.peg.785,Metabolic:Lipoate metabolism
565047.3.peg.788,Metabolic:Pyruvate metabolism
565047.3.peg.791,Metabolic:Fructose and mannose metabolism
565047.3.peg.796,"Metabolic:Transport, extracellular"
565047.3.peg.797,"Metabolic:Transport, extracellular"
565047.3.peg.798,"Metabolic:Transport, extracellular"
565047.3.peg.799,"Metabolic:Transport, extracellular"
565047.3.peg.803,"Metabolic:Transport, extracellular"
