,subsystem
g.31042.CDS.354,Metabolic:NAD metabolism
g.31042.CDS.357,"Metabolic:Transport, extracellular"
g.31042.CDS.360,"Metabolic:Transport, extracellular"
g.31042.CDS.365,Metabolic:Cell wall biosynthesis
g.31042.CDS.367,Metabolic:Thiamine metabolism
g.31042.CDS.370,tRNA-Charging
g.31042.CDS.371,tRNA-Charging
g.31042.CDS.373,"Metabolic:Transport, extracellular"
g.31042.CDS.376,Metabolic:Aminobenzoate degradation
g.31042.CDS.387,Metabolic:Pyrimidine synthesis
1194526.3.peg.390,Metabolic:Glycolysis/gluconeogenesis
g.31042.CDS.391,tRNA-Charging
g.31042.CDS.393,Metabolic:Glycolysis/gluconeogenesis
1194526.3.peg.393,Metabolic:Thiamine metabolism
g.31042.CDS.395,Metabolic:Vitamin B12 metabolism
g.31042.CDS.396,Metabolic:Pentose and glucuronate interconversions
1194526.3.peg.396,Metabolic:Thiamine metabolism
g.31042.CDS.397,Metabolic:Starch and sucrose metabolism
g.31042.CDS.398,tRNA-Charging
g.31042.CDS.399,"Metabolic:Transport, extracellular"
g.31042.CDS.400,Metabolic:Histidine metabolism
g.31042.CDS.401,"Metabolic:Transport, extracellular"
g.31042.CDS.402,Metabolic:Glutathione metabolism
g.31042.CDS.406,"Metabolic:Transport, extracellular"
g.31042.CDS.408,Metabolic:Exchange/demand reaction
1194526.3.peg.410,Metabolic:Cell wall biosynthesis
g.31042.CDS.411,Metabolic:Fructose and mannose metabolism
g.31042.CDS.412,"Metabolic:Transport, extracellular"
g.31042.CDS.417,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31042.CDS.421,"Metabolic:Transport, extracellular"
g.31042.CDS.423,Metabolic:Fatty acid synthesis
g.31042.CDS.425,tRNA-Charging
g.31042.CDS.430,"Metabolic:Transport, extracellular"
g.31042.CDS.432,Metabolic:Galactose metabolism
1194526.3.peg.433,Metabolic:Glyoxylate and dicarboxylate metabolism
g.31042.CDS.438,Metabolic:Pyruvate metabolism
g.31042.CDS.439,"Metabolic:Transport, extracellular"
g.31042.CDS.442,Metabolic:Exchange/demand reaction
g.31042.CDS.446,tRNA-Charging
1194526.3.peg.451,Metabolic:CoA synthesis
g.31042.CDS.463,Metabolic:Glyoxylate and dicarboxylate metabolism
g.31042.CDS.465,Metabolic:Aminosugar metabolism
g.31042.CDS.470,Metabolic:Pyruvate metabolism
g.31042.CDS.471,Metabolic:Exchange/demand reaction
1194526.3.peg.472,Metabolic:Glycolysis/gluconeogenesis
g.31042.CDS.480,Metabolic:Starch and sucrose metabolism
g.31042.CDS.487,Metabolic:Aminosugar metabolism
g.31042.CDS.490,Metabolic:Galactose metabolism
g.31042.CDS.491,Metabolic:Squalene and cholesterol synthesis
g.31042.CDS.499,Metabolic:CoA synthesis
g.31042.CDS.500,"Metabolic:Transport, extracellular"
g.31042.CDS.501,Post-translation
g.31042.CDS.503,tRNA-Charging
g.31042.CDS.507,tRNA-Charging
g.31042.CDS.511,Metabolic:Nucleotide interconversion
g.31042.CDS.513,Translation
g.31042.CDS.518,Metabolic:Exchange/demand reaction
g.31042.CDS.519,Metabolic:Vitamin B12 metabolism
g.31042.CDS.523,"Metabolic:Transport, extracellular"
g.31042.CDS.530,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.31042.CDS.532,tRNA-Charging
g.31042.CDS.538,Metabolic:Arginine and proline metabolism
g.31042.CDS.542,Metabolic:Exchange/demand reaction
g.31042.CDS.543,Metabolic:Naphthalene degradation
g.31042.CDS.545,Metabolic:Propanoate metabolism
g.31042.CDS.551,Metabolic:Aminosugar metabolism
g.31042.CDS.558,Metabolic:Butanoate metabolism
g.31042.CDS.582,Metabolic:Methionine and cysteine metabolism
g.31042.CDS.587,"Metabolic:Transport, extracellular"
g.31042.CDS.592,tRNA-Charging
g.31042.CDS.594,Metabolic:Arginine and proline metabolism
g.31042.CDS.595,Translation
g.31042.CDS.600,Metabolic:Cell wall biosynthesis
g.31042.CDS.601,"Metabolic:Transport, extracellular"
g.31042.CDS.602,Metabolic:Aminobenzoate degradation
g.31042.CDS.604,Metabolic:Nucleotide interconversion
g.31042.CDS.608,Metabolic:Starch and sucrose metabolism
g.31042.CDS.609,Metabolic:Fructose and mannose metabolism
g.31042.CDS.611,Metabolic:Nucleotide salvage pathway
g.31042.CDS.612,Metabolic:Galactose metabolism
g.31042.CDS.620,"Metabolic:Transport, extracellular"
g.31042.CDS.621,Metabolic:ROS detoxification
g.31042.CDS.629,Metabolic:Thiamine metabolism
g.31042.CDS.630,Metabolic:Pentose phosphate pathway
g.31042.CDS.631,"Metabolic:Transport, extracellular"
g.31042.CDS.632,"Metabolic:Transport, extracellular"
g.31042.CDS.635,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31042.CDS.639,tRNA-Charging
g.31042.CDS.642,Metabolic:Methionine and cysteine metabolism
g.31042.CDS.644,Metabolic:Pyruvate metabolism
g.31042.CDS.645,tRNA-Charging
g.31042.CDS.647,tRNA-Charging
