,fluxes,reduced_costs
APPLDH,0.0,0.0
APRAUR,0.0,0.0
ARABASE3e,0.0,0.0
ARAI,0.17878295,0.0
ARBTpts,0.0,0.0
ARBabc,0.17878295,0.0
ARGDC,0.0,0.0
ARGSL,0.05812116500852408,0.0
ARGSSr,0.05812116500852408,0.0
ASAD,-1.2548705685094392,-0.0
ASNS2,0.0,0.0
ASNt2r,0.04731631804974652,0.0
ASP1DC,0.0,0.0
ASPCT,0.0,0.0
ASPKi,1.2548705685094392,0.0
ASPO1,0.0,0.0
ASPO5,0.0,0.0
ASPO6,0.0,0.0
ASPO7,0.0,0.0
ASPT,0.0,0.0
ASPTA,-1.3789827546814037,-0.0
ATPPRT,0.018674703113693847,0.0
ATPS4,0.0,0.0
BACCLi,0.0,0.0
BGLA,0.0,0.0
BGLA1,0.07449289,0.0
BGLAr,0.0,-0.0
BPNT,0.00157453576861126,0.0
BTNCLi,0.0,0.0
BTNabc,0.0,0.0
BTS4,0.0,0.0
BUTCTr,0.0,-0.0
BUTt2,0.0,0.0
CA2abc,0.00157453576861126,0.0
CBIAT,0.0,0.0
CBL1abc,0.0,0.0
CBL2abc,0.0,0.0
CBLAT,0.0,0.0
CBMK,0.05812116500852408,0.0
CBMTHL2,0.0,-0.0
CBPS,0.0,0.0
CD2abc1,0.0,0.0
CDPMEK,0.20509571377046168,0.0
CELBpts,0.07449289,0.0
CHORM,0.06347217523964847,0.0
CHORS,0.06347217523964847,0.0
CIT_Mgt,0.0,0.0
CLPNS140,0.0,-0.0
CLPNS160,0.0,-0.0
CLPNS180,0.0,-0.0
CLPNSAI15,0.0,-0.0
CLPNSAI17,0.0,-0.0
CLPNSI14,0.0,-0.0
CLPNSI15,0.0,-0.0
CLPNSI16,0.0,-0.0
CLPNSI17,0.0,-0.0
CMLDC,0.0,0.0
CO2t,-0.4831201725872182,-0.0
CPC2MT,0.0,0.0
CPC3MT,0.0,0.0
CPC4MT,0.0,0.0
CPC5MT,0.0,0.0
CPC6MT,0.0,0.0
CPC6R,0.0,0.0
CPC8MM,0.0,-0.0
CPPPGO,0.0,0.0
CRO4t3,0.0,-0.0
CSNt2,0.0,0.0
CTPS1,0.02618648111599232,0.0
CTPS2,0.0,0.0
CYRDAAT,0.0,0.0
CYRDAR,0.0,0.0
CYRDAS,0.0,0.0
CYSS,0.021089270872770682,0.0
CYSS3r,0.0,-0.0
CYSabc,0.0,0.0
CYTD,0.0,0.0
CYTDK1,0.0,0.0
CYTDK2,0.0,0.0
CYTDK3,0.0,0.0
CYTDK4,0.0,0.0
CYTDt2r,0.0,0.0
CYTK1,0.2082447853076842,0.0
CYTK2,0.002368436970045903,0.0
Coabc,0.00157453576861126,0.0
Cuabc,0.00157453576861126,0.0
Cut1,0.0,0.0
D5KGK,0.0,0.0
D5KGPA,0.0,0.0
DADA,0.0,0.0
DADNt2r,-0.04452730054683983,-0.0
DAGK120,0.0,0.0
DAGK140,0.0,0.0
DAGK141,0.0,0.0
DAGK160,0.0,0.0
DAGK161,0.0,0.0
DAGK180,0.0,0.0
DAGK181,0.0,0.0
DAPDA,0.0,-0.0
DAPDC,1.2362255036212155,0.0
DAPE,1.2548705685094392,0.0
DAPMDH,0.0,-0.0
DAPabc,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,0.0,0.0
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,0.0,0.0
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,0.0,0.0
DB4PS,0.0,0.0
DBTS,0.0,0.0
DCMPDA,-0.002368436970045903,-0.0
DCYTD,0.0,0.0
DCYTt2r,0.0,-0.0
DDGLCNt2r,0.0,-0.0
DDPA,0.06347217523964847,0.0
DGK1,0.0,-0.0
DGSNt2,0.04452730054683983,0.0
DHAD1,0.17142991556578097,0.0
DHAD2,0.05696789528275047,0.0
DHDPRy,1.2548705685094392,0.0
DHDPS,1.2548705685094392,0.0
DHFOR2,0.0,-0.0
DHFR,0.002368436970045903,0.0
DHFS,0.0,-2.2402286825439144
DHNPA,0.0,0.0
DHORD2,0.0,0.0
DHORD5,0.0,0.0
DHORDfum,0.0,0.0
DHORDi,0.0,0.0
DHORTS,0.0,-0.0
DHPPDA,0.0,0.0
DHPS,0.0,0.0
DHQS,0.06347217523964847,0.0
DHQTi,0.06347217523964847,0.0
DINSt2,0.0,0.0
DKDID,0.0,0.0
DKDID2,0.0,0.0
DMATT,0.018645064888223848,0.0
