,nonIBD,IBD
Abiotrophia_defectiva_ATCC_49176,0.0,0.0040416176143197
Acidaminococcus_fermentans_DSM_20731,0.0,0.0057623475954617
Acidaminococcus_intestini_RyC_MR95,0.0,0.0619328830377173
Acidaminococcus_sp_D21,0.0,0.0804453468585728
Acinetobacter_calcoaceticus_PHEA_2,0.0,0.0013195923878633
Acinetobacter_haemolyticus_NIPH_261,0.0,0.0030035949727869
Acinetobacter_johnsonii_SH046,0.0,0.0024280097536065
Acinetobacter_junii_SH205,0.0,0.0037821290518195
Acinetobacter_lwoffii_WJ10621,0.0,0.0148737737008951
Acinetobacter_pittii_ANC_4052,0.0,0.0100391842411872
Actinobacillus_pleuropneumoniae_L20,0.0,0.0313711975566187
Actinomyces_cardiffensis_F0333,0.0,0.0185442505033463
Actinomyces_graevenitzii_C83,0.0,0.0185118239230835
Actinomyces_odontolyticus_ATCC_17982,0.0,0.0025338943931004
Actinomyces_turicensis_ACS_279_V_Col4,0.0,0.0185064204430854
Actinomyces_urogenitalis_DSM_15434,0.0,0.0198964990948211
Actinomyces_viscosus_C505,0.0,0.0053634042783341
Adlercreutzia_equolifaciens_DSM_19450,0.0,0.0026112322940498
Aerococcus_viridans_ATCC_11563,0.0,0.001581214365999
Aeromonas_caviae_Ae398,0.0,0.0116076115965089
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966,0.0,0.0038848236966648
Aeromonas_veronii_B565,0.0,0.0032185662925059
Afipia_birgiae_34632,0.0,0.0012764380458888
Akkermansia_muciniphila_ATCC_BAA_835,0.0,0.1628065790111703
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111,0.0,0.0032509315910203
Alistipes_finegoldii_DSM_17242,0.0,0.3162966726395186
Alistipes_indistinctus_YIT_12060,0.0,0.0549912052127391
Alistipes_onderdonkii_DSM_19147,0.0,0.1846513449054475
Alistipes_shahii_WAL_8301,0.0,0.220881441825289
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850,0.0,0.0038706608026958
Anaerococcus_hydrogenalis_DSM_7454,0.0,0.0118012499383561
Anaerococcus_prevotii_DSM_20548,0.0,0.0031445633315791
Anaerofustis_stercorihominis_DSM_17244,0.0,0.0038658915158106
Anaerostipes_caccae_DSM_14662,0.0,0.0097227007951613
Anaerostipes_sp_3_2_56FAA,0.0,0.0028313711269909
Anaerotruncus_colihominis_DSM_17241,0.0,0.121835453815944
Arcanobacterium_haemolyticum_DSM_20595,0.0,0.0041195739949447
Arcobacter_butzleri_RM4018,0.0,0.0036749058389493
Atopobium_minutum_10063974,0.0,0.0321479357157321
Atopobium_parvulum_DSM_20469,0.0,0.0015224235218465
Atopobium_rimae_ATCC_49626,0.0,0.0264998943114061
Bacillus_atrophaeus_ATCC_49822_1,0.0,0.0029837359685278
Bacillus_cereus_AH187_F4810_72,0.0,0.0163147982479378
Bacillus_cereus_G9842,0.0,0.0016646576252883
Bacillus_clausii_KSM_K16,0.0,0.0010011557116831
Bacillus_endophyticus_2102,0.0,0.0081681682606352
Bacillus_fordii_DSM_16014,0.0,0.0036463957402869
Bacillus_halodurans_C_125,0.0,0.0028845749034451
Bacillus_mojavensis_RO_H_1,0.0,0.0055227495730879
Bacillus_mycoides_DSM_2048,0.0,0.0181413986673141
Bacillus_pseudofirmus_OF4,0.0,0.0030959931736223
Bacillus_pumilus_ATCC_7061,0.0,0.0068988761283739
Bacillus_sonorensis_L12,0.0,0.0023742926700738
Bacillus_vallismortis_DV1_F_3,0.0,0.0029465115399319
Bacteroides_caccae_ATCC_43185,0.0,0.540912966700683
Bacteroides_clarus_YIT_12056,0.0,0.1648647962399285
Bacteroides_coprocola_M16_DSM_17136,0.0,0.1070800741958557
Bacteroides_coprophilus_DSM_18228,0.0,0.0126471597119489
Bacteroides_dorei_DSM_17855,0.0,0.1674173935963007
Bacteroides_eggerthii_1_2_48FAA,0.0,0.4717005317584107
Bacteroides_eggerthii_DSM_20697,0.0,0.4179698707346314
Bacteroides_faecis_MAJ27,0.0,0.330091111087072
Bacteroides_finegoldii_DSM_17565,0.0,0.1603167676857972
Bacteroides_fluxus_YIT_12057,0.0,0.0506801637848781
Bacteroides_fragilis_3_1_12,0.0,0.1504718043425159
Bacteroides_fragilis_638R,0.0,0.3995844321905218
Bacteroides_fragilis_NCTC_9343,0.0,0.0666110207253614
Bacteroides_fragilis_YCH46,0.0,0.0686274309424936
Bacteroides_intestinalis_341_DSM_17393,0.0,0.2353431525295211
Bacteroides_nordii_CL02T12C05,0.0,0.0382103356123962
Bacteroides_oleiciplenus_YIT_12058,0.0,0.1815834670181295
