,low_iron,mid_zinc,high_FA,high_prot,high_carbs
EX_fru(e),41.853648259728466,35.05348762457785,0.0,38.51356945918443,46.54826396109961
EX_fum(e),42.77003271301242,43.60239521448421,0.0,0.0,46.67963679536783
EX_pydxn(e),-47.55183331451919,-0.13871501871465752,0.0,-0.11098306350475218,0.00252244046371786
EX_chol(e),-46.67278611696294,-0.004325626099109072,0.0,0.3946902885365948,1.164065285983329
EX_13ppd(e),-46.790449843513194,-46.790449843513194,0.0,-0.04709281489504791,0.005854735854561917
EX_phenol(e),-45.40942571217926,-45.40942571217926,0.0,-0.025799571393167464,-0.016040225031617006
EX_xtsn(e),-39.00158312649631,-39.00158312649631,0.0,-0.010166345129620731,0.0
EX_15dap(e),-32.0144776973284,-32.0144776973284,0.0,3.215070877087327,0.0
EX_acac(e),-33.77885301340046,-33.77885301340046,0.0,0.9306259580242496,1.6982232462005324
EX_gal(e),12.358176816761883,8.109695783404918,0.0,-32.3810870410167,18.139573687528078
EX_btoh(e),0.0,0.0,0.0,0.0,40.78533366425104
EX_glc_D(e),17.753105777963057,15.113946329589146,0.0,-0.9776224234524323,20.623791029499394
EX_xyl_D(e),1.5907389616288963,-35.703015135671926,0.0,0.0,-35.703015135671926
EX_thf(e),1.4437444875433398,-4.645683297760497,0.0,3.9210827775527353,-38.87799599032499
EX_isocapr(e),-0.8059036218094149,-0.34457321194112533,0.0,-1.6240518847843093,-15.543224935727459
EX_isoval(e),-0.8000360142198014,-0.33870560435563696,0.0,3.285440391666714,-15.53735691629112
EX_mqn8(e),-3.1673540040113823,-27.481813902369176,0.0,0.6160544436342401,3.589102711031523
EX_ins(e),-4.94409548496899,-18.26219014309034,0.0,-3.3221093526036833,1.946852344447579
EX_gcald(e),-0.8496535236554773,-11.33838291174277,0.27985617340514657,-3.071442713031962,-0.7805004281642377
EX_lys_L(e),-1.9236740856703518,-13.782533507959183,-0.0020258770025607473,1.13662208837912,0.24683694751555352
EX_5mthf(e),-3.2450346130104433,-15.49780045234047,0.0,0.11068312519940714,-0.7941405022100868
EX_lac_L(e),0.6291355413134613,-17.654121899179042,0.0,0.23747023818079532,3.0904989529564633
EX_glu_L(e),0.7180184904087956,-14.81685490383802,-0.01214728809622022,4.907399295186283,-0.05847524513076018
EX_asp_L(e),7.516262949848627,7.090221794788155,-8.594996201923424e-06,5.975056393731272,3.410980251307455
EX_uri(e),-2.277517343935691,-4.8259934199328525,0.0,-2.8610070838749135,4.888799073619603
EX_val_L(e),-5.352259604795652,-5.701143134239032,0.0,-4.520894291070333,3.491493163733113
EX_ala_L(e),3.143296880434291,1.9544047367341424,0.0,3.1160597972874395,0.8980948182935241
EX_hxan(e),-6.71189205247423,-1.5650510735162884,0.023718834071671774,0.28521397266384213,0.7173520499240088
EX_hista(e),-4.97194961088424,-1.2395233562570098,0.0,4.076838787591222,-0.6819692400031487
EX_trypta(e),-5.369957824878018,-0.3688127739073545,0.0,5.526581838948916,-0.7616752527821253
EX_malt(e),-3.104832396924379,1.1379998464060228,0.0,0.0,-3.7536532179704785
EX_indole(e),-0.577108870998802,-4.868179816358382,-0.0017824515316588326,5.034753919340265,-1.013171125239321
