Strain,low_iron,low_zinc,high-1.5_lipid,high_carbs,high_prot,micro_oxygen,Phylum,Class,Order,Family,Genus,Species
Eubacterium saphenum ATCC 49989,0.10009765624997542,0.0,1.0,1.0,29.82375906302337,1.2245770589328828,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,unclassified Clostridiales Incertae Sedis XIII,[Eubacterium] saphenum
Campylobacter fetus subsp. fetus 82-40,0.0,0.0,1.0,1.0,20.712316451903277,11.046748576565948,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus
Clostridium sp. L2-50,0.10327148437499219,0.0,1.0,23.104219506571436,3.565982630082244,1.4998847129352102,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp. L2-50
Ruminococcus champanellensis 18P13 = JCM 17042,0.1030273437499971,0.0,1.0,14.090868450855373,2.807802348453245,1.2844966322942135,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus champanellensis
Bifidobacterium longum subsp. infantis CCUG 52486,0.9973373413085938,0.0,1.0,12.654107956216983,2.483307465230229,1.0973147894539301,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
Pediococcus acidilactici DSM 20284,0.1029357910156238,0.0,1.0,13.02002048607879,1.0,1.4508334109321157,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365,0.1023864746093735,0.0,1.270003179313266,13.218657270029684,1.581072488342516,1.2599883425180154,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii
Coprococcus eutactus ATCC 27759,0.10087585449218638,0.0,1.0,12.806928618205646,1.4928225278323524,1.1040471512770136,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus eutactus
Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043,0.9326782226562498,0.0,1.0,9.108875979465013,3.6740880843015407,1.0669008376114562,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium catenulatum
Bifidobacterium longum NCC2705,0.9837493896484368,0.0,1.0,11.157896396917355,2.483025453933741,1.0943299023267063,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
Ruminococcus sp. 5_1_39BFAA,0.10456848144531182,0.0,1.0,11.192740887904037,2.420952089860168,1.148788874455567,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus sp. 5_1_39BFAA
Erysipelotrichaceae bacterium 3_1_53,0.37812042236328125,0.0,1.0,11.26364586725163,2.9790149269078503,1.0598018885708889,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unclassified Erysipelotrichaceae,Erysipelotrichaceae bacterium 3_1_53
Lentilactobacillus buchneri ATCC 11577,0.32817077636718733,0.0,1.1255860066567538,9.285645492528872,2.5577791941080683,1.281793074144891,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus buchneri
Bifidobacterium longum subsp. infantis 157F,0.9499053955078122,0.0,1.0,10.193978219090328,2.3967755712150325,1.0946722186632494,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
Phocaeicola coprocola DSM 17136,0.12214660644531215,0.0,1.0,10.190024814479427,2.2527901588832298,1.3425574202349733,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprocola
