featureid	Intercept	C(diagnosis, Treatment('nonIBD'))[T.IBD]
#q2:types	numeric	numeric
1000565	5.88091535899803	-0.469140569386176
1028307	1.19915504787132	-1.1889580885741
1028803	0.742855266072006	-0.561815823135069
1035191	-2.4682887044175	0.886638482394525
1035195	-3.110838219188	0.146029074969598
1042156	1.28453703258202	0.68885680038006
1042403	-2.27606420185402	0.0638848145631042
1045856	1.09530229900047	0.682728727641412
1046625	-2.61037664081886	-0.843887190041235
1051501	-3.12103585865334	0.190342386546442
1051502	-2.91516332294777	-0.227137083825758
1064535	1.43999166820213	-3.05548147362202
1064537	-2.40631417896584	0.0858693321374145
1077285	5.46420510146782	0.950351198497125
1077975	-2.7619317021592	-0.0874365071627411
1089454	-2.70100907947853	-0.0536080102297577
1089456	-1.77754287388161	0.937161882701227
1095730	-1.05442218448952	-0.796729932245901
1121090	-3.28075532581642	-0.27486647170513
1121101	5.83299822021291	-0.452283105519703
1121102	-3.70429353382423	-0.219012240585974
1121129	0.278641417957992	0.991437872233698
1121334	0.473316386677475	-0.397285903510741
1121367	-3.57034616138771	0.219592829528162
1122917	-2.82304410602882	-0.0519093970629486
1122949	-2.04041270878151	0.478989203753778
1122975	2.26435537669823	0.176102836909601
1123488	-1.66559676792458	0.632217248263666
1124991	-1.80589465763405	0.257091124835321
1130798	-1.64443807270363	0.345805724444696
1133568	-2.27311257984474	0.367332061114618
1136177	-3.48693780567482	0.251940031829187
1139219	-3.14727143909767	0.0535151560929504
1140002	-2.02986268665627	0.282216330352136
1156431	0.46621103618309	-0.83831445377796
1156433	0.571650699116439	-0.933663169560126
1158606	-3.44300107624367	-0.0691191355559143
1158610	-3.29881314899757	-0.0734711686941895
1158612	-3.65887956287697	-0.0488252739283356
1159488	-3.55116681721046	-0.0969523290964874
1160721	5.76531934771702	-0.813231031117133
1163399	-2.2025769200547	-0.0302568773600372
1170318	-3.33587293293312	0.0535031755593506
1171373	-2.48563508655861	-0.0445716182562622
1176165	-3.24787358906105	0.852360924067804
1189311	-3.63637094166115	-0.140845815357855
1194526	-1.49558810856178	0.946939309420892
1196029	-3.10757283832863	0.106067021670648
1197906	-1.75299720432594	-0.098542819437674
1203540	3.81978340480492	-2.7838797966811
1203606	2.63058705661461	0.51972438890011
1203611	6.75132168862984	-1.33937350910633
1206781	-2.36312131550148	0.32170911628277
