,fluxes,C-fluxes
EX_12ppd_S(e),0.14898579,0.44695737
EX_4abut(e),6.221369419932989,24.885477679731956
EX_ac(e),18.04238795238046,36.08477590476092
EX_dad_2(e),0.9298796521147948,9.298796521147949
EX_dcyt(e),0.8696183332615606,7.826564999354045
EX_for(e),0.023108689633282678,0.023108689633282678
EX_gly(e),0.8809976145323688,1.7619952290647376
EX_gua(e),0.8911471543747793,4.455735771873897
EX_ile_L(e),1.5074640123859842,9.044784074315904
EX_phe_L(e),0.9191266945572774,8.272140251015497
EX_pro_L(e),0.916355002372863,4.581775011864315
EX_succ(e),0.38616519606617733,1.5446607842647093
