,fluxes,C-fluxes
EX_ac(e),15.547840692726941,31.095681385453883
EX_dad_2(e),0.9472977631379357,9.472977631379356
EX_dcyt(e),0.9167009111837944,8.25030820065415
EX_etoh(e),0.00991522980502913,0.01983045961005826
EX_for(e),13.425740772637859,13.425740772637859
EX_gcald(e),0.00837600936455391,0.01675201872910782
EX_hista(e),0.12547091171989944,0.6273545585994972
EX_ile_L(e),0.6973848731113248,4.184309238667948
EX_lys_L(e),0.8507506633155614,5.1045039798933685
EX_orn(e),0.09624794997123425,0.48123974985617124
