,fluxes,C-fluxes
EX_ac(e),2.7526447974570587,5.505289594914117
EX_ade(e),1.813336880407598,9.066684402037989
EX_ala_L(e),0.7600596549145314,2.280178964743594
EX_cys_L(e),0.09446421086288646,0.2833926325886594
EX_for(e),0.0036778391851030245,0.0036778391851030245
EX_glyc(e),0.003854473838654764,0.011563421515964291
EX_indole(e),0.0735911142758144,0.5887289142065152
EX_ins(e),0.0056811824382221494,0.056811824382221494
EX_met_L(e),0.01816624146629334,0.0908312073314667
EX_orn(e),0.12408954934663714,0.6204477467331857
EX_phe_L(e),0.9418943843498495,8.477049459148645
EX_succ(e),0.33988648232881974,1.359545929315279
