,coeff
10fthf_c,-0.0030965
2dmmq8_c,-0.0030965
5mthf_c,-0.0030965
ACP_c,-0.0030965
PGP_c,-0.025011
PGPm1_c,0.025011
adocbl_c,-0.0030965
adp_c,40.0
ala__L_c,-0.42793
amet_c,-0.0030965
apoACP_c,0.0030965
arg__L_c,-0.2467
asn__L_c,-0.20083
asp__L_c,-0.20083
atp_c,-40.1102
biomass_c,1.0
ca2_c,-0.0030965
cbi_c,0.0030965
cl_c,-0.0030965
clpn180_c,-0.010648
clpnai17_c,-0.010648
clpni17_c,-0.010648
coa_c,-0.0030965
cobalt2_c,-0.0030965
colipa_c,-0.025011
ctp_c,-0.084104
cu2_c,-0.0030965
cys__L_c,-0.076146
datp_c,-0.019713
dctp_c,-0.012332
dgtp_c,-0.012332
dmbzid_c,0.0030965
dnarep_c,-1.0
dttp_c,-0.019713
fad_c,-0.0030965
fe2_c,-0.0030965
fe3_c,-0.0030965
gln__L_c,-0.21909
glu__L_c,-0.21909
gly_c,-0.50987
gthrd_c,-0.0030965
gtp_c,-0.13541
h2o_c,-35.5403
h_c,40.0
his__L_c,-0.079264
ile__L_c,-0.2418
k_c,-0.0030965
leu__L_c,-0.37539
lys__L_c,-0.28544
met__L_c,-0.1278
mg2_c,-0.0030965
mn2_c,-0.0030965
mqn8_c,-0.0030965
nad_c,-0.0030965
nadp_c,-0.0030965
pe180_c,-0.010648
peai17_c,-0.010648
pei17_c,-0.010648
pg180_c,-0.010648
pgai17_c,-0.010648
pgi17_c,-0.010648
phe__L_c,-0.15452
pheme_c,-0.0030965
pi_c,39.9969
ppi_c,0.48461
pro__L_c,-0.18435
proteinsynth_c,-1.0
ptrc_c,-0.0030965
pydx5p_c,-0.0030965
q8_c,-0.0030965
ribflv_c,-0.0030965
rnatrans_c,-1.0
ser__L_c,-0.17946
sheme_c,-0.0030965
so4_c,-0.0030965
spmd_c,-0.0030965
thf_c,-0.0030965
thmpp_c,-0.0030965
thr__L_c,-0.21107
trp__L_c,-0.047202
tyr__L_c,-0.12068
udcpdp_c,-0.025011
utp_c,-0.090832
val__L_c,-0.35223
zn2_c,-0.0030965
