,fluxes,C-fluxes
EX_ac(e),11.014539453919838,22.029078907839676
EX_ade(e),0.9664013905975539,4.832006952987769
EX_dcyt(e),0.7819816096396772,7.037834486757095
EX_etoh(e),3.7538759021237134,7.507751804247427
EX_for(e),11.524791020123281,11.524791020123281
EX_gua(e),0.9798437703358961,4.89921885167948
EX_ile_L(e),0.8753513715538831,5.252108229323299
EX_nac(e),0.30177666036442813,1.8106599621865689
EX_orn(e),0.0689819241406852,0.344909620703426
EX_pro_L(e),0.16077838140014428,0.8038919070007213
EX_trypta(e),0.07225331603981386,0.7225331603981386
EX_tym(e),0.9549768340154906,7.639814672123925
