,fluxes,C-fluxes
EX_ac(e),16.977622013526677,33.955244027053354
EX_dad_2(e),0.9353008926621306,9.353008926621305
EX_for(e),15.040623497002677,15.040623497002677
EX_gly(e),1.095255231771841,2.190510463543682
EX_ile_L(e),0.779794615278172,4.678767691669032
EX_lys_L(e),0.8362266638003631,5.017359982802179
EX_nac(e),0.9983832283752774,5.990299370251664
EX_phe_L(e),0.792207011570864,7.129863104137776
EX_ppa(e),0.07359820859050624,0.2207946257715187
EX_ptrc(e),1.0713782472317925,4.28551298892717
EX_trypta(e),0.003363761703427109,0.03363761703427109
