,fluxes,C-fluxes
EX_ac(e),17.014671850778004,34.02934370155601
EX_dad_2(e),0.9382769250163235,9.382769250163236
EX_for(e),15.02843848235221,15.02843848235221
EX_gly(e),1.1136849806527984,2.227369961305597
EX_ile_L(e),0.7911169254262798,4.746701552557679
EX_lys_L(e),0.8400420321722636,5.040252193033582
EX_nac(e),0.9983852461958953,5.990311477175371
EX_phe_L(e),0.8083143617209935,7.2748292554889415
EX_ppa(e),0.0856717270446287,0.2570151811338861
EX_ptrc(e),1.0252697776823987,4.101079110729595
EX_trypta(e),0.01697039747188574,0.1697039747188574
