MicrobeID	NCBI Taxonomy ID	Strain	Species	Genus	Family	Order	Class	Phylum	Kingdom
Abiotrophia_defectiva_ATCC_49176	592010	Abiotrophia defectiva ATCC 49176	Abiotrophia defectiva	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Acidaminococcus_fermentans_DSM_20731	591001	Acidaminococcus fermentans DSM 20731	Acidaminococcus fermentans	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria
Acidaminococcus_intestini_RyC_MR95	568816	Acidaminococcus intestini RyC-MR95	Acidaminococcus intestini	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria
Acidaminococcus_sp_D21	904	Acidaminococcus	Acidaminococcus sp. D21	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria
Acinetobacter_calcoaceticus_PHEA_2	871585	Acinetobacter pittii PHEA-2	Acinetobacter pittii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter_haemolyticus_NIPH_261	1217986	Acinetobacter haemolyticus NIPH 261	Acinetobacter haemolyticus	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter_johnsonii_SH046	575586	Acinetobacter johnsonii SH046	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter_junii_SH205	575587	Acinetobacter junii SH205	Acinetobacter junii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter_lwoffii_WJ10621	1046625	Acinetobacter lwoffii WJ10621	Acinetobacter lwoffii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria
Acinetobacter_pittii_ANC_4052	1217689	Acinetobacter pittii ANC 4052	Acinetobacter pittii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria
Actinobacillus_pleuropneumoniae_L20	416269	Actinobacillus pleuropneumoniae serovar 5b str. L20	Actinobacillus pleuropneumoniae	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
Actinomyces_cardiffensis_F0333	888050	Schaalia cardiffensis F0333	Schaalia cardiffensis	Schaalia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
Actinomyces_graevenitzii_C83	435830	Actinomyces graevenitzii C83	Actinomyces graevenitzii	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
Actinomyces_odontolyticus_ATCC_17982	411466	Schaalia odontolytica ATCC 17982	Schaalia odontolytica	Schaalia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
Actinomyces_turicensis_ACS_279_V_Col4	883077	Schaalia turicensis ACS-279-V-Col4	Schaalia turicensis	Schaalia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
Actinomyces_urogenitalis_DSM_15434	525246	Actinomyces urogenitalis DSM 15434	Actinomyces urogenitalis	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
Actinomyces_viscosus_C505	562973	Actinomyces viscosus C505	Actinomyces viscosus	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
Adlercreutzia_equolifaciens_DSM_19450	1384484	Adlercreutzia equolifaciens DSM 19450	Adlercreutzia equolifaciens	Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
Aerococcus_viridans_ATCC_11563	655812	Aerococcus viridans ATCC 11563 = CCUG 4311	Aerococcus viridans	Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Aeromonas_caviae_Ae398	878320	Aeromonas caviae Ae398	Aeromonas caviae	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966	380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas hydrophila	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Aeromonas_veronii_B565	998088	Aeromonas veronii B565	Aeromonas veronii	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Afipia_birgiae_34632	1197906	Afipia birgiae 34632	Afipia birgiae	Afipia	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Akkermansia_muciniphila_ATCC_BAA_835	349741	Akkermansia muciniphila ATCC BAA-835	Akkermansia muciniphila	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111	1218102	Alcaligenes faecalis subsp. faecalis NBRC 13111	Alcaligenes faecalis	Alcaligenes	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Alistipes_finegoldii_DSM_17242	679935	Alistipes finegoldii DSM 17242	Alistipes finegoldii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Alistipes_indistinctus_YIT_12060	742725	Alistipes indistinctus YIT 12060	Alistipes indistinctus	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Alistipes_onderdonkii_DSM_19147	1203611	Alistipes onderdonkii WAL 8169 = DSM 19147	Alistipes onderdonkii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Alistipes_shahii_WAL_8301	717959	Alistipes shahii WAL 8301	Alistipes shahii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850	649746	Acetomicrobium hydrogeniformans	Anaerobaculum hydrogeniformans	Acetomicrobium	Synergistaceae	Synergistales	Synergistia	Synergistetes	Bacteria
Anaerococcus_hydrogenalis_DSM_7454	561177	Anaerococcus hydrogenalis DSM 7454	Anaerococcus hydrogenalis	Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Anaerococcus_prevotii_DSM_20548	525919	Anaerococcus prevotii DSM 20548	Anaerococcus prevotii	Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Anaerofustis_stercorihominis_DSM_17244	445971	Anaerofustis stercorihominis DSM 17244	Anaerofustis stercorihominis	Anaerofustis	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Anaerostipes_caccae_DSM_14662	411490	Anaerostipes caccae L1-92	Anaerostipes caccae	Anaerostipes	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Anaerostipes_sp_3_2_56FAA	207244	Anaerostipes	Anaerostipes sp. 3_2_56FAA	Anaerostipes	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Anaerotruncus_colihominis_DSM_17241	445972	Anaerotruncus colihominis DSM 17241	Anaerotruncus colihominis	Anaerotruncus	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Arcanobacterium_haemolyticum_DSM_20595	644284	Arcanobacterium haemolyticum DSM 20595	Arcanobacterium haemolyticum	Arcanobacterium	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
Arcobacter_butzleri_RM4018	367737	Aliarcobacter butzleri RM4018	Aliarcobacter butzleri	Aliarcobacter	Arcobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Atopobium_minutum_10063974	997872	Atopobium minutum 10063974	Atopobium minutum	Atopobium	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Atopobium_parvulum_DSM_20469	521095	Lancefieldella parvulum DSM 20469	Lancefieldella parvula	Lancefieldella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Atopobium_rimae_ATCC_49626	553184	Lancefieldella rimae ATCC 49626	Lancefieldella rimae	Lancefieldella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
Bacillus_atrophaeus_ATCC_49822_1	743710	Bacillus atrophaeus ATCC 49822-1	Bacillus atrophaeus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacillus_cereus_AH187_F4810_72	405534	Bacillus cereus AH187	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacillus_cereus_G9842	405531	Bacillus cereus G9842	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacillus_clausii_KSM_K16	66692	Alkalihalobacillus clausii KSM-K16	Alkalihalobacillus clausii	Alkalihalobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacillus_endophyticus_2102	1196029	Priestia endophytica 2102	Priestia endophytica	Priestia	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacillus_fordii_DSM_16014	1121090	Siminovitchia fordii DSM 16014 = CIP 108821	Siminovitchia fordii	Siminovitchia	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacillus_halodurans_C_125	272558	Alkalihalobacillus halodurans C-125	Alkalihalobacillus halodurans	Alkalihalobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacillus_mojavensis_RO_H_1	1051501	Bacillus mojavensis RO-H-1 = KCTC 3706	Bacillus mojavensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacillus_mycoides_DSM_2048	526997	Bacillus mycoides DSM 2048	Bacillus mycoides	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacillus_pseudofirmus_OF4	398511	Alkalihalophilus pseudofirmus OF4	Alkalihalophilus pseudofirmus	Alkalihalophilus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacillus_pumilus_ATCC_7061	536229	Bacillus pumilus ATCC 7061	Bacillus pumilus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacillus_sonorensis_L12	1274524	Bacillus sonorensis L12	Bacillus sonorensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacillus_vallismortis_DV1_F_3	1051502	Bacillus vallismortis DV1-F-3	Bacillus vallismortis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Bacteroides_caccae_ATCC_43185	411901	Bacteroides caccae ATCC 43185	Bacteroides caccae	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_clarus_YIT_12056	762984	Bacteroides clarus YIT 12056	Bacteroides clarus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_coprocola_M16_DSM_17136	470145	Phocaeicola coprocola DSM 17136	Phocaeicola coprocola	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_coprophilus_DSM_18228	547042	Phocaeicola coprophilus DSM 18228 = JCM 13818	Phocaeicola coprophilus	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_dorei_DSM_17855	483217	Phocaeicola dorei DSM 17855	Phocaeicola dorei	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_eggerthii_1_2_48FAA	665953	Bacteroides eggerthii 1_2_48FAA	Bacteroides eggerthii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_eggerthii_DSM_20697	483216	Bacteroides eggerthii DSM 20697	Bacteroides eggerthii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_faecis_MAJ27	1077285	Bacteroides faecis MAJ27	Bacteroides faecis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_finegoldii_DSM_17565	483215	Bacteroides finegoldii DSM 17565	Bacteroides finegoldii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_fluxus_YIT_12057	763034	Bacteroides fluxus YIT 12057	Bacteroides fluxus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_fragilis_3_1_12	457424	Bacteroides fragilis 3_1_12	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_fragilis_638R	862962	Bacteroides fragilis 638R	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_fragilis_NCTC_9343	272559	Bacteroides fragilis NCTC 9343	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_fragilis_YCH46	295405	Bacteroides fragilis YCH46	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_intestinalis_341_DSM_17393	471870	Bacteroides intestinalis DSM 17393	Bacteroides intestinalis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_nordii_CL02T12C05	997884	Bacteroides nordii CL02T12C05	Bacteroides nordii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_oleiciplenus_YIT_12058	742727	Bacteroides oleiciplenus YIT 12058	Bacteroides oleiciplenus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_ovatus_ATCC_8483	411476	Bacteroides ovatus ATCC 8483	Bacteroides ovatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_ovatus_SD_CC_2a	702444	Bacteroides xylanisolvens SD CC 2a	Bacteroides xylanisolvens	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_ovatus_SD_CMC_3f	702443	Bacteroides ovatus SD CMC 3f	Bacteroides ovatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_plebeius_M12_DSM_17135	484018	Phocaeicola plebeius DSM 17135	Phocaeicola plebeius	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_salyersiae_WAL_10018	1121101	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988	Bacteroides salyersiae	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_1_1_14	469585	Bacteroides sp. 1_1_14	Bacteroides sp. 1_1_14	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_1_1_30	457387	Bacteroides sp. 1_1_30	Bacteroides sp. 1_1_30	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_1_1_6	818	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_2_1_22	469588	Bacteroides sp. 2_1_22	Bacteroides sp. 2_1_22	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_2_1_33B	469589	Bacteroides sp. 2_1_33B	Bacteroides sp. 2_1_33B	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_2_1_7	457388	Parabacteroides sp. 2_1_7	Parabacteroides sp. 2_1_7	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_2_2_4	469590	Bacteroides sp. 2_2_4	Bacteroides sp. 2_2_4	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_20_3	469591	Parabacteroides sp. 20_3	Parabacteroides sp. 20_3	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_3_1_19	469592	Bacteroides sp. 3_1_19	Bacteroides sp. 3_1_19	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_3_1_23	457390	Bacteroides sp. 3_1_23	Bacteroides sp. 3_1_23	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_3_1_33FAA	457391	Bacteroides sp. 3_1_33FAA	Bacteroides sp. 3_1_33FAA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_3_1_40A	469593	Bacteroides sp. 3_1_40A	Bacteroides sp. 3_1_40A	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_3_2_5	457392	Bacteroides sp. 3_2_5	Bacteroides sp. 3_2_5	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_4_1_36	457393	Bacteroides sp. 4_1_36	Bacteroides sp. 4_1_36	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_4_3_47FAA	457394	Bacteroides sp. 4_3_47FAA	Bacteroides sp. 4_3_47FAA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_9_1_42FAA	457395	Bacteroides sp. 9_1_42FAA	Bacteroides sp. 9_1_42FAA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_D1	556258	Bacteroides sp. D1	Bacteroides sp. D1	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_D2	556259	Bacteroides sp. D2	Bacteroides sp. D2	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_D20	585543	Bacteroides sp. D20	Bacteroides sp. D20	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_sp_D22	585544	Bacteroides sp. D22	Bacteroides sp. D22	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_stercoris_ATCC_43183	449673	Bacteroides stercoris ATCC 43183	Bacteroides stercoris	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_thetaiotaomicron_VPI_5482	226186	Bacteroides thetaiotaomicron VPI-5482	Bacteroides thetaiotaomicron	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_uniformis_ATCC_8492	411479	Bacteroides uniformis ATCC 8492	Bacteroides uniformis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_ureolyticus_DSM_20703	1121102	Campylobacter ureolyticus DSM 20703	Campylobacter ureolyticus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
Bacteroides_vulgatus_ATCC_8482	435590	Phocaeicola vulgatus ATCC 8482	Phocaeicola vulgatus	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bacteroides_xylanisolvens_SD_CC_1b	702447	Bacteroides xylanisolvens SD CC 1b	Bacteroides xylanisolvens	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Bartonella_quintana_Toulouse	283165	Bartonella quintana str. Toulouse	Bartonella quintana	Bartonella	Bartonellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Bifidobacterium_adolescentis_ATCC_15703	367928	Bifidobacterium adolescentis ATCC 15703	Bifidobacterium adolescentis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_angulatum_DSM_20098	518635	Bifidobacterium angulatum DSM 20098 = JCM 7096	Bifidobacterium angulatum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_animalis_lactis_AD011	442563	Bifidobacterium animalis subsp. lactis AD011	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_animalis_lactis_BB_12	552531	Bifidobacterium animalis subsp. lactis BB-12	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_animalis_lactis_Bi_07	742729	Bifidobacterium animalis subsp. lactis Bi-07	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219	580050	Bifidobacterium animalis subsp. lactis Bl-04	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_animalis_lactis_CNCM_I_2494	1042403	Bifidobacterium animalis subsp. lactis CNCM I-2494	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_animalis_lactis_DSM_10140	555970	Bifidobacterium animalis subsp. lactis DSM 10140	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_animalis_lactis_V9	573236	Bifidobacterium animalis subsp. lactis V9	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_bifidum_BGN4	484020	Bifidobacterium bifidum BGN4	Bifidobacterium bifidum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_bifidum_NCIMB_41171	398513	Bifidobacterium bifidum NCIMB 41171	Bifidobacterium bifidum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_bifidum_PRL2010	702459	Bifidobacterium bifidum PRL2010	Bifidobacterium bifidum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_bifidum_S17	883062	Bifidobacterium bifidum S17	Bifidobacterium bifidum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_breve_HPH0326	1203540	Bifidobacterium breve HPH0326	Bifidobacterium breve	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_breve_UCC2003_NCIMB8807	326426	Bifidobacterium breve UCC2003	Bifidobacterium breve	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_catenulatum_DSM_16992	566552	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	Bifidobacterium catenulatum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_dentium_ATCC_27678	473819	Bifidobacterium dentium ATCC 27678	Bifidobacterium dentium	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
