,Diff,All,nonIBD,IBD,Fold,Avg,log10Avg,RelAbAvg,Rank
Porphyromonas_uenonis_60_3,0.0012774080974078,1.0,1035.0,1536.9850746268658,1.4850097339390007,1466.1923076923076,3.1661909366708536,6.919175124597699e-05,1
Gemella_sanguinis_M325,-0.0055668815034413,1.0,139.54545454545453,426.2686567164179,3.0546939569254707,385.8333333333333,2.586399744970328,1.81563088137912e-05,2
Delftia_acidovorans_SPH_1,-0.0062241735863471,1.0,81.27272727272727,117.49253731343283,1.445657617950516,112.38461538461539,2.05070686362746,8.978672362057724e-06,3
Bacteroides_thetaiotaomicron_VPI_5482,0.0079102017921423,1.0,165500.9090909091,213054.3432835821,1.287330350352046,206348.08974358975,5.314600452774093,0.008700185859847595,4
Campylobacter_jejuni_jejuni_81_176,-0.0081049608993315,1.0,467.09090909090907,842.5820895522388,1.8038931461803478,789.6282051282051,2.8974226527223306,3.94227377875021e-05,5
Edwardsiella_tarda_FL6_60,-0.0085999327707076,1.0,126.0909090909091,122.34328358208955,0.9702783845731687,122.87179487179488,2.0894522023547557,3.6432026984319984e-05,6
Acidaminococcus_sp_D21,0.014424870256803,1.0,3978.2727272727275,13658.522388059702,3.4332795472831226,12293.358974358975,4.0896705634979655,0.0006073262947754387,7
Prevotella_bivia_DSM_20514,0.0157191739422297,1.0,7118.818181818182,9185.835820895523,1.2903596617141604,8894.333333333334,3.949113401491889,0.0006711615331184173,8
Parabacteroides_distasonis_ATCC_8503,0.0166368023497081,1.0,81484.36363636363,138521.0447761194,1.6999708728694334,130477.41025641025,5.115535328147852,0.007697892652641281,9
Streptococcus_mitis_NCTC_12261,0.0178731181663489,1.0,489.09090909090907,407.8805970149254,0.8339566109970594,419.3333333333333,2.6225593863895877,3.299010516656776e-05,10
Actinomyces_graevenitzii_C83,0.0304882512432551,1.0,118.63636363636364,83.01492537313433,0.6997426659804427,88.03846153846153,1.944672444703725,4.914681517754893e-06,11
Parabacteroides_goldsteinii_dnLKV18,0.0324863144201255,1.0,13825.363636363636,12133.283582089553,0.8776104485365177,12371.910256410256,4.092436761049282,0.0005486793309408432,12
Actinomyces_viscosus_C505,-0.0327350453003282,1.0,56.63636363636363,39.62686567164179,0.6996717855346063,42.02564102564103,1.6235143465439998,3.1494889177422817e-06,13
Mobiluncus_curtisii_ATCC_43063,-0.0337606216776157,1.0,164.54545454545453,158.97014925373134,0.9661169291663231,159.75641025641025,2.2034582933289215,8.36776534135633e-06,14
Acidaminococcus_intestini_RyC_MR95,-0.0499250846910262,1.0,3558.3636363636365,14955.985074626866,4.2030513469136865,13348.628205128205,4.125436636969929,0.0006616158173974717,15
Yersinia_enterocolitica_subsp_enterocolitica_8081,-0.0538828778075957,1.0,48.45454545454545,92.04477611940298,1.8996107641903055,85.8974358974359,1.933980200010346,6.26192288256281e-06,16
Kocuria_rhizophila_DC2201,-0.0556828672992969,1.0,26.0,26.671641791044777,1.0258323765786452,26.576923076923077,1.4245046994033805,1.6389834902527666e-06,17
Alistipes_indistinctus_YIT_12060,-0.0561490985560203,1.0,831.0909090909091,2701.2985074626868,3.250304482836311,2437.551282051282,3.3869537613049796,0.00015806684377497762,18
Actinobacillus_pleuropneumoniae_L20,0.0586689882916426,1.0,60.36363636363637,41.02985074626866,0.679711382844812,43.756410256410255,1.6410416855881584,3.2581004064268006e-06,19
Blautia_hydrogenotrophica_DSM_10507,0.0592524805110907,1.0,4242.636363636364,4207.0298507462685,0.9916074558745409,4212.051282051282,3.6244936501146627,0.0002301091514163737,20
Prevotella_oralis_ATCC_33269,-0.0606561391609693,1.0,677.1818181818181,1286.55223880597,1.8998623475453984,1200.6153846153845,3.079403904079625,0.00023013481711350834,21
Neisseria_elongata_subsp_glycolytica_ATCC_29315,0.0692527689975714,1.0,41.18181818181818,32.985074626865675,0.8009620770320584,34.14102564102564,1.5332765637484609,2.912949818565459e-06,22
Collinsella_intestinalis_DSM_13280,0.0721377232116675,1.0,132.45454545454547,221.17910447761193,1.6698491072434667,208.66666666666666,2.3194530784907674,1.5829127772175856e-05,23
Enterococcus_faecalis_V583,-0.0775502971368814,1.0,211.72727272727272,1606.2985074626865,7.586639580115738,1409.628205128205,3.1491045809154414,6.543618953011601e-05,24
Klebsiella_pneumoniae_pneumoniae_MGH78578,-0.0855131908315206,1.0,2760.7272727272725,27224.671641791047,9.861412936634007,23774.628205128207,4.376113734033268,0.0011163542746471598,25
Clostridiales_sp_1_7_47FAA,0.0880017229360556,1.0,16629.545454545456,18316.582089552237,1.1014481507999159,18078.666666666668,4.257166397341668,0.001082166626831341,26
Stenotrophomonas_maltophilia_D457,-0.0915412954050088,1.0,32.45454545454545,48.61194029850746,1.4978468999540115,46.333333333333336,1.6658935455344326,2.7968716082590745e-06,27
Bacteroides_intestinalis_341_DSM_17393,-0.0927429175931001,1.0,39490.90909090909,175813.776119403,4.452006301366098,156588.7564102564,5.1947605750636425,0.007882098696198731,28
Escherichia_albertii_TW07627,0.0948390760463691,1.0,2283.3636363636365,3090.8805970149256,1.3536523695968539,2977.0,3.473778834646725,0.00014592546904180272,29
Propionibacterium_propionicum_F0230a,-0.0959852761584306,1.0,24.727272727272727,37.76119402985075,1.527107111501317,35.92307692307692,1.5553735282592753,2.0276016242374346e-06,30
Dorea_formicigenerans_ATCC_27755,0.0989835062068915,1.0,26529.363636363636,20769.0,0.7828683825469548,21581.358974358973,4.334078788654701,0.0012698538349666696,31
Bacteroides_sp_2_1_33B,-0.100832907016852,1.0,30192.18181818182,83461.94029850746,2.7643560442606514,75949.53846153847,4.88052513903862,0.004220761276056374,32
Streptococcus_sp_I_P16,0.101768250111959,1.0,557.5454545454545,165.955223880597,0.2976532631153705,221.17948717948718,2.3447448467834335,1.55290770415912e-05,33
Oxalobacter_formigenes_HOxBLS,0.105502913240812,1.0,205.0,407.4925373134328,1.9877684746996722,378.93589743589746,2.578565748900913,2.0278975240701283e-05,34
Edwardsiella_tarda_ATCC_23685,-0.106164311524012,1.0,27.727272727272727,46.44776119402985,1.67516515781747,43.80769230769231,1.6415503761082824,2.941310138044787e-06,35
