,fluxes,C-fluxes
EX_5aptn(e),0.13038052008347462,0.6519026004173731
EX_ac(e),1.644285536015665,3.28857107203133
EX_but(e),5.638161413844838,22.55264565537935
EX_ch4s(e),1.1387090216853066,1.1387090216853066
EX_for(e),10.090366734221526,10.090366734221526
EX_hxan(e),0.3030330209275798,1.5151651046378989
EX_ile_L(e),0.8204357406209789,4.922614443725873
EX_indole(e),0.07489526076795316,0.5991620861436253
EX_pac(e),1.8604139230798629,14.883311384638903
EX_ppa(e),1.4605239440267812,4.381571832080343
EX_ptrc(e),1.0978547431010566,4.391418972404226
EX_ura(e),0.9285781495114899,3.7143125980459595
TS_pre3a_c,0.0007292273498934554,0.03135677604541858
