,fluxes,C-fluxes
EX_acald(e),2.112055722514162,4.224111445028324
EX_ade(e),2.0662959054477987,10.331479527238994
EX_but(e),2.90446859236847,11.61787436947388
EX_dcyt(e),0.22780365969528582,2.0502329372575723
EX_gcald(e),0.0012162382617436863,0.0024324765234873726
EX_glu_L(e),0.050183687308751335,0.2509184365437567
EX_glyc(e),0.004182304218003156,0.012546912654009468
EX_gua(e),0.989357555897869,4.946787779489345
EX_indole(e),0.07635335045093565,0.6108268036074852
EX_thymd(e),0.7533247460593435,7.533247460593435
