	MicrobeID	NCBI Taxonomy ID	Strain	Species	Genus	Family	Order	Class	Phylum	Kingdom	#genome	unique_name	total_length
0	Abiotrophia_defectiva_ATCC_49176	592010	Abiotrophia defectiva ATCC 49176	Abiotrophia defectiva	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	592010	Abiotrophia_defectiva_ATCC_49176	5082640
1	Acidaminococcus_fermentans_DSM_20731	591001	Acidaminococcus fermentans DSM 20731	Acidaminococcus fermentans	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	591001	Acidaminococcus_fermentans_DSM_20731	4513481
2	Acidaminococcus_intestini_RyC_MR95	568816	Acidaminococcus intestini RyC-MR95	Acidaminococcus intestini	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	568816	Acidaminococcus_intestini_RyC_MR95	4645158
3	Acidaminococcus_sp_D21	904	Acidaminococcus	Acidaminococcus sp. D21	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	904	Acidaminococcus_sp_D21	4096861
4	Acinetobacter_calcoaceticus_PHEA_2	871585	Acinetobacter pittii PHEA-2	Acinetobacter pittii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	871585	Acinetobacter_calcoaceticus_PHEA_2	7472790
5	Acinetobacter_haemolyticus_NIPH_261	1217986	Acinetobacter haemolyticus NIPH 261	Acinetobacter haemolyticus	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	1217986	Acinetobacter_haemolyticus_NIPH_261	6835697
6	Acinetobacter_johnsonii_SH046	575586	Acinetobacter johnsonii SH046	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	575586	Acinetobacter_johnsonii_SH046	6850102
7	Acinetobacter_junii_SH205	575587	Acinetobacter junii SH205	Acinetobacter junii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	575587	Acinetobacter_junii_SH205	6310935
8	Acinetobacter_lwoffii_WJ10621	1046625	Acinetobacter lwoffii WJ10621	Acinetobacter lwoffii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	1046625	Acinetobacter_lwoffii_WJ10621	6088539
9	Acinetobacter_pittii_ANC_4052	1217689	Acinetobacter pittii ANC 4052	Acinetobacter pittii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	1217689	Acinetobacter_pittii_ANC_4052	7621130
10	Actinobacillus_pleuropneumoniae_L20	416269	Actinobacillus pleuropneumoniae serovar 5b str. L20	Actinobacillus pleuropneumoniae	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	416269	Actinobacillus_pleuropneumoniae_L20	4429238
11	Actinomyces_cardiffensis_F0333	888050	Schaalia cardiffensis F0333	Schaalia cardiffensis	Schaalia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	888050	Actinomyces_cardiffensis_F0333	4226138
12	Actinomyces_graevenitzii_C83	435830	Actinomyces graevenitzii C83	Actinomyces graevenitzii	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	435830	Actinomyces_graevenitzii_C83	4173287
13	Actinomyces_odontolyticus_ATCC_17982	411466	Schaalia odontolytica ATCC 17982	Schaalia odontolytica	Schaalia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	411466	Actinomyces_odontolyticus_ATCC_17982	4438512
14	Actinomyces_turicensis_ACS_279_V_Col4	883077	Schaalia turicensis ACS-279-V-Col4	Schaalia turicensis	Schaalia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	883077	Actinomyces_turicensis_ACS_279_V_Col4	3815212
15	Actinomyces_urogenitalis_DSM_15434	525246	Actinomyces urogenitalis DSM 15434	Actinomyces urogenitalis	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	525246	Actinomyces_urogenitalis_DSM_15434	5034100
16	Actinomyces_viscosus_C505	562973	Actinomyces viscosus C505	Actinomyces viscosus	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	562973	Actinomyces_viscosus_C505	5927502
