,fluxes,C-fluxes
EX_ac(e),3.790521664401579,7.581043328803158
EX_acald(e),0.17878295,0.3575659
EX_ade(e),0.9421713702591721,4.71085685129586
EX_cys_L(e),0.5807431184450722,1.7422293553352166
EX_dgsn(e),0.9562827651623449,9.562827651623449
EX_gcald(e),0.006772925924947054,0.013545851849894108
EX_lys_L(e),0.9343460309764029,5.606076185858417
EX_orn(e),0.23552937607359087,1.1776468803679543
EX_phe_L(e),0.9442582755048639,8.498324479543776
EX_ppa(e),1.0,3.0
EX_succ(e),7.333558756454739,29.334235025818955
