,fluxes,C-fluxes
EX_ac(e),21.18388455914607,42.36776911829214
EX_for(e),14.529949881996409,14.529949881996409
EX_gly(e),3.6292224578111747,7.258444915622349
EX_hxan(e),0.9443316648180458,4.721658324090229
EX_ile_L(e),0.8025296604863392,4.815177962918035
EX_indole(e),0.030226475806198763,0.2418118064495901
EX_lys_L(e),0.8852898818975826,5.3117392913854955
EX_nac(e),0.9983324548985896,5.989994729391538
EX_phe_L(e),0.8014880528496992,7.213392475647292
EX_ppa(e),0.19136286523431884,0.5740885957029565
EX_ptrc(e),1.0018106298847724,4.00724251953909
